 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 28077 CABESTI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,92
 28077 CABESTI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,86
 28077 CABESTI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,73
 28077 CABESTI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,67
 28077 CABESTI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,59
 28077 CABESTI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,50
 28077 CABESTI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,54
 28077 CABESTI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,49
 28077 CABESTI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,59
 28077 CABESTI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,59
 28077 CABESTI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,65
 28077 CABESTI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,66
 28077 CABESTI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,63
 28077 CABESTI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,70
 28077 CABESTI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,61
 28077 CABESTI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,59
 28077 CABESTI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,78
 28077 CABESTI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,69
 28077 CABESTI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,72
 28077 CABESTI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,77
 28077 CABESTI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,75
 28077 CABESTI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,78
 28077 CABESTI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,74
 28077 CABESTI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,67
 28077 CABESTI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,76
 28077 CABESTI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,72
 28077 CABESTI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,64
 28077 CABESTI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,67
 28077 CABESTI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,60
 28077 CABESTI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,56
 28077 CABESTI,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,60
 28077 CABESTI,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,64
 28077 CABESTI,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,114
 28077 CABESTI,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,118
