 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 28530 CHISLAZ,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,110
 28530 CHISLAZ,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,114
 28530 CHISLAZ,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,120
 28530 CHISLAZ,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,108
 28530 CHISLAZ,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,104
 28530 CHISLAZ,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,112
 28530 CHISLAZ,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,100
 28530 CHISLAZ,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,95
 28530 CHISLAZ,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,101
 28530 CHISLAZ,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,93
 28530 CHISLAZ,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,93
 28530 CHISLAZ,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,87
 28530 CHISLAZ,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,76
 28530 CHISLAZ,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,74
 28530 CHISLAZ,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,89
 28530 CHISLAZ,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,84
 28530 CHISLAZ,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,99
 28530 CHISLAZ,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,113
 28530 CHISLAZ,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,105
 28530 CHISLAZ,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,110
 28530 CHISLAZ,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,112
 28530 CHISLAZ,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,106
 28530 CHISLAZ,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,124
 28530 CHISLAZ,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,126
 28530 CHISLAZ,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,87
 28530 CHISLAZ,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,84
 28530 CHISLAZ,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,93
 28530 CHISLAZ,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,94
 28530 CHISLAZ,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,102
 28530 CHISLAZ,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,102
 28530 CHISLAZ,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,99
 28530 CHISLAZ,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,98
 28530 CHISLAZ,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,130
 28530 CHISLAZ,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,112
