 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 28610 SANIOB,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,84
 28610 SANIOB,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,73
 28610 SANIOB,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,72
 28610 SANIOB,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,60
 28610 SANIOB,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,59
 28610 SANIOB,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,57
 28610 SANIOB,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,63
 28610 SANIOB,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,63
 28610 SANIOB,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,53
 28610 SANIOB,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,70
 28610 SANIOB,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,64
 28610 SANIOB,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,68
 28610 SANIOB,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,60
 28610 SANIOB,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,67
 28610 SANIOB,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,60
 28610 SANIOB,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,70
 28610 SANIOB,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,68
 28610 SANIOB,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,78
 28610 SANIOB,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,83
 28610 SANIOB,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,86
 28610 SANIOB,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,84
 28610 SANIOB,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,79
 28610 SANIOB,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,70
 28610 SANIOB,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,71
 28610 SANIOB,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,64
 28610 SANIOB,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,55
 28610 SANIOB,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,58
 28610 SANIOB,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,58
 28610 SANIOB,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,51
 28610 SANIOB,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,47
 28610 SANIOB,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,55
 28610 SANIOB,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,53
 28610 SANIOB,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,73
 28610 SANIOB,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,66
 28610 SANIOB,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,63
 28610 SANIOB,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,62
 28610 SANIOB,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,59
 28610 SANIOB,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,63
 28610 SANIOB,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,71
 28610 SANIOB,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,77
 28610 SANIOB,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,76
 28610 SANIOB,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,71
 28610 SANIOB,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,72
 28610 SANIOB,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,66
 28610 SANIOB,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,61
 28610 SANIOB,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,60
 28610 SANIOB,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,51
 28610 SANIOB,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,53
 28610 SANIOB,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,112
 28610 SANIOB,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,101
 28610 SANIOB,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,94
 28610 SANIOB,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,88
 28610 SANIOB,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,80
 28610 SANIOB,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,72
 28610 SANIOB,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,66
 28610 SANIOB,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,61
 28610 SANIOB,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,101
 28610 SANIOB,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,103
 28610 SANIOB,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,99
 28610 SANIOB,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,88
 28610 SANIOB,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,83
 28610 SANIOB,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,79
 28610 SANIOB,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,74
 28610 SANIOB,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,71
 28610 SANIOB,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,136
 28610 SANIOB,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,132
 28610 SANIOB,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,131
 28610 SANIOB,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,124
 28610 SANIOB,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,113
 28610 SANIOB,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,104
 28610 SANIOB,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,99
 28610 SANIOB,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,93
 28610 SANIOB,20-24 ani, Feminin, Bihor, Anul 1992, Numar persoane,89
 28610 SANIOB,20-24 ani, Feminin, Bihor, Anul 1993, Numar persoane,85
 28610 SANIOB,20-24 ani, Feminin, Bihor, Anul 1994, Numar persoane,80
 28610 SANIOB,20-24 ani, Feminin, Bihor, Anul 1995, Numar persoane,86
 28610 SANIOB,20-24 ani, Feminin, Bihor, Anul 1996, Numar persoane,89
 28610 SANIOB,20-24 ani, Feminin, Bihor, Anul 1997, Numar persoane,87
 28610 SANIOB,20-24 ani, Feminin, Bihor, Anul 1998, Numar persoane,93
 28610 SANIOB,20-24 ani, Feminin, Bihor, Anul 1999, Numar persoane,91
 28610 SANIOB,25-29 ani, Masculin, Bihor, Anul 1992, Numar persoane,60
 28610 SANIOB,25-29 ani, Masculin, Bihor, Anul 1993, Numar persoane,76
 28610 SANIOB,25-29 ani, Masculin, Bihor, Anul 1994, Numar persoane,82
 28610 SANIOB,25-29 ani, Masculin, Bihor, Anul 1995, Numar persoane,93
 28610 SANIOB,25-29 ani, Masculin, Bihor, Anul 1996, Numar persoane,106
 28610 SANIOB,25-29 ani, Masculin, Bihor, Anul 1997, Numar persoane,119
 28610 SANIOB,25-29 ani, Masculin, Bihor, Anul 1998, Numar persoane,112
 28610 SANIOB,25-29 ani, Masculin, Bihor, Anul 1999, Numar persoane,115
 28610 SANIOB,25-29 ani, Feminin, Bihor, Anul 1992, Numar persoane,52
 28610 SANIOB,25-29 ani, Feminin, Bihor, Anul 1993, Numar persoane,55
 28610 SANIOB,25-29 ani, Feminin, Bihor, Anul 1994, Numar persoane,57
 28610 SANIOB,25-29 ani, Feminin, Bihor, Anul 1995, Numar persoane,55
 28610 SANIOB,25-29 ani, Feminin, Bihor, Anul 1996, Numar persoane,63
 28610 SANIOB,25-29 ani, Feminin, Bihor, Anul 1997, Numar persoane,64
 28610 SANIOB,25-29 ani, Feminin, Bihor, Anul 1998, Numar persoane,65
 28610 SANIOB,25-29 ani, Feminin, Bihor, Anul 1999, Numar persoane,66
 28610 SANIOB,30-34 ani, Masculin, Bihor, Anul 1992, Numar persoane,50
 28610 SANIOB,30-34 ani, Masculin, Bihor, Anul 1993, Numar persoane,41
 28610 SANIOB,30-34 ani, Masculin, Bihor, Anul 1994, Numar persoane,41
 28610 SANIOB,30-34 ani, Masculin, Bihor, Anul 1995, Numar persoane,38
 28610 SANIOB,30-34 ani, Masculin, Bihor, Anul 1996, Numar persoane,37
 28610 SANIOB,30-34 ani, Masculin, Bihor, Anul 1997, Numar persoane,43
 28610 SANIOB,30-34 ani, Masculin, Bihor, Anul 1998, Numar persoane,64
 28610 SANIOB,30-34 ani, Masculin, Bihor, Anul 1999, Numar persoane,70
 28610 SANIOB,30-34 ani, Feminin, Bihor, Anul 1992, Numar persoane,33
 28610 SANIOB,30-34 ani, Feminin, Bihor, Anul 1993, Numar persoane,30
 28610 SANIOB,30-34 ani, Feminin, Bihor, Anul 1994, Numar persoane,37
 28610 SANIOB,30-34 ani, Feminin, Bihor, Anul 1995, Numar persoane,42
 28610 SANIOB,30-34 ani, Feminin, Bihor, Anul 1996, Numar persoane,38
 28610 SANIOB,30-34 ani, Feminin, Bihor, Anul 1997, Numar persoane,46
 28610 SANIOB,30-34 ani, Feminin, Bihor, Anul 1998, Numar persoane,46
 28610 SANIOB,30-34 ani, Feminin, Bihor, Anul 1999, Numar persoane,47
 28610 SANIOB,35-39 ani, Masculin, Bihor, Anul 1992, Numar persoane,47
 28610 SANIOB,35-39 ani, Masculin, Bihor, Anul 1993, Numar persoane,48
 28610 SANIOB,35-39 ani, Masculin, Bihor, Anul 1994, Numar persoane,47
 28610 SANIOB,35-39 ani, Masculin, Bihor, Anul 1995, Numar persoane,43
 28610 SANIOB,35-39 ani, Masculin, Bihor, Anul 1996, Numar persoane,44
 28610 SANIOB,35-39 ani, Masculin, Bihor, Anul 1997, Numar persoane,44
 28610 SANIOB,35-39 ani, Masculin, Bihor, Anul 1998, Numar persoane,32
 28610 SANIOB,35-39 ani, Masculin, Bihor, Anul 1999, Numar persoane,33
 28610 SANIOB,35-39 ani, Feminin, Bihor, Anul 1992, Numar persoane,55
 28610 SANIOB,35-39 ani, Feminin, Bihor, Anul 1993, Numar persoane,51
 28610 SANIOB,35-39 ani, Feminin, Bihor, Anul 1994, Numar persoane,42
 28610 SANIOB,35-39 ani, Feminin, Bihor, Anul 1995, Numar persoane,37
 28610 SANIOB,35-39 ani, Feminin, Bihor, Anul 1996, Numar persoane,34
 28610 SANIOB,35-39 ani, Feminin, Bihor, Anul 1997, Numar persoane,29
 28610 SANIOB,35-39 ani, Feminin, Bihor, Anul 1998, Numar persoane,28
 28610 SANIOB,35-39 ani, Feminin, Bihor, Anul 1999, Numar persoane,35
 28610 SANIOB,40-44 ani, Masculin, Bihor, Anul 1992, Numar persoane,71
 28610 SANIOB,40-44 ani, Masculin, Bihor, Anul 1993, Numar persoane,65
 28610 SANIOB,40-44 ani, Masculin, Bihor, Anul 1994, Numar persoane,55
 28610 SANIOB,40-44 ani, Masculin, Bihor, Anul 1995, Numar persoane,62
 28610 SANIOB,40-44 ani, Masculin, Bihor, Anul 1996, Numar persoane,54
 28610 SANIOB,40-44 ani, Masculin, Bihor, Anul 1997, Numar persoane,46
 28610 SANIOB,40-44 ani, Masculin, Bihor, Anul 1998, Numar persoane,44
 28610 SANIOB,40-44 ani, Masculin, Bihor, Anul 1999, Numar persoane,46
 28610 SANIOB,40-44 ani, Feminin, Bihor, Anul 1992, Numar persoane,82
 28610 SANIOB,40-44 ani, Feminin, Bihor, Anul 1993, Numar persoane,75
 28610 SANIOB,40-44 ani, Feminin, Bihor, Anul 1994, Numar persoane,74
 28610 SANIOB,40-44 ani, Feminin, Bihor, Anul 1995, Numar persoane,66
 28610 SANIOB,40-44 ani, Feminin, Bihor, Anul 1996, Numar persoane,61
 28610 SANIOB,40-44 ani, Feminin, Bihor, Anul 1997, Numar persoane,52
 28610 SANIOB,40-44 ani, Feminin, Bihor, Anul 1998, Numar persoane,48
 28610 SANIOB,40-44 ani, Feminin, Bihor, Anul 1999, Numar persoane,38
 28610 SANIOB,45-49 ani, Masculin, Bihor, Anul 1992, Numar persoane,66
 28610 SANIOB,45-49 ani, Masculin, Bihor, Anul 1993, Numar persoane,70
 28610 SANIOB,45-49 ani, Masculin, Bihor, Anul 1994, Numar persoane,70
 28610 SANIOB,45-49 ani, Masculin, Bihor, Anul 1995, Numar persoane,52
 28610 SANIOB,45-49 ani, Masculin, Bihor, Anul 1996, Numar persoane,54
 28610 SANIOB,45-49 ani, Masculin, Bihor, Anul 1997, Numar persoane,62
 28610 SANIOB,45-49 ani, Masculin, Bihor, Anul 1998, Numar persoane,60
 28610 SANIOB,45-49 ani, Masculin, Bihor, Anul 1999, Numar persoane,52
 28610 SANIOB,45-49 ani, Feminin, Bihor, Anul 1992, Numar persoane,96
 28610 SANIOB,45-49 ani, Feminin, Bihor, Anul 1993, Numar persoane,95
 28610 SANIOB,45-49 ani, Feminin, Bihor, Anul 1994, Numar persoane,92
 28610 SANIOB,45-49 ani, Feminin, Bihor, Anul 1995, Numar persoane,90
 28610 SANIOB,45-49 ani, Feminin, Bihor, Anul 1996, Numar persoane,78
 28610 SANIOB,45-49 ani, Feminin, Bihor, Anul 1997, Numar persoane,80
 28610 SANIOB,45-49 ani, Feminin, Bihor, Anul 1998, Numar persoane,72
 28610 SANIOB,45-49 ani, Feminin, Bihor, Anul 1999, Numar persoane,72
 28610 SANIOB,50-54 ani, Masculin, Bihor, Anul 1992, Numar persoane,76
