 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 28763 COCIUBA MARE,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,111
 28763 COCIUBA MARE,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,112
 28763 COCIUBA MARE,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,104
 28763 COCIUBA MARE,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,94
 28763 COCIUBA MARE,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,99
 28763 COCIUBA MARE,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,87
 28763 COCIUBA MARE,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,87
 28763 COCIUBA MARE,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,88
 28763 COCIUBA MARE,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,100
 28763 COCIUBA MARE,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,97
 28763 COCIUBA MARE,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,90
 28763 COCIUBA MARE,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,83
 28763 COCIUBA MARE,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,85
 28763 COCIUBA MARE,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,83
 28763 COCIUBA MARE,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,80
 28763 COCIUBA MARE,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,85
 28763 COCIUBA MARE,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,99
 28763 COCIUBA MARE,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,91
 28763 COCIUBA MARE,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,100
 28763 COCIUBA MARE,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,99
 28763 COCIUBA MARE,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,105
 28763 COCIUBA MARE,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,113
 28763 COCIUBA MARE,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,103
 28763 COCIUBA MARE,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,97
 28763 COCIUBA MARE,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,80
 28763 COCIUBA MARE,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,87
 28763 COCIUBA MARE,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,99
 28763 COCIUBA MARE,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,102
 28763 COCIUBA MARE,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,101
 28763 COCIUBA MARE,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,102
 28763 COCIUBA MARE,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,94
 28763 COCIUBA MARE,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,90
