 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 28816 COPACEL,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,69
 28816 COPACEL,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,72
 28816 COPACEL,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,71
 28816 COPACEL,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,69
 28816 COPACEL,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,62
 28816 COPACEL,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,70
 28816 COPACEL,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,61
 28816 COPACEL,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,65
 28816 COPACEL,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,64
 28816 COPACEL,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,58
 28816 COPACEL,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,54
 28816 COPACEL,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,61
 28816 COPACEL,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,64
 28816 COPACEL,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,64
 28816 COPACEL,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,70
 28816 COPACEL,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,68
 28816 COPACEL,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,54
 28816 COPACEL,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,51
 28816 COPACEL,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,54
 28816 COPACEL,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,58
 28816 COPACEL,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,68
 28816 COPACEL,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,69
 28816 COPACEL,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,77
 28816 COPACEL,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,76
 28816 COPACEL,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,50
 28816 COPACEL,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,52
 28816 COPACEL,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,66
 28816 COPACEL,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,65
 28816 COPACEL,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,63
 28816 COPACEL,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,60
 28816 COPACEL,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,63
 28816 COPACEL,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,60
 28816 COPACEL,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,81
 28816 COPACEL,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,89
 28816 COPACEL,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,89
 28816 COPACEL,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,76
 28816 COPACEL,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,63
 28816 COPACEL,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,61
 28816 COPACEL,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,54
 28816 COPACEL,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,54
 28816 COPACEL,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,77
 28816 COPACEL,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,63
 28816 COPACEL,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,52
