 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 29092 DIOSIG,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,375
 29092 DIOSIG,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,339
 29092 DIOSIG,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,322
 29092 DIOSIG,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,316
 29092 DIOSIG,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,307
 29092 DIOSIG,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,298
 29092 DIOSIG,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,301
 29092 DIOSIG,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,298
 29092 DIOSIG,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,316
 29092 DIOSIG,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,303
 29092 DIOSIG,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,300
 29092 DIOSIG,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,308
 29092 DIOSIG,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,318
 29092 DIOSIG,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,299
 29092 DIOSIG,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,297
 29092 DIOSIG,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,299
 29092 DIOSIG,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,364
 29092 DIOSIG,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,388
 29092 DIOSIG,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,394
 29092 DIOSIG,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,413
 29092 DIOSIG,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,413
 29092 DIOSIG,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,390
 29092 DIOSIG,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,349
 29092 DIOSIG,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,338
 29092 DIOSIG,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,365
 29092 DIOSIG,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,369
 29092 DIOSIG,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,359
 29092 DIOSIG,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,376
 29092 DIOSIG,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,343
 29092 DIOSIG,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,326
 29092 DIOSIG,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,306
 29092 DIOSIG,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,307
 29092 DIOSIG,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,373
 29092 DIOSIG,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,368
 29092 DIOSIG,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,356
 29092 DIOSIG,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,363
 29092 DIOSIG,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,368
 29092 DIOSIG,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,377
 29092 DIOSIG,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,399
 29092 DIOSIG,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,410
 29092 DIOSIG,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,378
 29092 DIOSIG,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,369
 29092 DIOSIG,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,358
 29092 DIOSIG,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,357
 29092 DIOSIG,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,370
 29092 DIOSIG,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,370
 29092 DIOSIG,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,381
 29092 DIOSIG,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,373
 29092 DIOSIG,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,489
 29092 DIOSIG,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,467
 29092 DIOSIG,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,454
 29092 DIOSIG,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,417
 29092 DIOSIG,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,407
 29092 DIOSIG,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,379
 29092 DIOSIG,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,382
 29092 DIOSIG,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,375
 29092 DIOSIG,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,408
 29092 DIOSIG,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,382
 29092 DIOSIG,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,395
 29092 DIOSIG,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,383
 29092 DIOSIG,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,377
 29092 DIOSIG,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,385
 29092 DIOSIG,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,376
 29092 DIOSIG,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,365
 29092 DIOSIG,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,483
 29092 DIOSIG,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,471
 29092 DIOSIG,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,449
 29092 DIOSIG,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,466
 29092 DIOSIG,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,482
 29092 DIOSIG,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,480
 29092 DIOSIG,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,455
 29092 DIOSIG,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,443
 29092 DIOSIG,20-24 ani, Feminin, Bihor, Anul 1992, Numar persoane,373
 29092 DIOSIG,20-24 ani, Feminin, Bihor, Anul 1993, Numar persoane,384
 29092 DIOSIG,20-24 ani, Feminin, Bihor, Anul 1994, Numar persoane,379
 29092 DIOSIG,20-24 ani, Feminin, Bihor, Anul 1995, Numar persoane,420
 29092 DIOSIG,20-24 ani, Feminin, Bihor, Anul 1996, Numar persoane,414
 29092 DIOSIG,20-24 ani, Feminin, Bihor, Anul 1997, Numar persoane,396
 29092 DIOSIG,20-24 ani, Feminin, Bihor, Anul 1998, Numar persoane,377
 29092 DIOSIG,20-24 ani, Feminin, Bihor, Anul 1999, Numar persoane,396
 29092 DIOSIG,25-29 ani, Masculin, Bihor, Anul 1992, Numar persoane,260
 29092 DIOSIG,25-29 ani, Masculin, Bihor, Anul 1993, Numar persoane,305
 29092 DIOSIG,25-29 ani, Masculin, Bihor, Anul 1994, Numar persoane,364
 29092 DIOSIG,25-29 ani, Masculin, Bihor, Anul 1995, Numar persoane,387
 29092 DIOSIG,25-29 ani, Masculin, Bihor, Anul 1996, Numar persoane,404
 29092 DIOSIG,25-29 ani, Masculin, Bihor, Anul 1997, Numar persoane,459
 29092 DIOSIG,25-29 ani, Masculin, Bihor, Anul 1998, Numar persoane,446
 29092 DIOSIG,25-29 ani, Masculin, Bihor, Anul 1999, Numar persoane,432
 29092 DIOSIG,25-29 ani, Feminin, Bihor, Anul 1992, Numar persoane,202
 29092 DIOSIG,25-29 ani, Feminin, Bihor, Anul 1993, Numar persoane,226
 29092 DIOSIG,25-29 ani, Feminin, Bihor, Anul 1994, Numar persoane,260
 29092 DIOSIG,25-29 ani, Feminin, Bihor, Anul 1995, Numar persoane,275
 29092 DIOSIG,25-29 ani, Feminin, Bihor, Anul 1996, Numar persoane,327
 29092 DIOSIG,25-29 ani, Feminin, Bihor, Anul 1997, Numar persoane,363
 29092 DIOSIG,25-29 ani, Feminin, Bihor, Anul 1998, Numar persoane,382
 29092 DIOSIG,25-29 ani, Feminin, Bihor, Anul 1999, Numar persoane,378
 29092 DIOSIG,30-34 ani, Masculin, Bihor, Anul 1992, Numar persoane,330
 29092 DIOSIG,30-34 ani, Masculin, Bihor, Anul 1993, Numar persoane,307
 29092 DIOSIG,30-34 ani, Masculin, Bihor, Anul 1994, Numar persoane,279
 29092 DIOSIG,30-34 ani, Masculin, Bihor, Anul 1995, Numar persoane,264
 29092 DIOSIG,30-34 ani, Masculin, Bihor, Anul 1996, Numar persoane,261
 29092 DIOSIG,30-34 ani, Masculin, Bihor, Anul 1997, Numar persoane,254
 29092 DIOSIG,30-34 ani, Masculin, Bihor, Anul 1998, Numar persoane,294
 29092 DIOSIG,30-34 ani, Masculin, Bihor, Anul 1999, Numar persoane,351
 29092 DIOSIG,30-34 ani, Feminin, Bihor, Anul 1992, Numar persoane,244
 29092 DIOSIG,30-34 ani, Feminin, Bihor, Anul 1993, Numar persoane,231
 29092 DIOSIG,30-34 ani, Feminin, Bihor, Anul 1994, Numar persoane,205
 29092 DIOSIG,30-34 ani, Feminin, Bihor, Anul 1995, Numar persoane,211
 29092 DIOSIG,30-34 ani, Feminin, Bihor, Anul 1996, Numar persoane,202
 29092 DIOSIG,30-34 ani, Feminin, Bihor, Anul 1997, Numar persoane,208
 29092 DIOSIG,30-34 ani, Feminin, Bihor, Anul 1998, Numar persoane,225
 29092 DIOSIG,30-34 ani, Feminin, Bihor, Anul 1999, Numar persoane,264
 29092 DIOSIG,35-39 ani, Masculin, Bihor, Anul 1992, Numar persoane,289
 29092 DIOSIG,35-39 ani, Masculin, Bihor, Anul 1993, Numar persoane,294
 29092 DIOSIG,35-39 ani, Masculin, Bihor, Anul 1994, Numar persoane,314
 29092 DIOSIG,35-39 ani, Masculin, Bihor, Anul 1995, Numar persoane,332
 29092 DIOSIG,35-39 ani, Masculin, Bihor, Anul 1996, Numar persoane,320
 29092 DIOSIG,35-39 ani, Masculin, Bihor, Anul 1997, Numar persoane,305
 29092 DIOSIG,35-39 ani, Masculin, Bihor, Anul 1998, Numar persoane,294
 29092 DIOSIG,35-39 ani, Masculin, Bihor, Anul 1999, Numar persoane,271
 29092 DIOSIG,35-39 ani, Feminin, Bihor, Anul 1992, Numar persoane,268
 29092 DIOSIG,35-39 ani, Feminin, Bihor, Anul 1993, Numar persoane,261
 29092 DIOSIG,35-39 ani, Feminin, Bihor, Anul 1994, Numar persoane,263
 29092 DIOSIG,35-39 ani, Feminin, Bihor, Anul 1995, Numar persoane,255
 29092 DIOSIG,35-39 ani, Feminin, Bihor, Anul 1996, Numar persoane,252
 29092 DIOSIG,35-39 ani, Feminin, Bihor, Anul 1997, Numar persoane,238
 29092 DIOSIG,35-39 ani, Feminin, Bihor, Anul 1998, Numar persoane,230
 29092 DIOSIG,35-39 ani, Feminin, Bihor, Anul 1999, Numar persoane,212
 29092 DIOSIG,40-44 ani, Masculin, Bihor, Anul 1992, Numar persoane,255
 29092 DIOSIG,40-44 ani, Masculin, Bihor, Anul 1993, Numar persoane,260
 29092 DIOSIG,40-44 ani, Masculin, Bihor, Anul 1994, Numar persoane,254
 29092 DIOSIG,40-44 ani, Masculin, Bihor, Anul 1995, Numar persoane,273
 29092 DIOSIG,40-44 ani, Masculin, Bihor, Anul 1996, Numar persoane,279
 29092 DIOSIG,40-44 ani, Masculin, Bihor, Anul 1997, Numar persoane,288
 29092 DIOSIG,40-44 ani, Masculin, Bihor, Anul 1998, Numar persoane,287
 29092 DIOSIG,40-44 ani, Masculin, Bihor, Anul 1999, Numar persoane,309
 29092 DIOSIG,40-44 ani, Feminin, Bihor, Anul 1992, Numar persoane,287
 29092 DIOSIG,40-44 ani, Feminin, Bihor, Anul 1993, Numar persoane,282
 29092 DIOSIG,40-44 ani, Feminin, Bihor, Anul 1994, Numar persoane,293
 29092 DIOSIG,40-44 ani, Feminin, Bihor, Anul 1995, Numar persoane,290
 29092 DIOSIG,40-44 ani, Feminin, Bihor, Anul 1996, Numar persoane,283
 29092 DIOSIG,40-44 ani, Feminin, Bihor, Anul 1997, Numar persoane,264
 29092 DIOSIG,40-44 ani, Feminin, Bihor, Anul 1998, Numar persoane,260
 29092 DIOSIG,40-44 ani, Feminin, Bihor, Anul 1999, Numar persoane,265
 29092 DIOSIG,45-49 ani, Masculin, Bihor, Anul 1992, Numar persoane,244
 29092 DIOSIG,45-49 ani, Masculin, Bihor, Anul 1993, Numar persoane,247
 29092 DIOSIG,45-49 ani, Masculin, Bihor, Anul 1994, Numar persoane,250
 29092 DIOSIG,45-49 ani, Masculin, Bihor, Anul 1995, Numar persoane,237
 29092 DIOSIG,45-49 ani, Masculin, Bihor, Anul 1996, Numar persoane,247
 29092 DIOSIG,45-49 ani, Masculin, Bihor, Anul 1997, Numar persoane,246
 29092 DIOSIG,45-49 ani, Masculin, Bihor, Anul 1998, Numar persoane,255
 29092 DIOSIG,45-49 ani, Masculin, Bihor, Anul 1999, Numar persoane,248
 29092 DIOSIG,45-49 ani, Feminin, Bihor, Anul 1992, Numar persoane,276
 29092 DIOSIG,45-49 ani, Feminin, Bihor, Anul 1993, Numar persoane,269
 29092 DIOSIG,45-49 ani, Feminin, Bihor, Anul 1994, Numar persoane,256
 29092 DIOSIG,45-49 ani, Feminin, Bihor, Anul 1995, Numar persoane,260
 29092 DIOSIG,45-49 ani, Feminin, Bihor, Anul 1996, Numar persoane,267
 29092 DIOSIG,45-49 ani, Feminin, Bihor, Anul 1997, Numar persoane,283
 29092 DIOSIG,45-49 ani, Feminin, Bihor, Anul 1998, Numar persoane,285
 29092 DIOSIG,45-49 ani, Feminin, Bihor, Anul 1999, Numar persoane,300
 29092 DIOSIG,50-54 ani, Masculin, Bihor, Anul 1992, Numar persoane,259
 29092 DIOSIG,50-54 ani, Masculin, Bihor, Anul 1993, Numar persoane,251
 29092 DIOSIG,50-54 ani, Masculin, Bihor, Anul 1994, Numar persoane,233
 29092 DIOSIG,50-54 ani, Masculin, Bihor, Anul 1995, Numar persoane,237
 29092 DIOSIG,50-54 ani, Masculin, Bihor, Anul 1996, Numar persoane,221
 29092 DIOSIG,50-54 ani, Masculin, Bihor, Anul 1997, Numar persoane,225
 29092 DIOSIG,50-54 ani, Masculin, Bihor, Anul 1998, Numar persoane,228
 29092 DIOSIG,50-54 ani, Masculin, Bihor, Anul 1999, Numar persoane,243
 29092 DIOSIG,50-54 ani, Feminin, Bihor, Anul 1992, Numar persoane,309
 29092 DIOSIG,50-54 ani, Feminin, Bihor, Anul 1993, Numar persoane,303
 29092 DIOSIG,50-54 ani, Feminin, Bihor, Anul 1994, Numar persoane,295
 29092 DIOSIG,50-54 ani, Feminin, Bihor, Anul 1995, Numar persoane,280
 29092 DIOSIG,50-54 ani, Feminin, Bihor, Anul 1996, Numar persoane,277
 29092 DIOSIG,50-54 ani, Feminin, Bihor, Anul 1997, Numar persoane,268
 29092 DIOSIG,50-54 ani, Feminin, Bihor, Anul 1998, Numar persoane,262
 29092 DIOSIG,50-54 ani, Feminin, Bihor, Anul 1999, Numar persoane,252
 29092 DIOSIG,55-59 ani, Masculin, Bihor, Anul 1992, Numar persoane,305
 29092 DIOSIG,55-59 ani, Masculin, Bihor, Anul 1993, Numar persoane,285
