 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 29243 DRAGANESTI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,89
 29243 DRAGANESTI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,91
 29243 DRAGANESTI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,96
 29243 DRAGANESTI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,84
 29243 DRAGANESTI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,80
 29243 DRAGANESTI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,74
 29243 DRAGANESTI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,70
 29243 DRAGANESTI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,72
 29243 DRAGANESTI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,81
 29243 DRAGANESTI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,84
 29243 DRAGANESTI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,70
 29243 DRAGANESTI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,71
 29243 DRAGANESTI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,60
 29243 DRAGANESTI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,68
 29243 DRAGANESTI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,65
 29243 DRAGANESTI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,74
 29243 DRAGANESTI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,83
 29243 DRAGANESTI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,80
 29243 DRAGANESTI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,86
 29243 DRAGANESTI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,86
 29243 DRAGANESTI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,88
 29243 DRAGANESTI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,93
 29243 DRAGANESTI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,94
 29243 DRAGANESTI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,92
 29243 DRAGANESTI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,106
 29243 DRAGANESTI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,96
 29243 DRAGANESTI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,102
 29243 DRAGANESTI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,89
 29243 DRAGANESTI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,90
 29243 DRAGANESTI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,83
 29243 DRAGANESTI,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,84
 29243 DRAGANESTI,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,65
 29243 DRAGANESTI,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,110
 29243 DRAGANESTI,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,98
 29243 DRAGANESTI,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,100
 29243 DRAGANESTI,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,95
 29243 DRAGANESTI,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,92
 29243 DRAGANESTI,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,81
 29243 DRAGANESTI,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,81
 29243 DRAGANESTI,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,86
 29243 DRAGANESTI,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,127
 29243 DRAGANESTI,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,123
 29243 DRAGANESTI,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,127
 29243 DRAGANESTI,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,126
 29243 DRAGANESTI,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,113
 29243 DRAGANESTI,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,106
 29243 DRAGANESTI,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,97
 29243 DRAGANESTI,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,100
 29243 DRAGANESTI,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,118
 29243 DRAGANESTI,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,122
