 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 29341 DRAGESTI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,116
 29341 DRAGESTI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,111
 29341 DRAGESTI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,113
 29341 DRAGESTI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,92
 29341 DRAGESTI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,90
 29341 DRAGESTI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,95
 29341 DRAGESTI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,95
 29341 DRAGESTI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,108
 29341 DRAGESTI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,87
 29341 DRAGESTI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,89
 29341 DRAGESTI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,83
 29341 DRAGESTI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,70
 29341 DRAGESTI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,62
 29341 DRAGESTI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,61
 29341 DRAGESTI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,47
 29341 DRAGESTI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,66
 29341 DRAGESTI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,89
 29341 DRAGESTI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,95
 29341 DRAGESTI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,89
 29341 DRAGESTI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,96
 29341 DRAGESTI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,103
 29341 DRAGESTI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,101
 29341 DRAGESTI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,109
 29341 DRAGESTI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,110
 29341 DRAGESTI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,73
 29341 DRAGESTI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,83
 29341 DRAGESTI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,79
 29341 DRAGESTI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,89
 29341 DRAGESTI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,85
 29341 DRAGESTI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,85
 29341 DRAGESTI,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,88
 29341 DRAGESTI,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,85
 29341 DRAGESTI,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,107
 29341 DRAGESTI,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,103
 29341 DRAGESTI,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,98
 29341 DRAGESTI,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,105
 29341 DRAGESTI,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,90
 29341 DRAGESTI,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,86
 29341 DRAGESTI,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,87
 29341 DRAGESTI,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,89
 29341 DRAGESTI,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,84
 29341 DRAGESTI,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,83
 29341 DRAGESTI,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,87
