 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 29662 HUSASAU DE TINCA,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,44
 29662 HUSASAU DE TINCA,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,39
 29662 HUSASAU DE TINCA,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,40
 29662 HUSASAU DE TINCA,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,34
 29662 HUSASAU DE TINCA,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,37
 29662 HUSASAU DE TINCA,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,42
 29662 HUSASAU DE TINCA,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,52
 29662 HUSASAU DE TINCA,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,61
 29662 HUSASAU DE TINCA,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,69
 29662 HUSASAU DE TINCA,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,66
 29662 HUSASAU DE TINCA,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,60
 29662 HUSASAU DE TINCA,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,57
 29662 HUSASAU DE TINCA,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,49
 29662 HUSASAU DE TINCA,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,48
 29662 HUSASAU DE TINCA,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,47
 29662 HUSASAU DE TINCA,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,45
 29662 HUSASAU DE TINCA,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,49
 29662 HUSASAU DE TINCA,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,55
 29662 HUSASAU DE TINCA,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,53
 29662 HUSASAU DE TINCA,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,49
 29662 HUSASAU DE TINCA,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,48
 29662 HUSASAU DE TINCA,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,42
 29662 HUSASAU DE TINCA,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,36
 29662 HUSASAU DE TINCA,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,38
 29662 HUSASAU DE TINCA,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,48
