 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 29813 LAZARENI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,119
 29813 LAZARENI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,114
 29813 LAZARENI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,117
 29813 LAZARENI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,113
 29813 LAZARENI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,105
 29813 LAZARENI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,115
 29813 LAZARENI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,121
 29813 LAZARENI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,120
 29813 LAZARENI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,116
 29813 LAZARENI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,107
 29813 LAZARENI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,104
 29813 LAZARENI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,102
 29813 LAZARENI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,111
 29813 LAZARENI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,93
 29813 LAZARENI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,90
 29813 LAZARENI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,93
 29813 LAZARENI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,100
 29813 LAZARENI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,112
 29813 LAZARENI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,113
 29813 LAZARENI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,123
 29813 LAZARENI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,131
 29813 LAZARENI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,128
 29813 LAZARENI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,118
 29813 LAZARENI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,123
 29813 LAZARENI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,85
 29813 LAZARENI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,91
 29813 LAZARENI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,100
 29813 LAZARENI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,99
 29813 LAZARENI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,95
 29813 LAZARENI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,128
 29813 LAZARENI,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,115
 29813 LAZARENI,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,107
 29813 LAZARENI,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,112
 29813 LAZARENI,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,105
 29813 LAZARENI,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,101
 29813 LAZARENI,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,77
