 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 30014 MADARAS,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,91
 30014 MADARAS,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,85
 30014 MADARAS,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,90
 30014 MADARAS,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,73
 30014 MADARAS,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,75
 30014 MADARAS,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,86
 30014 MADARAS,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,91
 30014 MADARAS,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,77
 30014 MADARAS,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,75
 30014 MADARAS,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,91
 30014 MADARAS,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,72
 30014 MADARAS,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,69
 30014 MADARAS,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,74
 30014 MADARAS,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,82
 30014 MADARAS,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,69
 30014 MADARAS,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,82
 30014 MADARAS,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,71
 30014 MADARAS,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,69
 30014 MADARAS,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,83
 30014 MADARAS,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,88
 30014 MADARAS,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,85
 30014 MADARAS,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,90
 30014 MADARAS,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,93
 30014 MADARAS,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,97
 30014 MADARAS,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,81
 30014 MADARAS,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,71
 30014 MADARAS,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,87
 30014 MADARAS,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,89
 30014 MADARAS,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,91
 30014 MADARAS,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,83
 30014 MADARAS,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,96
 30014 MADARAS,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,79
 30014 MADARAS,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,111
 30014 MADARAS,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,107
 30014 MADARAS,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,92
 30014 MADARAS,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,80
 30014 MADARAS,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,92
 30014 MADARAS,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,80
 30014 MADARAS,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,85
 30014 MADARAS,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,98
 30014 MADARAS,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,87
 30014 MADARAS,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,87
 30014 MADARAS,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,86
 30014 MADARAS,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,81
 30014 MADARAS,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,89
 30014 MADARAS,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,90
 30014 MADARAS,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,83
 30014 MADARAS,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,96
 30014 MADARAS,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,132
 30014 MADARAS,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,120
 30014 MADARAS,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,119
 30014 MADARAS,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,115
 30014 MADARAS,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,106
 30014 MADARAS,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,113
 30014 MADARAS,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,108
 30014 MADARAS,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,93
 30014 MADARAS,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,123
 30014 MADARAS,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,124
 30014 MADARAS,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,115
 30014 MADARAS,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,105
 30014 MADARAS,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,95
 30014 MADARAS,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,95
 30014 MADARAS,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,100
 30014 MADARAS,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,94
 30014 MADARAS,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,151
 30014 MADARAS,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,149
 30014 MADARAS,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,151
 30014 MADARAS,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,142
 30014 MADARAS,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,141
 30014 MADARAS,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,132
