 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 30416 POCOLA,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,48
 30416 POCOLA,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,43
 30416 POCOLA,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,35
 30416 POCOLA,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,31
 30416 POCOLA,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,28
 30416 POCOLA,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,31
 30416 POCOLA,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,31
 30416 POCOLA,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,34
 30416 POCOLA,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,40
 30416 POCOLA,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,37
 30416 POCOLA,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,30
 30416 POCOLA,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,24
 30416 POCOLA,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,22
 30416 POCOLA,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,27
 30416 POCOLA,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,24
 30416 POCOLA,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,26
 30416 POCOLA,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,46
 30416 POCOLA,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,47
 30416 POCOLA,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,52
 30416 POCOLA,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,51
 30416 POCOLA,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,43
 30416 POCOLA,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,41
 30416 POCOLA,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,42
 30416 POCOLA,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,37
 30416 POCOLA,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,42
 30416 POCOLA,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,41
 30416 POCOLA,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,43
 30416 POCOLA,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,41
 30416 POCOLA,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,35
 30416 POCOLA,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,34
 30416 POCOLA,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,35
 30416 POCOLA,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,32
 30416 POCOLA,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,52
 30416 POCOLA,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,52
 30416 POCOLA,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,43
 30416 POCOLA,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,41
 30416 POCOLA,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,45
 30416 POCOLA,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,45
 30416 POCOLA,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,43
 30416 POCOLA,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,51
 30416 POCOLA,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,52
 30416 POCOLA,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,47
 30416 POCOLA,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,39
 30416 POCOLA,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,41
 30416 POCOLA,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,43
 30416 POCOLA,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,42
 30416 POCOLA,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,40
 30416 POCOLA,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,40
 30416 POCOLA,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,70
 30416 POCOLA,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,65
 30416 POCOLA,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,72
 30416 POCOLA,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,65
 30416 POCOLA,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,56
 30416 POCOLA,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,52
