 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 30470 POMEZEU,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,120
 30470 POMEZEU,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,121
 30470 POMEZEU,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,122
 30470 POMEZEU,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,116
 30470 POMEZEU,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,113
 30470 POMEZEU,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,109
 30470 POMEZEU,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,116
 30470 POMEZEU,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,106
 30470 POMEZEU,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,89
 30470 POMEZEU,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,92
 30470 POMEZEU,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,96
 30470 POMEZEU,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,96
 30470 POMEZEU,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,85
 30470 POMEZEU,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,95
 30470 POMEZEU,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,89
 30470 POMEZEU,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,93
 30470 POMEZEU,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,111
 30470 POMEZEU,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,122
 30470 POMEZEU,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,113
 30470 POMEZEU,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,116
 30470 POMEZEU,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,114
 30470 POMEZEU,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,116
 30470 POMEZEU,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,111
 30470 POMEZEU,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,111
 30470 POMEZEU,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,96
 30470 POMEZEU,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,95
 30470 POMEZEU,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,92
 30470 POMEZEU,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,93
 30470 POMEZEU,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,93
 30470 POMEZEU,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,88
 30470 POMEZEU,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,95
 30470 POMEZEU,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,91
 30470 POMEZEU,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,125
 30470 POMEZEU,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,113
 30470 POMEZEU,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,109
 30470 POMEZEU,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,113
 30470 POMEZEU,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,104
 30470 POMEZEU,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,102
 30470 POMEZEU,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,114
 30470 POMEZEU,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,110
 30470 POMEZEU,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,128
 30470 POMEZEU,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,118
 30470 POMEZEU,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,112
 30470 POMEZEU,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,104
 30470 POMEZEU,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,96
 30470 POMEZEU,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,96
 30470 POMEZEU,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,94
 30470 POMEZEU,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,93
 30470 POMEZEU,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,181
 30470 POMEZEU,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,175
 30470 POMEZEU,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,162
 30470 POMEZEU,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,144
 30470 POMEZEU,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,138
 30470 POMEZEU,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,122
 30470 POMEZEU,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,110
 30470 POMEZEU,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,107
 30470 POMEZEU,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,148
 30470 POMEZEU,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,150
 30470 POMEZEU,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,140
 30470 POMEZEU,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,144
 30470 POMEZEU,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,137
 30470 POMEZEU,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,123
 30470 POMEZEU,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,118
 30470 POMEZEU,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,108
 30470 POMEZEU,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,178
 30470 POMEZEU,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,175
 30470 POMEZEU,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,178
 30470 POMEZEU,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,176
 30470 POMEZEU,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,172
 30470 POMEZEU,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,174
 30470 POMEZEU,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,173
 30470 POMEZEU,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,159
 30470 POMEZEU,20-24 ani, Feminin, Bihor, Anul 1992, Numar persoane,151
 30470 POMEZEU,20-24 ani, Feminin, Bihor, Anul 1993, Numar persoane,144
 30470 POMEZEU,20-24 ani, Feminin, Bihor, Anul 1994, Numar persoane,155
 30470 POMEZEU,20-24 ani, Feminin, Bihor, Anul 1995, Numar persoane,143
 30470 POMEZEU,20-24 ani, Feminin, Bihor, Anul 1996, Numar persoane,131
 30470 POMEZEU,20-24 ani, Feminin, Bihor, Anul 1997, Numar persoane,135
 30470 POMEZEU,20-24 ani, Feminin, Bihor, Anul 1998, Numar persoane,140
 30470 POMEZEU,20-24 ani, Feminin, Bihor, Anul 1999, Numar persoane,134
 30470 POMEZEU,25-29 ani, Masculin, Bihor, Anul 1992, Numar persoane,99
 30470 POMEZEU,25-29 ani, Masculin, Bihor, Anul 1993, Numar persoane,105
 30470 POMEZEU,25-29 ani, Masculin, Bihor, Anul 1994, Numar persoane,135
 30470 POMEZEU,25-29 ani, Masculin, Bihor, Anul 1995, Numar persoane,149
 30470 POMEZEU,25-29 ani, Masculin, Bihor, Anul 1996, Numar persoane,159
 30470 POMEZEU,25-29 ani, Masculin, Bihor, Anul 1997, Numar persoane,150
 30470 POMEZEU,25-29 ani, Masculin, Bihor, Anul 1998, Numar persoane,151
 30470 POMEZEU,25-29 ani, Masculin, Bihor, Anul 1999, Numar persoane,149
 30470 POMEZEU,25-29 ani, Feminin, Bihor, Anul 1992, Numar persoane,62
 30470 POMEZEU,25-29 ani, Feminin, Bihor, Anul 1993, Numar persoane,86
 30470 POMEZEU,25-29 ani, Feminin, Bihor, Anul 1994, Numar persoane,95
 30470 POMEZEU,25-29 ani, Feminin, Bihor, Anul 1995, Numar persoane,103
 30470 POMEZEU,25-29 ani, Feminin, Bihor, Anul 1996, Numar persoane,123
 30470 POMEZEU,25-29 ani, Feminin, Bihor, Anul 1997, Numar persoane,133
 30470 POMEZEU,25-29 ani, Feminin, Bihor, Anul 1998, Numar persoane,114
 30470 POMEZEU,25-29 ani, Feminin, Bihor, Anul 1999, Numar persoane,120
 30470 POMEZEU,30-34 ani, Masculin, Bihor, Anul 1992, Numar persoane,68
 30470 POMEZEU,30-34 ani, Masculin, Bihor, Anul 1993, Numar persoane,62
 30470 POMEZEU,30-34 ani, Masculin, Bihor, Anul 1994, Numar persoane,59
 30470 POMEZEU,30-34 ani, Masculin, Bihor, Anul 1995, Numar persoane,63
 30470 POMEZEU,30-34 ani, Masculin, Bihor, Anul 1996, Numar persoane,70
 30470 POMEZEU,30-34 ani, Masculin, Bihor, Anul 1997, Numar persoane,84
 30470 POMEZEU,30-34 ani, Masculin, Bihor, Anul 1998, Numar persoane,95
 30470 POMEZEU,30-34 ani, Masculin, Bihor, Anul 1999, Numar persoane,115
 30470 POMEZEU,30-34 ani, Feminin, Bihor, Anul 1992, Numar persoane,66
 30470 POMEZEU,30-34 ani, Feminin, Bihor, Anul 1993, Numar persoane,64
 30470 POMEZEU,30-34 ani, Feminin, Bihor, Anul 1994, Numar persoane,51
 30470 POMEZEU,30-34 ani, Feminin, Bihor, Anul 1995, Numar persoane,57
 30470 POMEZEU,30-34 ani, Feminin, Bihor, Anul 1996, Numar persoane,57
 30470 POMEZEU,30-34 ani, Feminin, Bihor, Anul 1997, Numar persoane,57
 30470 POMEZEU,30-34 ani, Feminin, Bihor, Anul 1998, Numar persoane,78
 30470 POMEZEU,30-34 ani, Feminin, Bihor, Anul 1999, Numar persoane,83
 30470 POMEZEU,35-39 ani, Masculin, Bihor, Anul 1992, Numar persoane,103
 30470 POMEZEU,35-39 ani, Masculin, Bihor, Anul 1993, Numar persoane,97
 30470 POMEZEU,35-39 ani, Masculin, Bihor, Anul 1994, Numar persoane,87
 30470 POMEZEU,35-39 ani, Masculin, Bihor, Anul 1995, Numar persoane,82
 30470 POMEZEU,35-39 ani, Masculin, Bihor, Anul 1996, Numar persoane,75
 30470 POMEZEU,35-39 ani, Masculin, Bihor, Anul 1997, Numar persoane,65
 30470 POMEZEU,35-39 ani, Masculin, Bihor, Anul 1998, Numar persoane,63
 30470 POMEZEU,35-39 ani, Masculin, Bihor, Anul 1999, Numar persoane,58
 30470 POMEZEU,35-39 ani, Feminin, Bihor, Anul 1992, Numar persoane,120
 30470 POMEZEU,35-39 ani, Feminin, Bihor, Anul 1993, Numar persoane,110
 30470 POMEZEU,35-39 ani, Feminin, Bihor, Anul 1994, Numar persoane,98
 30470 POMEZEU,35-39 ani, Feminin, Bihor, Anul 1995, Numar persoane,85
 30470 POMEZEU,35-39 ani, Feminin, Bihor, Anul 1996, Numar persoane,79
 30470 POMEZEU,35-39 ani, Feminin, Bihor, Anul 1997, Numar persoane,63
 30470 POMEZEU,35-39 ani, Feminin, Bihor, Anul 1998, Numar persoane,61
 30470 POMEZEU,35-39 ani, Feminin, Bihor, Anul 1999, Numar persoane,49
 30470 POMEZEU,40-44 ani, Masculin, Bihor, Anul 1992, Numar persoane,128
 30470 POMEZEU,40-44 ani, Masculin, Bihor, Anul 1993, Numar persoane,117
 30470 POMEZEU,40-44 ani, Masculin, Bihor, Anul 1994, Numar persoane,112
 30470 POMEZEU,40-44 ani, Masculin, Bihor, Anul 1995, Numar persoane,104
 30470 POMEZEU,40-44 ani, Masculin, Bihor, Anul 1996, Numar persoane,93
 30470 POMEZEU,40-44 ani, Masculin, Bihor, Anul 1997, Numar persoane,91
 30470 POMEZEU,40-44 ani, Masculin, Bihor, Anul 1998, Numar persoane,91
 30470 POMEZEU,40-44 ani, Masculin, Bihor, Anul 1999, Numar persoane,85
 30470 POMEZEU,40-44 ani, Feminin, Bihor, Anul 1992, Numar persoane,122
 30470 POMEZEU,40-44 ani, Feminin, Bihor, Anul 1993, Numar persoane,117
 30470 POMEZEU,40-44 ani, Feminin, Bihor, Anul 1994, Numar persoane,120
 30470 POMEZEU,40-44 ani, Feminin, Bihor, Anul 1995, Numar persoane,116
 30470 POMEZEU,40-44 ani, Feminin, Bihor, Anul 1996, Numar persoane,104
 30470 POMEZEU,40-44 ani, Feminin, Bihor, Anul 1997, Numar persoane,115
 30470 POMEZEU,40-44 ani, Feminin, Bihor, Anul 1998, Numar persoane,107
 30470 POMEZEU,40-44 ani, Feminin, Bihor, Anul 1999, Numar persoane,95
 30470 POMEZEU,45-49 ani, Masculin, Bihor, Anul 1992, Numar persoane,98
 30470 POMEZEU,45-49 ani, Masculin, Bihor, Anul 1993, Numar persoane,103
 30470 POMEZEU,45-49 ani, Masculin, Bihor, Anul 1994, Numar persoane,109
 30470 POMEZEU,45-49 ani, Masculin, Bihor, Anul 1995, Numar persoane,110
 30470 POMEZEU,45-49 ani, Masculin, Bihor, Anul 1996, Numar persoane,119
 30470 POMEZEU,45-49 ani, Masculin, Bihor, Anul 1997, Numar persoane,120
 30470 POMEZEU,45-49 ani, Masculin, Bihor, Anul 1998, Numar persoane,109
 30470 POMEZEU,45-49 ani, Masculin, Bihor, Anul 1999, Numar persoane,104
 30470 POMEZEU,45-49 ani, Feminin, Bihor, Anul 1992, Numar persoane,115
 30470 POMEZEU,45-49 ani, Feminin, Bihor, Anul 1993, Numar persoane,120
 30470 POMEZEU,45-49 ani, Feminin, Bihor, Anul 1994, Numar persoane,128
 30470 POMEZEU,45-49 ani, Feminin, Bihor, Anul 1995, Numar persoane,132
 30470 POMEZEU,45-49 ani, Feminin, Bihor, Anul 1996, Numar persoane,139
 30470 POMEZEU,45-49 ani, Feminin, Bihor, Anul 1997, Numar persoane,116
 30470 POMEZEU,45-49 ani, Feminin, Bihor, Anul 1998, Numar persoane,114
 30470 POMEZEU,45-49 ani, Feminin, Bihor, Anul 1999, Numar persoane,119
 30470 POMEZEU,50-54 ani, Masculin, Bihor, Anul 1992, Numar persoane,154
 30470 POMEZEU,50-54 ani, Masculin, Bihor, Anul 1993, Numar persoane,133
 30470 POMEZEU,50-54 ani, Masculin, Bihor, Anul 1994, Numar persoane,123
 30470 POMEZEU,50-54 ani, Masculin, Bihor, Anul 1995, Numar persoane,116
 30470 POMEZEU,50-54 ani, Masculin, Bihor, Anul 1996, Numar persoane,103
 30470 POMEZEU,50-54 ani, Masculin, Bihor, Anul 1997, Numar persoane,94
 30470 POMEZEU,50-54 ani, Masculin, Bihor, Anul 1998, Numar persoane,97
 30470 POMEZEU,50-54 ani, Masculin, Bihor, Anul 1999, Numar persoane,101
 30470 POMEZEU,50-54 ani, Feminin, Bihor, Anul 1992, Numar persoane,160
 30470 POMEZEU,50-54 ani, Feminin, Bihor, Anul 1993, Numar persoane,149
 30470 POMEZEU,50-54 ani, Feminin, Bihor, Anul 1994, Numar persoane,131
 30470 POMEZEU,50-54 ani, Feminin, Bihor, Anul 1995, Numar persoane,124
 30470 POMEZEU,50-54 ani, Feminin, Bihor, Anul 1996, Numar persoane,106
 30470 POMEZEU,50-54 ani, Feminin, Bihor, Anul 1997, Numar persoane,114
 30470 POMEZEU,50-54 ani, Feminin, Bihor, Anul 1998, Numar persoane,117
 30470 POMEZEU,50-54 ani, Feminin, Bihor, Anul 1999, Numar persoane,121
 30470 POMEZEU,55-59 ani, Masculin, Bihor, Anul 1992, Numar persoane,182
 30470 POMEZEU,55-59 ani, Masculin, Bihor, Anul 1993, Numar persoane,177
 30470 POMEZEU,55-59 ani, Masculin, Bihor, Anul 1994, Numar persoane,176
 30470 POMEZEU,55-59 ani, Masculin, Bihor, Anul 1995, Numar persoane,159
 30470 POMEZEU,55-59 ani, Masculin, Bihor, Anul 1996, Numar persoane,147
 30470 POMEZEU,55-59 ani, Masculin, Bihor, Anul 1997, Numar persoane,145
 30470 POMEZEU,55-59 ani, Masculin, Bihor, Anul 1998, Numar persoane,124
 30470 POMEZEU,55-59 ani, Masculin, Bihor, Anul 1999, Numar persoane,118
 30470 POMEZEU,55-59 ani, Feminin, Bihor, Anul 1992, Numar persoane,192
 30470 POMEZEU,55-59 ani, Feminin, Bihor, Anul 1993, Numar persoane,181
 30470 POMEZEU,55-59 ani, Feminin, Bihor, Anul 1994, Numar persoane,179
 30470 POMEZEU,55-59 ani, Feminin, Bihor, Anul 1995, Numar persoane,170
 30470 POMEZEU,55-59 ani, Feminin, Bihor, Anul 1996, Numar persoane,168
 30470 POMEZEU,55-59 ani, Feminin, Bihor, Anul 1997, Numar persoane,156
 30470 POMEZEU,55-59 ani, Feminin, Bihor, Anul 1998, Numar persoane,146
 30470 POMEZEU,55-59 ani, Feminin, Bihor, Anul 1999, Numar persoane,127
 30470 POMEZEU,60-64 ani, Masculin, Bihor, Anul 1992, Numar persoane,138
 30470 POMEZEU,60-64 ani, Masculin, Bihor, Anul 1993, Numar persoane,153
 30470 POMEZEU,60-64 ani, Masculin, Bihor, Anul 1994, Numar persoane,147
 30470 POMEZEU,60-64 ani, Masculin, Bihor, Anul 1995, Numar persoane,165
 30470 POMEZEU,60-64 ani, Masculin, Bihor, Anul 1996, Numar persoane,167
 30470 POMEZEU,60-64 ani, Masculin, Bihor, Anul 1997, Numar persoane,162
 30470 POMEZEU,60-64 ani, Masculin, Bihor, Anul 1998, Numar persoane,158
 30470 POMEZEU,60-64 ani, Masculin, Bihor, Anul 1999, Numar persoane,155
 30470 POMEZEU,60-64 ani, Feminin, Bihor, Anul 1992, Numar persoane,142
 30470 POMEZEU,60-64 ani, Feminin, Bihor, Anul 1993, Numar persoane,162
 30470 POMEZEU,60-64 ani, Feminin, Bihor, Anul 1994, Numar persoane,177
