 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 31208 SPINUS,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,40
 31208 SPINUS,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,42
 31208 SPINUS,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,46
 31208 SPINUS,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,43
 31208 SPINUS,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,50
 31208 SPINUS,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,56
 31208 SPINUS,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,53
 31208 SPINUS,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,48
 31208 SPINUS,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,38
 31208 SPINUS,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,44
 31208 SPINUS,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,42
 31208 SPINUS,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,37
 31208 SPINUS,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,48
 31208 SPINUS,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,49
 31208 SPINUS,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,42
 31208 SPINUS,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,37
 31208 SPINUS,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,37
 31208 SPINUS,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,34
 31208 SPINUS,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,27
 31208 SPINUS,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,33
 31208 SPINUS,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,37
 31208 SPINUS,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,41
 31208 SPINUS,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,46
 31208 SPINUS,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,51
 31208 SPINUS,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,24
 31208 SPINUS,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,26
 31208 SPINUS,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,27
 31208 SPINUS,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,33
 31208 SPINUS,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,34
 31208 SPINUS,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,38
 31208 SPINUS,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,44
 31208 SPINUS,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,47
 31208 SPINUS,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,62
 31208 SPINUS,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,53
 31208 SPINUS,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,48
 31208 SPINUS,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,42
 31208 SPINUS,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,41
 31208 SPINUS,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,35
 31208 SPINUS,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,33
 31208 SPINUS,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,28
 31208 SPINUS,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,47
 31208 SPINUS,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,36
 31208 SPINUS,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,32
 31208 SPINUS,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,26
 31208 SPINUS,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,23
 31208 SPINUS,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,24
 31208 SPINUS,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,27
 31208 SPINUS,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,30
 31208 SPINUS,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,74
 31208 SPINUS,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,73
 31208 SPINUS,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,73
 31208 SPINUS,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,68
 31208 SPINUS,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,62
 31208 SPINUS,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,55
 31208 SPINUS,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,49
 31208 SPINUS,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,46
 31208 SPINUS,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,61
