 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 31565 TARCEA,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,104
 31565 TARCEA,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,100
 31565 TARCEA,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,87
 31565 TARCEA,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,86
 31565 TARCEA,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,77
 31565 TARCEA,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,69
 31565 TARCEA,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,71
 31565 TARCEA,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,80
 31565 TARCEA,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,98
 31565 TARCEA,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,91
 31565 TARCEA,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,78
 31565 TARCEA,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,74
 31565 TARCEA,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,77
 31565 TARCEA,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,70
 31565 TARCEA,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,68
 31565 TARCEA,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,77
 31565 TARCEA,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,86
 31565 TARCEA,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,97
 31565 TARCEA,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,105
 31565 TARCEA,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,105
 31565 TARCEA,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,109
 31565 TARCEA,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,108
 31565 TARCEA,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,99
 31565 TARCEA,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,93
 31565 TARCEA,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,100
 31565 TARCEA,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,104
 31565 TARCEA,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,104
 31565 TARCEA,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,102
 31565 TARCEA,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,103
 31565 TARCEA,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,97
 31565 TARCEA,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,85
 31565 TARCEA,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,79
 31565 TARCEA,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,97
 31565 TARCEA,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,83
 31565 TARCEA,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,82
 31565 TARCEA,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,82
 31565 TARCEA,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,88
 31565 TARCEA,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,95
 31565 TARCEA,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,107
 31565 TARCEA,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,114
 31565 TARCEA,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,98
 31565 TARCEA,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,87
 31565 TARCEA,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,90
 31565 TARCEA,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,99
 31565 TARCEA,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,97
 31565 TARCEA,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,105
 31565 TARCEA,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,111
 31565 TARCEA,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,111
 31565 TARCEA,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,140
 31565 TARCEA,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,135
 31565 TARCEA,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,125
 31565 TARCEA,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,129
 31565 TARCEA,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,106
 31565 TARCEA,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,101
 31565 TARCEA,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,90
 31565 TARCEA,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,95
