 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 31609 TARCAIA,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,71
 31609 TARCAIA,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,67
 31609 TARCAIA,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,62
 31609 TARCAIA,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,63
 31609 TARCAIA,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,51
 31609 TARCAIA,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,51
 31609 TARCAIA,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,49
 31609 TARCAIA,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,58
 31609 TARCAIA,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,71
 31609 TARCAIA,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,68
 31609 TARCAIA,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,61
 31609 TARCAIA,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,56
 31609 TARCAIA,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,61
 31609 TARCAIA,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,59
 31609 TARCAIA,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,61
 31609 TARCAIA,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,64
 31609 TARCAIA,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,84
 31609 TARCAIA,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,81
 31609 TARCAIA,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,65
 31609 TARCAIA,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,72
 31609 TARCAIA,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,62
 31609 TARCAIA,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,65
 31609 TARCAIA,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,61
 31609 TARCAIA,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,59
 31609 TARCAIA,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,87
 31609 TARCAIA,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,86
 31609 TARCAIA,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,91
 31609 TARCAIA,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,79
 31609 TARCAIA,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,73
 31609 TARCAIA,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,65
 31609 TARCAIA,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,61
 31609 TARCAIA,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,56
 31609 TARCAIA,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,90
 31609 TARCAIA,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,99
 31609 TARCAIA,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,107
 31609 TARCAIA,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,94
 31609 TARCAIA,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,99
 31609 TARCAIA,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,83
 31609 TARCAIA,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,79
 31609 TARCAIA,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,66
 31609 TARCAIA,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,92
 31609 TARCAIA,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,82
 31609 TARCAIA,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,76
 31609 TARCAIA,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,84
 31609 TARCAIA,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,79
 31609 TARCAIA,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,87
 31609 TARCAIA,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,88
 31609 TARCAIA,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,91
 31609 TARCAIA,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,102
 31609 TARCAIA,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,100
 31609 TARCAIA,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,89
 31609 TARCAIA,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,88
 31609 TARCAIA,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,91
 31609 TARCAIA,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,93
 31609 TARCAIA,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,102
 31609 TARCAIA,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,108
 31609 TARCAIA,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,100
 31609 TARCAIA,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,110
 31609 TARCAIA,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,106
 31609 TARCAIA,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,101
 31609 TARCAIA,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,101
 31609 TARCAIA,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,83
 31609 TARCAIA,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,80
 31609 TARCAIA,15-19 ani, Feminin, Bihor, Anul 1999, Numar persoane,70
 31609 TARCAIA,20-24 ani, Masculin, Bihor, Anul 1992, Numar persoane,79
 31609 TARCAIA,20-24 ani, Masculin, Bihor, Anul 1993, Numar persoane,72
 31609 TARCAIA,20-24 ani, Masculin, Bihor, Anul 1994, Numar persoane,86
 31609 TARCAIA,20-24 ani, Masculin, Bihor, Anul 1995, Numar persoane,93
 31609 TARCAIA,20-24 ani, Masculin, Bihor, Anul 1996, Numar persoane,93
 31609 TARCAIA,20-24 ani, Masculin, Bihor, Anul 1997, Numar persoane,101
 31609 TARCAIA,20-24 ani, Masculin, Bihor, Anul 1998, Numar persoane,98
 31609 TARCAIA,20-24 ani, Masculin, Bihor, Anul 1999, Numar persoane,85
 31609 TARCAIA,20-24 ani, Feminin, Bihor, Anul 1992, Numar persoane,91
 31609 TARCAIA,20-24 ani, Feminin, Bihor, Anul 1993, Numar persoane,86
 31609 TARCAIA,20-24 ani, Feminin, Bihor, Anul 1994, Numar persoane,81
