 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 31976 VADU CRISULUI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,179
 31976 VADU CRISULUI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,180
 31976 VADU CRISULUI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,184
 31976 VADU CRISULUI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,170
 31976 VADU CRISULUI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,166
 31976 VADU CRISULUI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,169
 31976 VADU CRISULUI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,165
 31976 VADU CRISULUI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,158
 31976 VADU CRISULUI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,175
 31976 VADU CRISULUI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,163
 31976 VADU CRISULUI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,161
 31976 VADU CRISULUI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,148
 31976 VADU CRISULUI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,149
 31976 VADU CRISULUI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,155
 31976 VADU CRISULUI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,158
 31976 VADU CRISULUI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,150
 31976 VADU CRISULUI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,159
 31976 VADU CRISULUI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,166
 31976 VADU CRISULUI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,167
 31976 VADU CRISULUI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,173
 31976 VADU CRISULUI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,164
 31976 VADU CRISULUI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,171
 31976 VADU CRISULUI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,169
 31976 VADU CRISULUI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,172
 31976 VADU CRISULUI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,180
 31976 VADU CRISULUI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,171
 31976 VADU CRISULUI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,177
 31976 VADU CRISULUI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,186
 31976 VADU CRISULUI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,178
 31976 VADU CRISULUI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,168
 31976 VADU CRISULUI,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,160
 31976 VADU CRISULUI,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,163
 31976 VADU CRISULUI,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,180
 31976 VADU CRISULUI,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,180
 31976 VADU CRISULUI,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,164
 31976 VADU CRISULUI,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,157
 31976 VADU CRISULUI,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,157
 31976 VADU CRISULUI,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,149
 31976 VADU CRISULUI,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,156
 31976 VADU CRISULUI,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,159
 31976 VADU CRISULUI,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,188
 31976 VADU CRISULUI,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,195
 31976 VADU CRISULUI,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,177
 31976 VADU CRISULUI,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,176
 31976 VADU CRISULUI,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,179
 31976 VADU CRISULUI,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,169
 31976 VADU CRISULUI,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,160
 31976 VADU CRISULUI,10-14 ani, Feminin, Bihor, Anul 1999, Numar persoane,165
 31976 VADU CRISULUI,15-19 ani, Masculin, Bihor, Anul 1992, Numar persoane,213
 31976 VADU CRISULUI,15-19 ani, Masculin, Bihor, Anul 1993, Numar persoane,196
 31976 VADU CRISULUI,15-19 ani, Masculin, Bihor, Anul 1994, Numar persoane,203
 31976 VADU CRISULUI,15-19 ani, Masculin, Bihor, Anul 1995, Numar persoane,218
 31976 VADU CRISULUI,15-19 ani, Masculin, Bihor, Anul 1996, Numar persoane,193
 31976 VADU CRISULUI,15-19 ani, Masculin, Bihor, Anul 1997, Numar persoane,176
 31976 VADU CRISULUI,15-19 ani, Masculin, Bihor, Anul 1998, Numar persoane,172
 31976 VADU CRISULUI,15-19 ani, Masculin, Bihor, Anul 1999, Numar persoane,161
 31976 VADU CRISULUI,15-19 ani, Feminin, Bihor, Anul 1992, Numar persoane,198
 31976 VADU CRISULUI,15-19 ani, Feminin, Bihor, Anul 1993, Numar persoane,202
 31976 VADU CRISULUI,15-19 ani, Feminin, Bihor, Anul 1994, Numar persoane,214
 31976 VADU CRISULUI,15-19 ani, Feminin, Bihor, Anul 1995, Numar persoane,189
 31976 VADU CRISULUI,15-19 ani, Feminin, Bihor, Anul 1996, Numar persoane,185
 31976 VADU CRISULUI,15-19 ani, Feminin, Bihor, Anul 1997, Numar persoane,183
 31976 VADU CRISULUI,15-19 ani, Feminin, Bihor, Anul 1998, Numar persoane,191
