 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Masculin, Bihor, Anul 1992, Numar persoane,421
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Masculin, Bihor, Anul 1993, Numar persoane,405
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Masculin, Bihor, Anul 1994, Numar persoane,366
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Masculin, Bihor, Anul 1995, Numar persoane,367
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Masculin, Bihor, Anul 1996, Numar persoane,342
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Masculin, Bihor, Anul 1997, Numar persoane,323
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Masculin, Bihor, Anul 1998, Numar persoane,296
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Masculin, Bihor, Anul 1999, Numar persoane,307
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Feminin, Bihor, Anul 1992, Numar persoane,425
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Feminin, Bihor, Anul 1993, Numar persoane,417
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Feminin, Bihor, Anul 1994, Numar persoane,390
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Feminin, Bihor, Anul 1995, Numar persoane,380
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Feminin, Bihor, Anul 1996, Numar persoane,356
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Feminin, Bihor, Anul 1997, Numar persoane,316
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Feminin, Bihor, Anul 1998, Numar persoane,305
 32027 ORAS VALEA LUI MIHAI,0- 4 ani, Feminin, Bihor, Anul 1999, Numar persoane,297
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Masculin, Bihor, Anul 1992, Numar persoane,405
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Masculin, Bihor, Anul 1993, Numar persoane,416
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Masculin, Bihor, Anul 1994, Numar persoane,452
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Masculin, Bihor, Anul 1995, Numar persoane,454
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Masculin, Bihor, Anul 1996, Numar persoane,441
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Masculin, Bihor, Anul 1997, Numar persoane,433
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Masculin, Bihor, Anul 1998, Numar persoane,415
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Masculin, Bihor, Anul 1999, Numar persoane,367
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Feminin, Bihor, Anul 1992, Numar persoane,425
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Feminin, Bihor, Anul 1993, Numar persoane,442
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Feminin, Bihor, Anul 1994, Numar persoane,469
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Feminin, Bihor, Anul 1995, Numar persoane,477
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Feminin, Bihor, Anul 1996, Numar persoane,464
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Feminin, Bihor, Anul 1997, Numar persoane,438
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Feminin, Bihor, Anul 1998, Numar persoane,431
 32027 ORAS VALEA LUI MIHAI,5- 9 ani, Feminin, Bihor, Anul 1999, Numar persoane,399
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Masculin, Bihor, Anul 1992, Numar persoane,524
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Masculin, Bihor, Anul 1993, Numar persoane,510
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Masculin, Bihor, Anul 1994, Numar persoane,472
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Masculin, Bihor, Anul 1995, Numar persoane,440
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Masculin, Bihor, Anul 1996, Numar persoane,427
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Masculin, Bihor, Anul 1997, Numar persoane,419
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Masculin, Bihor, Anul 1998, Numar persoane,423
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Masculin, Bihor, Anul 1999, Numar persoane,448
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Feminin, Bihor, Anul 1992, Numar persoane,477
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Feminin, Bihor, Anul 1993, Numar persoane,443
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Feminin, Bihor, Anul 1994, Numar persoane,405
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Feminin, Bihor, Anul 1995, Numar persoane,402
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Feminin, Bihor, Anul 1996, Numar persoane,414
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Feminin, Bihor, Anul 1997, Numar persoane,440
 32027 ORAS VALEA LUI MIHAI,10-14 ani, Feminin, Bihor, Anul 1998, Numar persoane,451
