 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 32179 SANNICOLAU ROMAN,0- 4 ani, Masculin, Bihor, Anul 2004, Numar persoane,71
 32179 SANNICOLAU ROMAN,0- 4 ani, Masculin, Bihor, Anul 2005, Numar persoane,72
 32179 SANNICOLAU ROMAN,0- 4 ani, Masculin, Bihor, Anul 2006, Numar persoane,82
 32179 SANNICOLAU ROMAN,0- 4 ani, Feminin, Bihor, Anul 2004, Numar persoane,59
 32179 SANNICOLAU ROMAN,0- 4 ani, Feminin, Bihor, Anul 2005, Numar persoane,55
 32179 SANNICOLAU ROMAN,0- 4 ani, Feminin, Bihor, Anul 2006, Numar persoane,48
 32179 SANNICOLAU ROMAN,5- 9 ani, Masculin, Bihor, Anul 2004, Numar persoane,73
 32179 SANNICOLAU ROMAN,5- 9 ani, Masculin, Bihor, Anul 2005, Numar persoane,75
 32179 SANNICOLAU ROMAN,5- 9 ani, Masculin, Bihor, Anul 2006, Numar persoane,73
 32179 SANNICOLAU ROMAN,5- 9 ani, Feminin, Bihor, Anul 2004, Numar persoane,61
 32179 SANNICOLAU ROMAN,5- 9 ani, Feminin, Bihor, Anul 2005, Numar persoane,64
 32179 SANNICOLAU ROMAN,5- 9 ani, Feminin, Bihor, Anul 2006, Numar persoane,66
 32179 SANNICOLAU ROMAN,10-14 ani, Masculin, Bihor, Anul 2004, Numar persoane,80
 32179 SANNICOLAU ROMAN,10-14 ani, Masculin, Bihor, Anul 2005, Numar persoane,71
 32179 SANNICOLAU ROMAN,10-14 ani, Masculin, Bihor, Anul 2006, Numar persoane,70
 32179 SANNICOLAU ROMAN,10-14 ani, Feminin, Bihor, Anul 2004, Numar persoane,79
 32179 SANNICOLAU ROMAN,10-14 ani, Feminin, Bihor, Anul 2005, Numar persoane,71
 32179 SANNICOLAU ROMAN,10-14 ani, Feminin, Bihor, Anul 2006, Numar persoane,70
 32179 SANNICOLAU ROMAN,15-19 ani, Masculin, Bihor, Anul 2004, Numar persoane,80
 32179 SANNICOLAU ROMAN,15-19 ani, Masculin, Bihor, Anul 2005, Numar persoane,89
 32179 SANNICOLAU ROMAN,15-19 ani, Masculin, Bihor, Anul 2006, Numar persoane,97
 32179 SANNICOLAU ROMAN,15-19 ani, Feminin, Bihor, Anul 2004, Numar persoane,85
 32179 SANNICOLAU ROMAN,15-19 ani, Feminin, Bihor, Anul 2005, Numar persoane,84
 32179 SANNICOLAU ROMAN,15-19 ani, Feminin, Bihor, Anul 2006, Numar persoane,87
 32179 SANNICOLAU ROMAN,20-24 ani, Masculin, Bihor, Anul 2004, Numar persoane,78
 32179 SANNICOLAU ROMAN,20-24 ani, Masculin, Bihor, Anul 2005, Numar persoane,69
 32179 SANNICOLAU ROMAN,20-24 ani, Masculin, Bihor, Anul 2006, Numar persoane,60
 32179 SANNICOLAU ROMAN,20-24 ani, Feminin, Bihor, Anul 2004, Numar persoane,65
 32179 SANNICOLAU ROMAN,20-24 ani, Feminin, Bihor, Anul 2005, Numar persoane,66
 32179 SANNICOLAU ROMAN,20-24 ani, Feminin, Bihor, Anul 2006, Numar persoane,69
 32179 SANNICOLAU ROMAN,25-29 ani, Masculin, Bihor, Anul 2004, Numar persoane,106
 32179 SANNICOLAU ROMAN,25-29 ani, Masculin, Bihor, Anul 2005, Numar persoane,108
 32179 SANNICOLAU ROMAN,25-29 ani, Masculin, Bihor, Anul 2006, Numar persoane,93
 32179 SANNICOLAU ROMAN,25-29 ani, Feminin, Bihor, Anul 2004, Numar persoane,74
 32179 SANNICOLAU ROMAN,25-29 ani, Feminin, Bihor, Anul 2005, Numar persoane,76
 32179 SANNICOLAU ROMAN,25-29 ani, Feminin, Bihor, Anul 2006, Numar persoane,70
 32179 SANNICOLAU ROMAN,30-34 ani, Masculin, Bihor, Anul 2004, Numar persoane,80
 32179 SANNICOLAU ROMAN,30-34 ani, Masculin, Bihor, Anul 2005, Numar persoane,82
 32179 SANNICOLAU ROMAN,30-34 ani, Masculin, Bihor, Anul 2006, Numar persoane,99
 32179 SANNICOLAU ROMAN,30-34 ani, Feminin, Bihor, Anul 2004, Numar persoane,75
 32179 SANNICOLAU ROMAN,30-34 ani, Feminin, Bihor, Anul 2005, Numar persoane,78
 32179 SANNICOLAU ROMAN,30-34 ani, Feminin, Bihor, Anul 2006, Numar persoane,75
 32179 SANNICOLAU ROMAN,35-39 ani, Masculin, Bihor, Anul 2004, Numar persoane,63
 32179 SANNICOLAU ROMAN,35-39 ani, Masculin, Bihor, Anul 2005, Numar persoane,62
 32179 SANNICOLAU ROMAN,35-39 ani, Masculin, Bihor, Anul 2006, Numar persoane,62
 32179 SANNICOLAU ROMAN,35-39 ani, Feminin, Bihor, Anul 2004, Numar persoane,50
 32179 SANNICOLAU ROMAN,35-39 ani, Feminin, Bihor, Anul 2005, Numar persoane,58
 32179 SANNICOLAU ROMAN,35-39 ani, Feminin, Bihor, Anul 2006, Numar persoane,61
 32179 SANNICOLAU ROMAN,40-44 ani, Masculin, Bihor, Anul 2004, Numar persoane,57
 32179 SANNICOLAU ROMAN,40-44 ani, Masculin, Bihor, Anul 2005, Numar persoane,56
 32179 SANNICOLAU ROMAN,40-44 ani, Masculin, Bihor, Anul 2006, Numar persoane,56
 32179 SANNICOLAU ROMAN,40-44 ani, Feminin, Bihor, Anul 2004, Numar persoane,38
 32179 SANNICOLAU ROMAN,40-44 ani, Feminin, Bihor, Anul 2005, Numar persoane,40
 32179 SANNICOLAU ROMAN,40-44 ani, Feminin, Bihor, Anul 2006, Numar persoane,40
 32179 SANNICOLAU ROMAN,45-49 ani, Masculin, Bihor, Anul 2004, Numar persoane,57
 32179 SANNICOLAU ROMAN,45-49 ani, Masculin, Bihor, Anul 2005, Numar persoane,62
 32179 SANNICOLAU ROMAN,45-49 ani, Masculin, Bihor, Anul 2006, Numar persoane,64
 32179 SANNICOLAU ROMAN,45-49 ani, Feminin, Bihor, Anul 2004, Numar persoane,51
 32179 SANNICOLAU ROMAN,45-49 ani, Feminin, Bihor, Anul 2005, Numar persoane,48
 32179 SANNICOLAU ROMAN,45-49 ani, Feminin, Bihor, Anul 2006, Numar persoane,47
 32179 SANNICOLAU ROMAN,50-54 ani, Masculin, Bihor, Anul 2004, Numar persoane,51
 32179 SANNICOLAU ROMAN,50-54 ani, Masculin, Bihor, Anul 2005, Numar persoane,49
 32179 SANNICOLAU ROMAN,50-54 ani, Masculin, Bihor, Anul 2006, Numar persoane,51
 32179 SANNICOLAU ROMAN,50-54 ani, Feminin, Bihor, Anul 2004, Numar persoane,63
 32179 SANNICOLAU ROMAN,50-54 ani, Feminin, Bihor, Anul 2005, Numar persoane,65
 32179 SANNICOLAU ROMAN,50-54 ani, Feminin, Bihor, Anul 2006, Numar persoane,61
 32179 SANNICOLAU ROMAN,55-59 ani, Masculin, Bihor, Anul 2004, Numar persoane,46
 32179 SANNICOLAU ROMAN,55-59 ani, Masculin, Bihor, Anul 2005, Numar persoane,55
 32179 SANNICOLAU ROMAN,55-59 ani, Masculin, Bihor, Anul 2006, Numar persoane,54
 32179 SANNICOLAU ROMAN,55-59 ani, Feminin, Bihor, Anul 2004, Numar persoane,44
 32179 SANNICOLAU ROMAN,55-59 ani, Feminin, Bihor, Anul 2005, Numar persoane,40
 32179 SANNICOLAU ROMAN,55-59 ani, Feminin, Bihor, Anul 2006, Numar persoane,47
 32179 SANNICOLAU ROMAN,60-64 ani, Masculin, Bihor, Anul 2004, Numar persoane,41
 32179 SANNICOLAU ROMAN,60-64 ani, Masculin, Bihor, Anul 2005, Numar persoane,34
 32179 SANNICOLAU ROMAN,60-64 ani, Masculin, Bihor, Anul 2006, Numar persoane,36
 32179 SANNICOLAU ROMAN,60-64 ani, Feminin, Bihor, Anul 2004, Numar persoane,53
 32179 SANNICOLAU ROMAN,60-64 ani, Feminin, Bihor, Anul 2005, Numar persoane,49
 32179 SANNICOLAU ROMAN,60-64 ani, Feminin, Bihor, Anul 2006, Numar persoane,43
 32179 SANNICOLAU ROMAN,65-69 ani, Masculin, Bihor, Anul 2004, Numar persoane,46
 32179 SANNICOLAU ROMAN,65-69 ani, Masculin, Bihor, Anul 2005, Numar persoane,44
 32179 SANNICOLAU ROMAN,65-69 ani, Masculin, Bihor, Anul 2006, Numar persoane,38
 32179 SANNICOLAU ROMAN,65-69 ani, Feminin, Bihor, Anul 2004, Numar persoane,80
 32179 SANNICOLAU ROMAN,65-69 ani, Feminin, Bihor, Anul 2005, Numar persoane,81
 32179 SANNICOLAU ROMAN,65-69 ani, Feminin, Bihor, Anul 2006, Numar persoane,75
 32179 SANNICOLAU ROMAN,70-74 ani, Masculin, Bihor, Anul 2004, Numar persoane,44
 32179 SANNICOLAU ROMAN,70-74 ani, Masculin, Bihor, Anul 2005, Numar persoane,47
 32179 SANNICOLAU ROMAN,70-74 ani, Masculin, Bihor, Anul 2006, Numar persoane,46
 32179 SANNICOLAU ROMAN,70-74 ani, Feminin, Bihor, Anul 2004, Numar persoane,63
 32179 SANNICOLAU ROMAN,70-74 ani, Feminin, Bihor, Anul 2005, Numar persoane,67
 32179 SANNICOLAU ROMAN,70-74 ani, Feminin, Bihor, Anul 2006, Numar persoane,69
 32179 SANNICOLAU ROMAN,75-79 ani, Masculin, Bihor, Anul 2004, Numar persoane,38
 32179 SANNICOLAU ROMAN,75-79 ani, Masculin, Bihor, Anul 2005, Numar persoane,39
 32179 SANNICOLAU ROMAN,75-79 ani, Masculin, Bihor, Anul 2006, Numar persoane,37
 32179 SANNICOLAU ROMAN,75-79 ani, Feminin, Bihor, Anul 2004, Numar persoane,54
 32179 SANNICOLAU ROMAN,75-79 ani, Feminin, Bihor, Anul 2005, Numar persoane,46
 32179 SANNICOLAU ROMAN,75-79 ani, Feminin, Bihor, Anul 2006, Numar persoane,45
 32179 SANNICOLAU ROMAN,80-84 ani, Masculin, Bihor, Anul 2004, Numar persoane,21
 32179 SANNICOLAU ROMAN,80-84 ani, Masculin, Bihor, Anul 2005, Numar persoane,18
 32179 SANNICOLAU ROMAN,80-84 ani, Masculin, Bihor, Anul 2006, Numar persoane,14
 32179 SANNICOLAU ROMAN,80-84 ani, Feminin, Bihor, Anul 2004, Numar persoane,33
 32179 SANNICOLAU ROMAN,80-84 ani, Feminin, Bihor, Anul 2005, Numar persoane,40
 32179 SANNICOLAU ROMAN,80-84 ani, Feminin, Bihor, Anul 2006, Numar persoane,41
 32179 SANNICOLAU ROMAN,85 ani si peste, Masculin, Bihor, Anul 2004, Numar persoane,12
 32179 SANNICOLAU ROMAN,85 ani si peste, Masculin, Bihor, Anul 2005, Numar persoane,12
 32179 SANNICOLAU ROMAN,85 ani si peste, Masculin, Bihor, Anul 2006, Numar persoane,12
 32179 SANNICOLAU ROMAN,85 ani si peste, Feminin, Bihor, Anul 2004, Numar persoane,8
 32179 SANNICOLAU ROMAN,85 ani si peste, Feminin, Bihor, Anul 2005, Numar persoane,7
 32179 SANNICOLAU ROMAN,85 ani si peste, Feminin, Bihor, Anul 2006, Numar persoane,10
