 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,10510
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,9501
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,8376
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,7234
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,6384
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,5878
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,5520
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,5234
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,5097
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,5106
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,5089
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,5109
 40198 MUNICIPIUL BRASOV,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,5172
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,9750
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,8757
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,7793
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,6733
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,6052
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,5554
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,5210
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,5015
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,5002
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,4943
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,4950
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,4949
 40198 MUNICIPIUL BRASOV,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,5021
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,13085
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,12813
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,12563
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,12167
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,11283
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,10240
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,9131
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,8062
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,6876
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,6028
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,5556
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,5162
 40198 MUNICIPIUL BRASOV,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,4942
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,12459
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,12147
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,11957
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,11404
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,10494
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,9460
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,8369
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,7371
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,6328
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,5698
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,5238
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,4928
 40198 MUNICIPIUL BRASOV,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,4753
 40198 MUNICIPIUL BRASOV,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,15829
