 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,872
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,810
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,764
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,683
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,669
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,653
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,648
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,671
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,679
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,694
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,730
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,725
 40241 MUNICIPIUL CODLEA,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,728
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,887
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,814
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,782
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,708
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,634
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,624
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,599
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,607
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,611
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,631
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,633
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,660
 40241 MUNICIPIUL CODLEA,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,678
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,1132
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,1125
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,1116
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,1081
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,1005
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,920
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,855
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,815
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,737
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,713
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,696
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,686
 40241 MUNICIPIUL CODLEA,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,706
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,1056
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,1083
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,1065
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,1043
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,1032
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,939
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,840
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,820
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,763
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,677
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,667
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,648
 40241 MUNICIPIUL CODLEA,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,636
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,1320
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,1287
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,1218
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,1203
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,1178
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,1158
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,1131
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,1120
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,1084
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,1014
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 2002, Numar persoane,947
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 2003, Numar persoane,891
 40241 MUNICIPIUL CODLEA,10-14 ani, Masculin, Brasov, Anul 2004, Numar persoane,827
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 1992, Numar persoane,1240
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 1993, Numar persoane,1222
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 1994, Numar persoane,1164
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 1995, Numar persoane,1146
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 1996, Numar persoane,1107
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 1997, Numar persoane,1084
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 1998, Numar persoane,1089
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 1999, Numar persoane,1071
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 2000, Numar persoane,1039
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 2001, Numar persoane,1046
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 2002, Numar persoane,969
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 2003, Numar persoane,871
 40241 MUNICIPIUL CODLEA,10-14 ani, Feminin, Brasov, Anul 2004, Numar persoane,827
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 1992, Numar persoane,1161
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 1993, Numar persoane,1231
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 1994, Numar persoane,1309
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 1995, Numar persoane,1310
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 1996, Numar persoane,1286
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 1997, Numar persoane,1314
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 1998, Numar persoane,1281
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 1999, Numar persoane,1202
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 2000, Numar persoane,1182
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 2001, Numar persoane,1159
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 2002, Numar persoane,1131
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 2003, Numar persoane,1120
 40241 MUNICIPIUL CODLEA,15-19 ani, Masculin, Brasov, Anul 2004, Numar persoane,1143
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 1992, Numar persoane,1198
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 1993, Numar persoane,1218
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 1994, Numar persoane,1280
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 1995, Numar persoane,1268
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 1996, Numar persoane,1245
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 1997, Numar persoane,1232
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 1998, Numar persoane,1208
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 1999, Numar persoane,1161
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 2000, Numar persoane,1139
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 2001, Numar persoane,1103
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 2002, Numar persoane,1083
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 2003, Numar persoane,1111
 40241 MUNICIPIUL CODLEA,15-19 ani, Feminin, Brasov, Anul 2004, Numar persoane,1093
 40241 MUNICIPIUL CODLEA,20-24 ani, Masculin, Brasov, Anul 1992, Numar persoane,1007
 40241 MUNICIPIUL CODLEA,20-24 ani, Masculin, Brasov, Anul 1993, Numar persoane,988
