 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,1766
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,1622
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,1457
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,1280
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,1152
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,1072
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,1045
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,1040
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,1026
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,1019
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,1017
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,989
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,988
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,1720
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,1598
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,1413
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,1202
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,1066
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,1013
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,983
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,989
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,984
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,995
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,1004
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,980
 40278 MUNICIPIUL FAGARAS,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,990
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,2007
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,1974
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,1976
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,1969
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,1870
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,1718
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,1579
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,1420
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,1254
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,1122
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,1049
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,1016
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,1009
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,1903
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,1867
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,1898
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,1923
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,1859
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,1666
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,1560
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,1373
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,1178
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,1057
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,994
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,967
 40278 MUNICIPIUL FAGARAS,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,964
 40278 MUNICIPIUL FAGARAS,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,2347
 40278 MUNICIPIUL FAGARAS,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,2286
 40278 MUNICIPIUL FAGARAS,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,2193
 40278 MUNICIPIUL FAGARAS,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,2080
 40278 MUNICIPIUL FAGARAS,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,2007
 40278 MUNICIPIUL FAGARAS,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,1958
 40278 MUNICIPIUL FAGARAS,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,1908
 40278 MUNICIPIUL FAGARAS,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,1899
 40278 MUNICIPIUL FAGARAS,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,1917
