 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,110
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,115
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,112
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,106
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,101
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,76
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,72
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,81
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,75
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,84
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,94
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,92
 40606 BOD,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,102
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,87
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,77
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,89
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,70
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,70
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,66
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,73
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,70
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,79
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,76
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,87
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,79
 40606 BOD,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,74
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,127
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,132
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,130
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,135
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,128
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,130
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,126
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,125
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,119
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,119
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,93
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,87
 40606 BOD,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,83
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,113
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,118
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,126
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,136
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,138
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,114
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,104
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,100
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,81
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,84
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,75
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,83
 40606 BOD,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,77
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,125
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,119
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,133
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,142
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,140
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,149
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,154
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,146
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,146
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,138
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 2002, Numar persoane,144
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 2003, Numar persoane,138
 40606 BOD,10-14 ani, Masculin, Brasov, Anul 2004, Numar persoane,137
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 1992, Numar persoane,122
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 1993, Numar persoane,117
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 1994, Numar persoane,117
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 1995, Numar persoane,127
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 1996, Numar persoane,126
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 1997, Numar persoane,130
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 1998, Numar persoane,138
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 1999, Numar persoane,142
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 2000, Numar persoane,159
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 2001, Numar persoane,163
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 2002, Numar persoane,141
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 2003, Numar persoane,122
 40606 BOD,10-14 ani, Feminin, Brasov, Anul 2004, Numar persoane,117
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 1992, Numar persoane,150
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 1993, Numar persoane,145
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 1994, Numar persoane,144
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 1995, Numar persoane,146
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 1996, Numar persoane,144
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 1997, Numar persoane,135
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 1998, Numar persoane,134
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 1999, Numar persoane,150
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 2000, Numar persoane,157
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 2001, Numar persoane,158
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 2002, Numar persoane,157
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 2003, Numar persoane,163
 40606 BOD,15-19 ani, Masculin, Brasov, Anul 2004, Numar persoane,155
 40606 BOD,15-19 ani, Feminin, Brasov, Anul 1992, Numar persoane,127
 40606 BOD,15-19 ani, Feminin, Brasov, Anul 1993, Numar persoane,131
 40606 BOD,15-19 ani, Feminin, Brasov, Anul 1994, Numar persoane,137
 40606 BOD,15-19 ani, Feminin, Brasov, Anul 1995, Numar persoane,130
