 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,196
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,184
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,176
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,155
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,165
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,162
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,176
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,178
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,192
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,202
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,211
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,212
 40688 BUDILA,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,238
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,170
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,160
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,145
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,137
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,130
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,135
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,151
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,167
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,183
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,196
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,195
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,201
 40688 BUDILA,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,201
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,159
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,170
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,187
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,206
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,193
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,189
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,176
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,167
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,149
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,166
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,165
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,177
 40688 BUDILA,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,178
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,165
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,171
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,184
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,190
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,181
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,166
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,160
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,147
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,136
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,136
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,143
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,162
 40688 BUDILA,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,178
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,172
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,168
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,158
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,151
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,157
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,159
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,172
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,190
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,207
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,194
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 2002, Numar persoane,190
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 2003, Numar persoane,175
 40688 BUDILA,10-14 ani, Masculin, Brasov, Anul 2004, Numar persoane,169
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 1992, Numar persoane,140
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 1993, Numar persoane,151
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 1994, Numar persoane,140
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 1995, Numar persoane,144
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 1996, Numar persoane,147
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 1997, Numar persoane,165
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 1998, Numar persoane,169
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 1999, Numar persoane,184
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 2000, Numar persoane,191
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 2001, Numar persoane,186
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 2002, Numar persoane,166
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 2003, Numar persoane,153
 40688 BUDILA,10-14 ani, Feminin, Brasov, Anul 2004, Numar persoane,143
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 1992, Numar persoane,159
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 1993, Numar persoane,164
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 1994, Numar persoane,172
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 1995, Numar persoane,179
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 1996, Numar persoane,174
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 1997, Numar persoane,169
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 1998, Numar persoane,163
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 1999, Numar persoane,154
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 2000, Numar persoane,150
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 2001, Numar persoane,159
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 2002, Numar persoane,162
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 2003, Numar persoane,172
 40688 BUDILA,15-19 ani, Masculin, Brasov, Anul 2004, Numar persoane,187
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 1992, Numar persoane,149
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 1993, Numar persoane,151
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 1994, Numar persoane,159
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 1995, Numar persoane,158
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 1996, Numar persoane,158
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 1997, Numar persoane,144
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 1998, Numar persoane,160
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 1999, Numar persoane,146
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 2000, Numar persoane,146
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 2001, Numar persoane,151
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 2002, Numar persoane,161
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 2003, Numar persoane,163
 40688 BUDILA,15-19 ani, Feminin, Brasov, Anul 2004, Numar persoane,173
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 1992, Numar persoane,157
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 1993, Numar persoane,153
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 1994, Numar persoane,144
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 1995, Numar persoane,146
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 1996, Numar persoane,142
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 1997, Numar persoane,151
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 1998, Numar persoane,162
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 1999, Numar persoane,170
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 2000, Numar persoane,175
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 2001, Numar persoane,171
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 2002, Numar persoane,172
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 2003, Numar persoane,167
 40688 BUDILA,20-24 ani, Masculin, Brasov, Anul 2004, Numar persoane,159
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 1992, Numar persoane,143
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 1993, Numar persoane,129
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 1994, Numar persoane,128
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 1995, Numar persoane,130
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 1996, Numar persoane,130
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 1997, Numar persoane,139
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 1998, Numar persoane,144
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 1999, Numar persoane,161
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 2000, Numar persoane,164
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 2001, Numar persoane,168
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 2002, Numar persoane,155
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 2003, Numar persoane,161
 40688 BUDILA,20-24 ani, Feminin, Brasov, Anul 2004, Numar persoane,145
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 1992, Numar persoane,77
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 1993, Numar persoane,94
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 1994, Numar persoane,114
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 1995, Numar persoane,126
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 1996, Numar persoane,145
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 1997, Numar persoane,156
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 1998, Numar persoane,152
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 1999, Numar persoane,143
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 2000, Numar persoane,149
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 2001, Numar persoane,146
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 2002, Numar persoane,156
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 2003, Numar persoane,165
 40688 BUDILA,25-29 ani, Masculin, Brasov, Anul 2004, Numar persoane,173
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 1992, Numar persoane,75
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 1993, Numar persoane,96
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 1994, Numar persoane,108
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 1995, Numar persoane,120
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 1996, Numar persoane,127
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 1997, Numar persoane,129
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 1998, Numar persoane,120
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 1999, Numar persoane,118
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 2000, Numar persoane,125
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 2001, Numar persoane,132
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 2002, Numar persoane,151
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 2003, Numar persoane,151
 40688 BUDILA,25-29 ani, Feminin, Brasov, Anul 2004, Numar persoane,164
 40688 BUDILA,30-34 ani, Masculin, Brasov, Anul 1992, Numar persoane,84
 40688 BUDILA,30-34 ani, Masculin, Brasov, Anul 1993, Numar persoane,70
 40688 BUDILA,30-34 ani, Masculin, Brasov, Anul 1994, Numar persoane,73
 40688 BUDILA,30-34 ani, Masculin, Brasov, Anul 1995, Numar persoane,69
