 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,99
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,91
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,84
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,76
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,77
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,91
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,89
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,83
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,90
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,100
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,86
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,91
 40768 CATA,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,103
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,124
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,116
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,106
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,101
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,92
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,98
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,96
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,103
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,97
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,109
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,107
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,105
 40768 CATA,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,106
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,106
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,117
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,123
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,119
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,112
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,98
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,91
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,92
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,83
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,88
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,95
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,96
 40768 CATA,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,94
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,91
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,107
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,104
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,107
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,116
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,116
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,112
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,102
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,106
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,104
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,107
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,102
 40768 CATA,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,105
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,85
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,78
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,80
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,84
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,93
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,105
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,115
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,120
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,125
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,116
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 2002, Numar persoane,109
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 2003, Numar persoane,104
 40768 CATA,10-14 ani, Masculin, Brasov, Anul 2004, Numar persoane,97
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 1992, Numar persoane,91
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 1993, Numar persoane,78
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 1994, Numar persoane,89
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 1995, Numar persoane,89
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 1996, Numar persoane,87
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 1997, Numar persoane,89
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 1998, Numar persoane,109
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 1999, Numar persoane,110
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 2000, Numar persoane,114
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 2001, Numar persoane,125
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 2002, Numar persoane,130
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 2003, Numar persoane,126
 40768 CATA,10-14 ani, Feminin, Brasov, Anul 2004, Numar persoane,120
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 1992, Numar persoane,105
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 1993, Numar persoane,102
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 1994, Numar persoane,104
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 1995, Numar persoane,95
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 1996, Numar persoane,84
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 1997, Numar persoane,82
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 1998, Numar persoane,78
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 1999, Numar persoane,79
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 2000, Numar persoane,88
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 2001, Numar persoane,100
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 2002, Numar persoane,114
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 2003, Numar persoane,117
 40768 CATA,15-19 ani, Masculin, Brasov, Anul 2004, Numar persoane,126
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 1992, Numar persoane,108
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 1993, Numar persoane,112
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 1994, Numar persoane,96
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 1995, Numar persoane,104
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 1996, Numar persoane,92
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 1997, Numar persoane,86
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 1998, Numar persoane,75
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 1999, Numar persoane,88
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 2000, Numar persoane,90
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 2001, Numar persoane,87
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 2002, Numar persoane,95
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 2003, Numar persoane,110
 40768 CATA,15-19 ani, Feminin, Brasov, Anul 2004, Numar persoane,113
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 1992, Numar persoane,119
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 1993, Numar persoane,110
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 1994, Numar persoane,102
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 1995, Numar persoane,98
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 1996, Numar persoane,106
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 1997, Numar persoane,103
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 1998, Numar persoane,99
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 1999, Numar persoane,105
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 2000, Numar persoane,94
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 2001, Numar persoane,90
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 2002, Numar persoane,93
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 2003, Numar persoane,90
 40768 CATA,20-24 ani, Masculin, Brasov, Anul 2004, Numar persoane,89
 40768 CATA,20-24 ani, Feminin, Brasov, Anul 1992, Numar persoane,104
 40768 CATA,20-24 ani, Feminin, Brasov, Anul 1993, Numar persoane,104
 40768 CATA,20-24 ani, Feminin, Brasov, Anul 1994, Numar persoane,111
 40768 CATA,20-24 ani, Feminin, Brasov, Anul 1995, Numar persoane,96
 40768 CATA,20-24 ani, Feminin, Brasov, Anul 1996, Numar persoane,104
 40768 CATA,20-24 ani, Feminin, Brasov, Anul 1997, Numar persoane,102
 40768 CATA,20-24 ani, Feminin, Brasov, Anul 1998, Numar persoane,103
 40768 CATA,20-24 ani, Feminin, Brasov, Anul 1999, Numar persoane,91
 40768 CATA,20-24 ani, Feminin, Brasov, Anul 2000, Numar persoane,96
 40768 CATA,20-24 ani, Feminin, Brasov, Anul 2001, Numar persoane,92
 40768 CATA,20-24 ani, Feminin, Brasov, Anul 2002, Numar persoane,91
 40768 CATA,20-24 ani, Feminin, Brasov, Anul 2003, Numar persoane,81
