 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,129
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,110
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,111
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,97
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,99
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,95
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,110
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,111
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,119
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,116
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,122
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,128
 40857 COMANA,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,124
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,108
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,112
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,111
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,109
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,103
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,112
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,108
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,111
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,124
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,135
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,132
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,132
 40857 COMANA,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,132
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,103
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,105
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,111
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,124
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,129
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,124
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,110
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,120
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,107
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,108
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,100
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,113
 40857 COMANA,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,113
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,110
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,108
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,118
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,122
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,122
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,109
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,110
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,112
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,107
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,98
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,107
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,105
 40857 COMANA,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,108
 40857 COMANA,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,101
 40857 COMANA,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,95
 40857 COMANA,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,92
 40857 COMANA,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,91
 40857 COMANA,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,94
 40857 COMANA,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,98
 40857 COMANA,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,102
 40857 COMANA,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,115
 40857 COMANA,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,128
 40857 COMANA,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,132
