 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,231
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,249
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,236
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,221
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,221
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,206
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,184
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,196
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,182
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,193
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,197
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,205
 40955 FELDIOARA,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,195
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,187
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,205
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,203
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,197
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,192
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,190
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,185
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,194
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,203
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,208
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,211
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,205
 40955 FELDIOARA,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,185
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,206
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,250
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,298
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,331
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,305
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,300
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,284
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,254
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,237
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,226
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,204
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,187
 40955 FELDIOARA,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,202
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,238
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,254
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,250
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,257
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,262
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,248
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,242
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,232
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,220
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,207
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,192
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,190
 40955 FELDIOARA,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,201
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,258
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,256
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,269
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,259
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,283
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,285
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,311
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,329
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,342
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,317
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 2002, Numar persoane,316
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 2003, Numar persoane,294
 40955 FELDIOARA,10-14 ani, Masculin, Brasov, Anul 2004, Numar persoane,260
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 1992, Numar persoane,249
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 1993, Numar persoane,253
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 1994, Numar persoane,277
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 1995, Numar persoane,284
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 1996, Numar persoane,287
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 1997, Numar persoane,308
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 1998, Numar persoane,306
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 1999, Numar persoane,287
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 2000, Numar persoane,277
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 2001, Numar persoane,277
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 2002, Numar persoane,257
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 2003, Numar persoane,249
 40955 FELDIOARA,10-14 ani, Feminin, Brasov, Anul 2004, Numar persoane,243
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 1992, Numar persoane,240
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 1993, Numar persoane,268
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 1994, Numar persoane,274
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 1995, Numar persoane,297
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 1996, Numar persoane,306
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 1997, Numar persoane,315
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 1998, Numar persoane,310
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 1999, Numar persoane,301
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 2000, Numar persoane,275
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 2001, Numar persoane,290
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 2002, Numar persoane,291
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 2003, Numar persoane,326
 40955 FELDIOARA,15-19 ani, Masculin, Brasov, Anul 2004, Numar persoane,343
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 1992, Numar persoane,256
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 1993, Numar persoane,286
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 1994, Numar persoane,293
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 1995, Numar persoane,296
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 1996, Numar persoane,300
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 1997, Numar persoane,306
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 1998, Numar persoane,306
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 1999, Numar persoane,315
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 2000, Numar persoane,315
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 2001, Numar persoane,299
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 2002, Numar persoane,312
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 2003, Numar persoane,310
 40955 FELDIOARA,15-19 ani, Feminin, Brasov, Anul 2004, Numar persoane,290
 40955 FELDIOARA,20-24 ani, Masculin, Brasov, Anul 1992, Numar persoane,244
 40955 FELDIOARA,20-24 ani, Masculin, Brasov, Anul 1993, Numar persoane,250
 40955 FELDIOARA,20-24 ani, Masculin, Brasov, Anul 1994, Numar persoane,247
 40955 FELDIOARA,20-24 ani, Masculin, Brasov, Anul 1995, Numar persoane,256
 40955 FELDIOARA,20-24 ani, Masculin, Brasov, Anul 1996, Numar persoane,272
 40955 FELDIOARA,20-24 ani, Masculin, Brasov, Anul 1997, Numar persoane,282
 40955 FELDIOARA,20-24 ani, Masculin, Brasov, Anul 1998, Numar persoane,298
 40955 FELDIOARA,20-24 ani, Masculin, Brasov, Anul 1999, Numar persoane,305
 40955 FELDIOARA,20-24 ani, Masculin, Brasov, Anul 2000, Numar persoane,321
 40955 FELDIOARA,20-24 ani, Masculin, Brasov, Anul 2001, Numar persoane,320
 40955 FELDIOARA,20-24 ani, Masculin, Brasov, Anul 2002, Numar persoane,330
