 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,145
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,141
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,130
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,115
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,104
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,102
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,95
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,104
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,116
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,114
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,118
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,113
 41088 HARMAN,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,117
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,147
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,137
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,119
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,119
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,121
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,106
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,110
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,106
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,100
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,109
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,127
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,121
 41088 HARMAN,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,119
 41088 HARMAN,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,129
 41088 HARMAN,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,137
 41088 HARMAN,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,149
 41088 HARMAN,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,151
 41088 HARMAN,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,155
 41088 HARMAN,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,158
 41088 HARMAN,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,160
 41088 HARMAN,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,144
