 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,115
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,102
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,91
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,96
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,88
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,103
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,101
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,107
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,107
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,115
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,126
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,131
 41382 MAIERUS,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,136
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,82
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,78
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,57
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,67
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,66
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,63
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,64
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,82
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,82
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,91
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,97
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,103
 41382 MAIERUS,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,108
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,109
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,121
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,114
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,114
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,103
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,114
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,110
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,102
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,109
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,100
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,107
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,104
 41382 MAIERUS,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,116
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,94
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,96
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,110
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,107
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,95
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,91
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,86
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,65
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,70
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,69
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,64
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,72
 41382 MAIERUS,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,95
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,104
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,101
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,101
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,104
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,98
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,117
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,128
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,124
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 2000, Numar persoane,128
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 2001, Numar persoane,123
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 2002, Numar persoane,118
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 2003, Numar persoane,117
 41382 MAIERUS,10-14 ani, Masculin, Brasov, Anul 2004, Numar persoane,113
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 1992, Numar persoane,86
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 1993, Numar persoane,86
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 1994, Numar persoane,90
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 1995, Numar persoane,83
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 1996, Numar persoane,98
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 1997, Numar persoane,106
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 1998, Numar persoane,114
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 1999, Numar persoane,122
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 2000, Numar persoane,123
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 2001, Numar persoane,114
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 2002, Numar persoane,101
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 2003, Numar persoane,92
 41382 MAIERUS,10-14 ani, Feminin, Brasov, Anul 2004, Numar persoane,77
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 1992, Numar persoane,97
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 1993, Numar persoane,95
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 1994, Numar persoane,101
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 1995, Numar persoane,101
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 1996, Numar persoane,114
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 1997, Numar persoane,114
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 1998, Numar persoane,113
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 1999, Numar persoane,114
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 2000, Numar persoane,121
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 2001, Numar persoane,118
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 2002, Numar persoane,126
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 2003, Numar persoane,133
 41382 MAIERUS,15-19 ani, Masculin, Brasov, Anul 2004, Numar persoane,133
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 1992, Numar persoane,100
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 1993, Numar persoane,96
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 1994, Numar persoane,86
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 1995, Numar persoane,89
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 1996, Numar persoane,86
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 1997, Numar persoane,94
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 1998, Numar persoane,99
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 1999, Numar persoane,109
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 2000, Numar persoane,99
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 2001, Numar persoane,115
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 2002, Numar persoane,115
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 2003, Numar persoane,125
 41382 MAIERUS,15-19 ani, Feminin, Brasov, Anul 2004, Numar persoane,125
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 1992, Numar persoane,96
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 1993, Numar persoane,96
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 1994, Numar persoane,97
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 1995, Numar persoane,92
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 1996, Numar persoane,88
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 1997, Numar persoane,96
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 1998, Numar persoane,98
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 1999, Numar persoane,108
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 2000, Numar persoane,108
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 2001, Numar persoane,127
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 2002, Numar persoane,127
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 2003, Numar persoane,125
 41382 MAIERUS,20-24 ani, Masculin, Brasov, Anul 2004, Numar persoane,123
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 1992, Numar persoane,94
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 1993, Numar persoane,88
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 1994, Numar persoane,90
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 1995, Numar persoane,85
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 1996, Numar persoane,91
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 1997, Numar persoane,99
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 1998, Numar persoane,96
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 1999, Numar persoane,92
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 2000, Numar persoane,103
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 2001, Numar persoane,96
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 2002, Numar persoane,113
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 2003, Numar persoane,112
 41382 MAIERUS,20-24 ani, Feminin, Brasov, Anul 2004, Numar persoane,117
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 1992, Numar persoane,69
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 1993, Numar persoane,62
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 1994, Numar persoane,71
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 1995, Numar persoane,77
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 1996, Numar persoane,83
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 1997, Numar persoane,94
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 1998, Numar persoane,95
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 1999, Numar persoane,96
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 2000, Numar persoane,95
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 2001, Numar persoane,92
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 2002, Numar persoane,101
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 2003, Numar persoane,101
 41382 MAIERUS,25-29 ani, Masculin, Brasov, Anul 2004, Numar persoane,116
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 1992, Numar persoane,47
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 1993, Numar persoane,53
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 1994, Numar persoane,60
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 1995, Numar persoane,72
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 1996, Numar persoane,70
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 1997, Numar persoane,83
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 1998, Numar persoane,81
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 1999, Numar persoane,81
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 2000, Numar persoane,84
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 2001, Numar persoane,97
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 2002, Numar persoane,103
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 2003, Numar persoane,103
 41382 MAIERUS,25-29 ani, Feminin, Brasov, Anul 2004, Numar persoane,110
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 1992, Numar persoane,78
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 1993, Numar persoane,78
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 1994, Numar persoane,73
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 1995, Numar persoane,74
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 1996, Numar persoane,70
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 1997, Numar persoane,61
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 1998, Numar persoane,62
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 1999, Numar persoane,69
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 2000, Numar persoane,81
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 2001, Numar persoane,86
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 2002, Numar persoane,104
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 2003, Numar persoane,106
 41382 MAIERUS,30-34 ani, Masculin, Brasov, Anul 2004, Numar persoane,110
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 1992, Numar persoane,53
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 1993, Numar persoane,57
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 1994, Numar persoane,54
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 1995, Numar persoane,56
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 1996, Numar persoane,47
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 1997, Numar persoane,52
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 1998, Numar persoane,59
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 1999, Numar persoane,60
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 2000, Numar persoane,73
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 2001, Numar persoane,74
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 2002, Numar persoane,85
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 2003, Numar persoane,90
 41382 MAIERUS,30-34 ani, Feminin, Brasov, Anul 2004, Numar persoane,94
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 1992, Numar persoane,65
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 1993, Numar persoane,64
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 1994, Numar persoane,68
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 1995, Numar persoane,66
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 1996, Numar persoane,67
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 1997, Numar persoane,74
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 1998, Numar persoane,77
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 1999, Numar persoane,72
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 2000, Numar persoane,72
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 2001, Numar persoane,68
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 2002, Numar persoane,60
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 2003, Numar persoane,67
 41382 MAIERUS,35-39 ani, Masculin, Brasov, Anul 2004, Numar persoane,74
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 1992, Numar persoane,69
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 1993, Numar persoane,65
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 1994, Numar persoane,60
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 1995, Numar persoane,53
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 1996, Numar persoane,63
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 1997, Numar persoane,58
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 1998, Numar persoane,64
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 1999, Numar persoane,67
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 2000, Numar persoane,67
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 2001, Numar persoane,54
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 2002, Numar persoane,52
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 2003, Numar persoane,58
 41382 MAIERUS,35-39 ani, Feminin, Brasov, Anul 2004, Numar persoane,65
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 1992, Numar persoane,52
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 1993, Numar persoane,58
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 1994, Numar persoane,59
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 1995, Numar persoane,58
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 1996, Numar persoane,61
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 1997, Numar persoane,66
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 1998, Numar persoane,66
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 1999, Numar persoane,71
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 2000, Numar persoane,69
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 2001, Numar persoane,71
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 2002, Numar persoane,78
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 2003, Numar persoane,78
 41382 MAIERUS,40-44 ani, Masculin, Brasov, Anul 2004, Numar persoane,77
 41382 MAIERUS,40-44 ani, Feminin, Brasov, Anul 1992, Numar persoane,41
 41382 MAIERUS,40-44 ani, Feminin, Brasov, Anul 1993, Numar persoane,40
 41382 MAIERUS,40-44 ani, Feminin, Brasov, Anul 1994, Numar persoane,45
 41382 MAIERUS,40-44 ani, Feminin, Brasov, Anul 1995, Numar persoane,53
 41382 MAIERUS,40-44 ani, Feminin, Brasov, Anul 1996, Numar persoane,61
 41382 MAIERUS,40-44 ani, Feminin, Brasov, Anul 1997, Numar persoane,66
 41382 MAIERUS,40-44 ani, Feminin, Brasov, Anul 1998, Numar persoane,61
 41382 MAIERUS,40-44 ani, Feminin, Brasov, Anul 1999, Numar persoane,61
 41382 MAIERUS,40-44 ani, Feminin, Brasov, Anul 2000, Numar persoane,57
 41382 MAIERUS,40-44 ani, Feminin, Brasov, Anul 2001, Numar persoane,74
 41382 MAIERUS,40-44 ani, Feminin, Brasov, Anul 2002, Numar persoane,71
