 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,177
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,149
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,145
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,141
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,128
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,107
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,119
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,120
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,122
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,121
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,128
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,135
 41701 RACOS,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,152
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,165
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,161
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,149
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,146
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,142
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,146
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,150
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,147
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,133
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,132
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,137
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,132
 41701 RACOS,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,143
 41701 RACOS,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,135
 41701 RACOS,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,153
