 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,115
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,97
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,92
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,92
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,89
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,76
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,84
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,82
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,81
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,80
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,81
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,87
 41738 RECEA,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,88
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,102
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,93
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,88
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,85
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,78
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,80
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,76
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,76
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,75
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,71
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,66
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,68
 41738 RECEA,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,74
 41738 RECEA,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,106
 41738 RECEA,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,103
 41738 RECEA,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,92
 41738 RECEA,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,92
 41738 RECEA,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,99
 41738 RECEA,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,108
 41738 RECEA,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,95
 41738 RECEA,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,91
 41738 RECEA,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,89
