 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,64
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,68
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,71
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,67
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,70
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,72
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,84
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,83
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,88
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,87
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,77
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,68
 41943 SOARS,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,64
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,80
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,77
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,78
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,76
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,63
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,59
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,60
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,57
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,53
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,59
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,64
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,64
 41943 SOARS,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,60
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,84
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,88
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,88
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,83
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,78
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,75
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,76
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,74
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,73
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,76
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,79
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,84
 41943 SOARS,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,84
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,69
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,68
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,78
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,89
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,99
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,95
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,87
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,81
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,78
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,58
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,53
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,52
 41943 SOARS,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,57
 41943 SOARS,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,71
 41943 SOARS,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,74
 41943 SOARS,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,75
 41943 SOARS,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,83
 41943 SOARS,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,82
 41943 SOARS,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,96
 41943 SOARS,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,104
 41943 SOARS,10-14 ani, Masculin, Brasov, Anul 1999, Numar persoane,97
