 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,73
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,73
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,67
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,59
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,55
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,57
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,54
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,51
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,58
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,64
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,63
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,63
 42101 UCEA,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,64
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,57
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,57
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,51
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,61
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,59
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,57
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,54
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,52
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,48
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,50
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,50
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,62
 42101 UCEA,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,65
 42101 UCEA,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,79
 42101 UCEA,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,78
