 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,111
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,100
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,92
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,83
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,81
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,78
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,71
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,76
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,82
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,100
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,105
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,109
 42156 UNGRA,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,113
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,106
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,96
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,87
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,82
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,88
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,85
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,77
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,76
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,76
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,71
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,73
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,82
 42156 UNGRA,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,88
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,105
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,118
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,121
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,135
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,120
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,101
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,93
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,85
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,80
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,78
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,72
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,75
 42156 UNGRA,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,87
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,96
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,100
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,105
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,103
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,106
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,101
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,93
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 1999, Numar persoane,84
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 2000, Numar persoane,77
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 2001, Numar persoane,82
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 2002, Numar persoane,78
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 2003, Numar persoane,70
 42156 UNGRA,5- 9 ani, Feminin, Brasov, Anul 2004, Numar persoane,74
 42156 UNGRA,10-14 ani, Masculin, Brasov, Anul 1992, Numar persoane,101
 42156 UNGRA,10-14 ani, Masculin, Brasov, Anul 1993, Numar persoane,89
 42156 UNGRA,10-14 ani, Masculin, Brasov, Anul 1994, Numar persoane,94
 42156 UNGRA,10-14 ani, Masculin, Brasov, Anul 1995, Numar persoane,85
 42156 UNGRA,10-14 ani, Masculin, Brasov, Anul 1996, Numar persoane,85
 42156 UNGRA,10-14 ani, Masculin, Brasov, Anul 1997, Numar persoane,102
 42156 UNGRA,10-14 ani, Masculin, Brasov, Anul 1998, Numar persoane,110
