 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 1992, Numar persoane,147
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 1993, Numar persoane,134
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 1994, Numar persoane,134
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 1995, Numar persoane,133
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 1996, Numar persoane,121
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 1997, Numar persoane,119
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 1998, Numar persoane,140
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 1999, Numar persoane,135
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 2000, Numar persoane,136
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 2001, Numar persoane,138
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 2002, Numar persoane,152
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 2003, Numar persoane,135
 42183 VAMA BUZAULUI,0- 4 ani, Masculin, Brasov, Anul 2004, Numar persoane,131
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 1992, Numar persoane,114
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 1993, Numar persoane,111
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 1994, Numar persoane,116
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 1995, Numar persoane,109
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 1996, Numar persoane,100
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 1997, Numar persoane,103
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 1998, Numar persoane,101
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 1999, Numar persoane,88
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 2000, Numar persoane,105
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 2001, Numar persoane,110
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 2002, Numar persoane,113
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 2003, Numar persoane,116
 42183 VAMA BUZAULUI,0- 4 ani, Feminin, Brasov, Anul 2004, Numar persoane,117
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 1992, Numar persoane,113
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 1993, Numar persoane,116
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 1994, Numar persoane,135
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 1995, Numar persoane,133
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 1996, Numar persoane,136
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 1997, Numar persoane,141
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 1998, Numar persoane,136
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 1999, Numar persoane,135
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 2000, Numar persoane,133
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 2001, Numar persoane,126
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 2002, Numar persoane,120
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 2003, Numar persoane,136
 42183 VAMA BUZAULUI,5- 9 ani, Masculin, Brasov, Anul 2004, Numar persoane,127
 42183 VAMA BUZAULUI,5- 9 ani, Feminin, Brasov, Anul 1992, Numar persoane,124
 42183 VAMA BUZAULUI,5- 9 ani, Feminin, Brasov, Anul 1993, Numar persoane,127
 42183 VAMA BUZAULUI,5- 9 ani, Feminin, Brasov, Anul 1994, Numar persoane,131
 42183 VAMA BUZAULUI,5- 9 ani, Feminin, Brasov, Anul 1995, Numar persoane,128
 42183 VAMA BUZAULUI,5- 9 ani, Feminin, Brasov, Anul 1996, Numar persoane,126
 42183 VAMA BUZAULUI,5- 9 ani, Feminin, Brasov, Anul 1997, Numar persoane,115
 42183 VAMA BUZAULUI,5- 9 ani, Feminin, Brasov, Anul 1998, Numar persoane,110
