 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 55106 JICHISU DE JOS,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,22
 55106 JICHISU DE JOS,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,24
 55106 JICHISU DE JOS,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,23
 55106 JICHISU DE JOS,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,24
 55106 JICHISU DE JOS,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,24
 55106 JICHISU DE JOS,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,25
 55106 JICHISU DE JOS,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,26
 55106 JICHISU DE JOS,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,23
 55106 JICHISU DE JOS,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,27
 55106 JICHISU DE JOS,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,17
 55106 JICHISU DE JOS,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,19
 55106 JICHISU DE JOS,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,21
 55106 JICHISU DE JOS,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,22
 55106 JICHISU DE JOS,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,21
 55106 JICHISU DE JOS,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,25
 55106 JICHISU DE JOS,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,25
 55106 JICHISU DE JOS,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,28
 55106 JICHISU DE JOS,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,26
 55106 JICHISU DE JOS,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,21
 55106 JICHISU DE JOS,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,18
 55106 JICHISU DE JOS,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,22
 55106 JICHISU DE JOS,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,21
