 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,1273
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,1182
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,1061
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,965
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,909
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,888
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,841
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,844
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,775
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,1264
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,1190
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,1049
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,977
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,905
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,831
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,823
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,814
 55357 MUNICIPIUL CAMPIA TURZII,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,784
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,1299
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,1330
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,1365
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,1353
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,1341
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,1276
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,1197
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,1082
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,973
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,1260
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,1266
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,1353
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,1342
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,1304
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,1277
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,1198
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,1076
 55357 MUNICIPIUL CAMPIA TURZII,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,989
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,1501
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,1477
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,1398
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,1382
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,1317
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,1275
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,1300
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,1331
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,1317
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,1426
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,1384
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,1308
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,1309
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,1252
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,1253
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,1255
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Feminin, Cluj, Anul 1999, Numar persoane,1345
 55357 MUNICIPIUL CAMPIA TURZII,10-14 ani, Feminin, Cluj, Anul 2000, Numar persoane,1314
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Masculin, Cluj, Anul 1992, Numar persoane,1291
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Masculin, Cluj, Anul 1993, Numar persoane,1325
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Masculin, Cluj, Anul 1994, Numar persoane,1427
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Masculin, Cluj, Anul 1995, Numar persoane,1441
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Masculin, Cluj, Anul 1996, Numar persoane,1450
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Masculin, Cluj, Anul 1997, Numar persoane,1486
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Masculin, Cluj, Anul 1998, Numar persoane,1466
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Masculin, Cluj, Anul 1999, Numar persoane,1382
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Masculin, Cluj, Anul 2000, Numar persoane,1358
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Feminin, Cluj, Anul 1992, Numar persoane,1258
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Feminin, Cluj, Anul 1993, Numar persoane,1333
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Feminin, Cluj, Anul 1994, Numar persoane,1410
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Feminin, Cluj, Anul 1995, Numar persoane,1388
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Feminin, Cluj, Anul 1996, Numar persoane,1441
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Feminin, Cluj, Anul 1997, Numar persoane,1426
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Feminin, Cluj, Anul 1998, Numar persoane,1371
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Feminin, Cluj, Anul 1999, Numar persoane,1291
 55357 MUNICIPIUL CAMPIA TURZII,15-19 ani, Feminin, Cluj, Anul 2000, Numar persoane,1280
 55357 MUNICIPIUL CAMPIA TURZII,20-24 ani, Masculin, Cluj, Anul 1992, Numar persoane,1244
 55357 MUNICIPIUL CAMPIA TURZII,20-24 ani, Masculin, Cluj, Anul 1993, Numar persoane,1209
 55357 MUNICIPIUL CAMPIA TURZII,20-24 ani, Masculin, Cluj, Anul 1994, Numar persoane,1166
 55357 MUNICIPIUL CAMPIA TURZII,20-24 ani, Masculin, Cluj, Anul 1995, Numar persoane,1184
 55357 MUNICIPIUL CAMPIA TURZII,20-24 ani, Masculin, Cluj, Anul 1996, Numar persoane,1253
