 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 55384 MUNICIPIUL GHERLA,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,969
 55384 MUNICIPIUL GHERLA,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,872
 55384 MUNICIPIUL GHERLA,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,798
 55384 MUNICIPIUL GHERLA,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,693
 55384 MUNICIPIUL GHERLA,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,611
 55384 MUNICIPIUL GHERLA,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,541
 55384 MUNICIPIUL GHERLA,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,514
 55384 MUNICIPIUL GHERLA,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,506
 55384 MUNICIPIUL GHERLA,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,488
 55384 MUNICIPIUL GHERLA,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,905
 55384 MUNICIPIUL GHERLA,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,876
 55384 MUNICIPIUL GHERLA,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,786
 55384 MUNICIPIUL GHERLA,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,711
 55384 MUNICIPIUL GHERLA,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,597
 55384 MUNICIPIUL GHERLA,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,551
 55384 MUNICIPIUL GHERLA,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,515
 55384 MUNICIPIUL GHERLA,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,519
 55384 MUNICIPIUL GHERLA,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,508
 55384 MUNICIPIUL GHERLA,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,1058
 55384 MUNICIPIUL GHERLA,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,1074
 55384 MUNICIPIUL GHERLA,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,1057
 55384 MUNICIPIUL GHERLA,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,1059
 55384 MUNICIPIUL GHERLA,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,1049
 55384 MUNICIPIUL GHERLA,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,963
 55384 MUNICIPIUL GHERLA,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,864
 55384 MUNICIPIUL GHERLA,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,794
 55384 MUNICIPIUL GHERLA,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,695
 55384 MUNICIPIUL GHERLA,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,974
 55384 MUNICIPIUL GHERLA,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,973
 55384 MUNICIPIUL GHERLA,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,983
 55384 MUNICIPIUL GHERLA,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,942
 55384 MUNICIPIUL GHERLA,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,951
 55384 MUNICIPIUL GHERLA,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,905
 55384 MUNICIPIUL GHERLA,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,859
 55384 MUNICIPIUL GHERLA,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,765
 55384 MUNICIPIUL GHERLA,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,687
 55384 MUNICIPIUL GHERLA,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,1191
 55384 MUNICIPIUL GHERLA,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,1139
 55384 MUNICIPIUL GHERLA,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,1083
 55384 MUNICIPIUL GHERLA,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,1040
 55384 MUNICIPIUL GHERLA,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,1011
 55384 MUNICIPIUL GHERLA,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,1040
 55384 MUNICIPIUL GHERLA,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,1056
 55384 MUNICIPIUL GHERLA,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,1034
 55384 MUNICIPIUL GHERLA,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,1044
 55384 MUNICIPIUL GHERLA,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,1154
 55384 MUNICIPIUL GHERLA,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,1095
 55384 MUNICIPIUL GHERLA,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,1059
 55384 MUNICIPIUL GHERLA,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,1032
 55384 MUNICIPIUL GHERLA,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,967
 55384 MUNICIPIUL GHERLA,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,948
 55384 MUNICIPIUL GHERLA,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,953
 55384 MUNICIPIUL GHERLA,10-14 ani, Feminin, Cluj, Anul 1999, Numar persoane,965
 55384 MUNICIPIUL GHERLA,10-14 ani, Feminin, Cluj, Anul 2000, Numar persoane,919
 55384 MUNICIPIUL GHERLA,15-19 ani, Masculin, Cluj, Anul 1992, Numar persoane,989
 55384 MUNICIPIUL GHERLA,15-19 ani, Masculin, Cluj, Anul 1993, Numar persoane,1095
 55384 MUNICIPIUL GHERLA,15-19 ani, Masculin, Cluj, Anul 1994, Numar persoane,1167
 55384 MUNICIPIUL GHERLA,15-19 ani, Masculin, Cluj, Anul 1995, Numar persoane,1168
 55384 MUNICIPIUL GHERLA,15-19 ani, Masculin, Cluj, Anul 1996, Numar persoane,1172
 55384 MUNICIPIUL GHERLA,15-19 ani, Masculin, Cluj, Anul 1997, Numar persoane,1156
 55384 MUNICIPIUL GHERLA,15-19 ani, Masculin, Cluj, Anul 1998, Numar persoane,1112
 55384 MUNICIPIUL GHERLA,15-19 ani, Masculin, Cluj, Anul 1999, Numar persoane,1054
 55384 MUNICIPIUL GHERLA,15-19 ani, Masculin, Cluj, Anul 2000, Numar persoane,1011
 55384 MUNICIPIUL GHERLA,15-19 ani, Feminin, Cluj, Anul 1992, Numar persoane,970
 55384 MUNICIPIUL GHERLA,15-19 ani, Feminin, Cluj, Anul 1993, Numar persoane,1041
 55384 MUNICIPIUL GHERLA,15-19 ani, Feminin, Cluj, Anul 1994, Numar persoane,1068
 55384 MUNICIPIUL GHERLA,15-19 ani, Feminin, Cluj, Anul 1995, Numar persoane,1107
 55384 MUNICIPIUL GHERLA,15-19 ani, Feminin, Cluj, Anul 1996, Numar persoane,1134
 55384 MUNICIPIUL GHERLA,15-19 ani, Feminin, Cluj, Anul 1997, Numar persoane,1146
 55384 MUNICIPIUL GHERLA,15-19 ani, Feminin, Cluj, Anul 1998, Numar persoane,1075
 55384 MUNICIPIUL GHERLA,15-19 ani, Feminin, Cluj, Anul 1999, Numar persoane,1048
 55384 MUNICIPIUL GHERLA,15-19 ani, Feminin, Cluj, Anul 2000, Numar persoane,1021
 55384 MUNICIPIUL GHERLA,20-24 ani, Masculin, Cluj, Anul 1992, Numar persoane,1066
 55384 MUNICIPIUL GHERLA,20-24 ani, Masculin, Cluj, Anul 1993, Numar persoane,965
 55384 MUNICIPIUL GHERLA,20-24 ani, Masculin, Cluj, Anul 1994, Numar persoane,914
