 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 55687 APAHIDA,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,197
 55687 APAHIDA,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,204
 55687 APAHIDA,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,198
 55687 APAHIDA,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,198
 55687 APAHIDA,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,182
 55687 APAHIDA,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,195
 55687 APAHIDA,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,202
 55687 APAHIDA,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,203
 55687 APAHIDA,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,215
 55687 APAHIDA,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,173
 55687 APAHIDA,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,187
 55687 APAHIDA,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,187
 55687 APAHIDA,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,193
 55687 APAHIDA,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,169
 55687 APAHIDA,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,165
 55687 APAHIDA,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,163
 55687 APAHIDA,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,184
 55687 APAHIDA,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,173
 55687 APAHIDA,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,223
 55687 APAHIDA,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,232
 55687 APAHIDA,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,254
 55687 APAHIDA,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,257
 55687 APAHIDA,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,241
 55687 APAHIDA,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,237
 55687 APAHIDA,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,225
 55687 APAHIDA,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,219
 55687 APAHIDA,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,219
 55687 APAHIDA,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,199
 55687 APAHIDA,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,216
 55687 APAHIDA,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,240
 55687 APAHIDA,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,229
 55687 APAHIDA,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,215
 55687 APAHIDA,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,199
 55687 APAHIDA,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,200
 55687 APAHIDA,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,202
 55687 APAHIDA,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,201
 55687 APAHIDA,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,273
 55687 APAHIDA,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,270
 55687 APAHIDA,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,241
 55687 APAHIDA,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,227
 55687 APAHIDA,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,237
 55687 APAHIDA,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,248
 55687 APAHIDA,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,248
 55687 APAHIDA,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,280
 55687 APAHIDA,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,292
 55687 APAHIDA,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,268
 55687 APAHIDA,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,250
 55687 APAHIDA,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,227
 55687 APAHIDA,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,228
 55687 APAHIDA,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,211
 55687 APAHIDA,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,224
 55687 APAHIDA,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,230
 55687 APAHIDA,10-14 ani, Feminin, Cluj, Anul 1999, Numar persoane,253
 55687 APAHIDA,10-14 ani, Feminin, Cluj, Anul 2000, Numar persoane,260
 55687 APAHIDA,15-19 ani, Masculin, Cluj, Anul 1992, Numar persoane,330
 55687 APAHIDA,15-19 ani, Masculin, Cluj, Anul 1993, Numar persoane,336
 55687 APAHIDA,15-19 ani, Masculin, Cluj, Anul 1994, Numar persoane,346
 55687 APAHIDA,15-19 ani, Masculin, Cluj, Anul 1995, Numar persoane,321
 55687 APAHIDA,15-19 ani, Masculin, Cluj, Anul 1996, Numar persoane,317
 55687 APAHIDA,15-19 ani, Masculin, Cluj, Anul 1997, Numar persoane,285
 55687 APAHIDA,15-19 ani, Masculin, Cluj, Anul 1998, Numar persoane,280
 55687 APAHIDA,15-19 ani, Masculin, Cluj, Anul 1999, Numar persoane,257
 55687 APAHIDA,15-19 ani, Masculin, Cluj, Anul 2000, Numar persoane,252
 55687 APAHIDA,15-19 ani, Feminin, Cluj, Anul 1992, Numar persoane,339
 55687 APAHIDA,15-19 ani, Feminin, Cluj, Anul 1993, Numar persoane,333
 55687 APAHIDA,15-19 ani, Feminin, Cluj, Anul 1994, Numar persoane,335
 55687 APAHIDA,15-19 ani, Feminin, Cluj, Anul 1995, Numar persoane,312
 55687 APAHIDA,15-19 ani, Feminin, Cluj, Anul 1996, Numar persoane,299
 55687 APAHIDA,15-19 ani, Feminin, Cluj, Anul 1997, Numar persoane,268
 55687 APAHIDA,15-19 ani, Feminin, Cluj, Anul 1998, Numar persoane,258
 55687 APAHIDA,15-19 ani, Feminin, Cluj, Anul 1999, Numar persoane,232
 55687 APAHIDA,15-19 ani, Feminin, Cluj, Anul 2000, Numar persoane,236
 55687 APAHIDA,20-24 ani, Masculin, Cluj, Anul 1992, Numar persoane,420
 55687 APAHIDA,20-24 ani, Masculin, Cluj, Anul 1993, Numar persoane,408
 55687 APAHIDA,20-24 ani, Masculin, Cluj, Anul 1994, Numar persoane,380
 55687 APAHIDA,20-24 ani, Masculin, Cluj, Anul 1995, Numar persoane,370
 55687 APAHIDA,20-24 ani, Masculin, Cluj, Anul 1996, Numar persoane,339
 55687 APAHIDA,20-24 ani, Masculin, Cluj, Anul 1997, Numar persoane,336
 55687 APAHIDA,20-24 ani, Masculin, Cluj, Anul 1998, Numar persoane,341
 55687 APAHIDA,20-24 ani, Masculin, Cluj, Anul 1999, Numar persoane,343
 55687 APAHIDA,20-24 ani, Masculin, Cluj, Anul 2000, Numar persoane,335
 55687 APAHIDA,20-24 ani, Feminin, Cluj, Anul 1992, Numar persoane,294
 55687 APAHIDA,20-24 ani, Feminin, Cluj, Anul 1993, Numar persoane,306
 55687 APAHIDA,20-24 ani, Feminin, Cluj, Anul 1994, Numar persoane,309
 55687 APAHIDA,20-24 ani, Feminin, Cluj, Anul 1995, Numar persoane,320
 55687 APAHIDA,20-24 ani, Feminin, Cluj, Anul 1996, Numar persoane,330
 55687 APAHIDA,20-24 ani, Feminin, Cluj, Anul 1997, Numar persoane,355
 55687 APAHIDA,20-24 ani, Feminin, Cluj, Anul 1998, Numar persoane,348
 55687 APAHIDA,20-24 ani, Feminin, Cluj, Anul 1999, Numar persoane,334
 55687 APAHIDA,20-24 ani, Feminin, Cluj, Anul 2000, Numar persoane,322
 55687 APAHIDA,25-29 ani, Masculin, Cluj, Anul 1992, Numar persoane,219
 55687 APAHIDA,25-29 ani, Masculin, Cluj, Anul 1993, Numar persoane,257
 55687 APAHIDA,25-29 ani, Masculin, Cluj, Anul 1994, Numar persoane,296
 55687 APAHIDA,25-29 ani, Masculin, Cluj, Anul 1995, Numar persoane,310
 55687 APAHIDA,25-29 ani, Masculin, Cluj, Anul 1996, Numar persoane,347
 55687 APAHIDA,25-29 ani, Masculin, Cluj, Anul 1997, Numar persoane,396
 55687 APAHIDA,25-29 ani, Masculin, Cluj, Anul 1998, Numar persoane,392
 55687 APAHIDA,25-29 ani, Masculin, Cluj, Anul 1999, Numar persoane,369
 55687 APAHIDA,25-29 ani, Masculin, Cluj, Anul 2000, Numar persoane,371
 55687 APAHIDA,25-29 ani, Feminin, Cluj, Anul 1992, Numar persoane,147
 55687 APAHIDA,25-29 ani, Feminin, Cluj, Anul 1993, Numar persoane,183
 55687 APAHIDA,25-29 ani, Feminin, Cluj, Anul 1994, Numar persoane,236
 55687 APAHIDA,25-29 ani, Feminin, Cluj, Anul 1995, Numar persoane,260
 55687 APAHIDA,25-29 ani, Feminin, Cluj, Anul 1996, Numar persoane,281
 55687 APAHIDA,25-29 ani, Feminin, Cluj, Anul 1997, Numar persoane,308
 55687 APAHIDA,25-29 ani, Feminin, Cluj, Anul 1998, Numar persoane,305
 55687 APAHIDA,25-29 ani, Feminin, Cluj, Anul 1999, Numar persoane,319
 55687 APAHIDA,25-29 ani, Feminin, Cluj, Anul 2000, Numar persoane,327
 55687 APAHIDA,30-34 ani, Masculin, Cluj, Anul 1992, Numar persoane,203
 55687 APAHIDA,30-34 ani, Masculin, Cluj, Anul 1993, Numar persoane,219
 55687 APAHIDA,30-34 ani, Masculin, Cluj, Anul 1994, Numar persoane,223
 55687 APAHIDA,30-34 ani, Masculin, Cluj, Anul 1995, Numar persoane,248
 55687 APAHIDA,30-34 ani, Masculin, Cluj, Anul 1996, Numar persoane,226
 55687 APAHIDA,30-34 ani, Masculin, Cluj, Anul 1997, Numar persoane,220
 55687 APAHIDA,30-34 ani, Masculin, Cluj, Anul 1998, Numar persoane,240
 55687 APAHIDA,30-34 ani, Masculin, Cluj, Anul 1999, Numar persoane,292
 55687 APAHIDA,30-34 ani, Masculin, Cluj, Anul 2000, Numar persoane,319
 55687 APAHIDA,30-34 ani, Feminin, Cluj, Anul 1992, Numar persoane,164
 55687 APAHIDA,30-34 ani, Feminin, Cluj, Anul 1993, Numar persoane,157
 55687 APAHIDA,30-34 ani, Feminin, Cluj, Anul 1994, Numar persoane,152
 55687 APAHIDA,30-34 ani, Feminin, Cluj, Anul 1995, Numar persoane,154
 55687 APAHIDA,30-34 ani, Feminin, Cluj, Anul 1996, Numar persoane,148
 55687 APAHIDA,30-34 ani, Feminin, Cluj, Anul 1997, Numar persoane,165
 55687 APAHIDA,30-34 ani, Feminin, Cluj, Anul 1998, Numar persoane,207
 55687 APAHIDA,30-34 ani, Feminin, Cluj, Anul 1999, Numar persoane,262
 55687 APAHIDA,30-34 ani, Feminin, Cluj, Anul 2000, Numar persoane,286
 55687 APAHIDA,35-39 ani, Masculin, Cluj, Anul 1992, Numar persoane,228
 55687 APAHIDA,35-39 ani, Masculin, Cluj, Anul 1993, Numar persoane,230
 55687 APAHIDA,35-39 ani, Masculin, Cluj, Anul 1994, Numar persoane,225
