 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 56522 CAMARASU,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,124
 56522 CAMARASU,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,124
 56522 CAMARASU,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,126
 56522 CAMARASU,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,116
 56522 CAMARASU,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,114
 56522 CAMARASU,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,111
 56522 CAMARASU,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,98
 56522 CAMARASU,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,112
 56522 CAMARASU,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,112
 56522 CAMARASU,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,122
 56522 CAMARASU,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,121
 56522 CAMARASU,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,115
 56522 CAMARASU,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,114
 56522 CAMARASU,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,108
 56522 CAMARASU,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,123
 56522 CAMARASU,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,137
 56522 CAMARASU,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,137
 56522 CAMARASU,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,140
 56522 CAMARASU,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,97
 56522 CAMARASU,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,93
 56522 CAMARASU,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,90
 56522 CAMARASU,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,100
 56522 CAMARASU,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,115
 56522 CAMARASU,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,124
 56522 CAMARASU,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,130
