 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 56568 CAPUSU MARE,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,95
 56568 CAPUSU MARE,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,80
 56568 CAPUSU MARE,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,79
 56568 CAPUSU MARE,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,76
 56568 CAPUSU MARE,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,74
 56568 CAPUSU MARE,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,80
 56568 CAPUSU MARE,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,79
 56568 CAPUSU MARE,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,77
 56568 CAPUSU MARE,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,73
 56568 CAPUSU MARE,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,100
 56568 CAPUSU MARE,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,109
 56568 CAPUSU MARE,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,93
 56568 CAPUSU MARE,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,75
 56568 CAPUSU MARE,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,58
 56568 CAPUSU MARE,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,74
 56568 CAPUSU MARE,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,68
 56568 CAPUSU MARE,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,76
 56568 CAPUSU MARE,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,88
 56568 CAPUSU MARE,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,91
 56568 CAPUSU MARE,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,95
 56568 CAPUSU MARE,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,96
 56568 CAPUSU MARE,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,95
 56568 CAPUSU MARE,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,100
 56568 CAPUSU MARE,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,97
 56568 CAPUSU MARE,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,87
 56568 CAPUSU MARE,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,84
 56568 CAPUSU MARE,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,78
 56568 CAPUSU MARE,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,97
 56568 CAPUSU MARE,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,96
 56568 CAPUSU MARE,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,94
 56568 CAPUSU MARE,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,98
 56568 CAPUSU MARE,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,106
 56568 CAPUSU MARE,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,98
 56568 CAPUSU MARE,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,108
 56568 CAPUSU MARE,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,99
 56568 CAPUSU MARE,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,85
 56568 CAPUSU MARE,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,117
 56568 CAPUSU MARE,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,105
 56568 CAPUSU MARE,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,94
 56568 CAPUSU MARE,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,90
 56568 CAPUSU MARE,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,95
 56568 CAPUSU MARE,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,90
 56568 CAPUSU MARE,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,98
 56568 CAPUSU MARE,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,102
 56568 CAPUSU MARE,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,107
 56568 CAPUSU MARE,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,122
 56568 CAPUSU MARE,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,111
 56568 CAPUSU MARE,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,105
 56568 CAPUSU MARE,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,103
 56568 CAPUSU MARE,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,101
 56568 CAPUSU MARE,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,95
 56568 CAPUSU MARE,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,97
 56568 CAPUSU MARE,10-14 ani, Feminin, Cluj, Anul 1999, Numar persoane,98
 56568 CAPUSU MARE,10-14 ani, Feminin, Cluj, Anul 2000, Numar persoane,103
 56568 CAPUSU MARE,15-19 ani, Masculin, Cluj, Anul 1992, Numar persoane,180
 56568 CAPUSU MARE,15-19 ani, Masculin, Cluj, Anul 1993, Numar persoane,173
 56568 CAPUSU MARE,15-19 ani, Masculin, Cluj, Anul 1994, Numar persoane,168
 56568 CAPUSU MARE,15-19 ani, Masculin, Cluj, Anul 1995, Numar persoane,151
 56568 CAPUSU MARE,15-19 ani, Masculin, Cluj, Anul 1996, Numar persoane,128
