 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 56988 CHINTENI,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,80
 56988 CHINTENI,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,76
 56988 CHINTENI,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,64
 56988 CHINTENI,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,54
 56988 CHINTENI,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,56
 56988 CHINTENI,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,62
 56988 CHINTENI,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,66
 56988 CHINTENI,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,65
 56988 CHINTENI,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,59
 56988 CHINTENI,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,89
 56988 CHINTENI,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,74
 56988 CHINTENI,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,68
 56988 CHINTENI,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,69
 56988 CHINTENI,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,64
 56988 CHINTENI,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,60
 56988 CHINTENI,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,67
 56988 CHINTENI,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,65
 56988 CHINTENI,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,67
 56988 CHINTENI,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,69
 56988 CHINTENI,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,65
 56988 CHINTENI,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,72
 56988 CHINTENI,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,83
 56988 CHINTENI,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,80
 56988 CHINTENI,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,69
 56988 CHINTENI,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,65
 56988 CHINTENI,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,56
 56988 CHINTENI,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,56
 56988 CHINTENI,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,67
 56988 CHINTENI,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,67
 56988 CHINTENI,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,71
 56988 CHINTENI,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,77
 56988 CHINTENI,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,80
 56988 CHINTENI,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,74
