 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 57163 CIUCEA,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,149
 57163 CIUCEA,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,139
 57163 CIUCEA,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,119
 57163 CIUCEA,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,104
 57163 CIUCEA,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,107
 57163 CIUCEA,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,101
 57163 CIUCEA,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,103
 57163 CIUCEA,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,100
 57163 CIUCEA,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,99
 57163 CIUCEA,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,141
 57163 CIUCEA,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,135
 57163 CIUCEA,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,120
 57163 CIUCEA,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,94
 57163 CIUCEA,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,86
 57163 CIUCEA,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,99
 57163 CIUCEA,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,103
 57163 CIUCEA,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,111
 57163 CIUCEA,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,106
 57163 CIUCEA,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,138
 57163 CIUCEA,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,145
 57163 CIUCEA,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,154
 57163 CIUCEA,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,158
 57163 CIUCEA,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,158
 57163 CIUCEA,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,145
 57163 CIUCEA,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,137
 57163 CIUCEA,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,113
 57163 CIUCEA,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,100
 57163 CIUCEA,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,114
 57163 CIUCEA,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,114
 57163 CIUCEA,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,128
 57163 CIUCEA,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,142
 57163 CIUCEA,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,152
 57163 CIUCEA,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,147
 57163 CIUCEA,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,144
 57163 CIUCEA,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,129
 57163 CIUCEA,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,111
 57163 CIUCEA,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,193
 57163 CIUCEA,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,178
 57163 CIUCEA,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,176
 57163 CIUCEA,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,175
 57163 CIUCEA,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,147
 57163 CIUCEA,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,140
 57163 CIUCEA,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,148
 57163 CIUCEA,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,160
 57163 CIUCEA,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,169
 57163 CIUCEA,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,124
 57163 CIUCEA,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,121
 57163 CIUCEA,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,116
 57163 CIUCEA,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,119
 57163 CIUCEA,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,114
 57163 CIUCEA,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,115
 57163 CIUCEA,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,117
