 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 58204 IZVORU CRISULUI,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,34
 58204 IZVORU CRISULUI,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,27
 58204 IZVORU CRISULUI,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,20
 58204 IZVORU CRISULUI,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,27
 58204 IZVORU CRISULUI,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,35
 58204 IZVORU CRISULUI,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,39
 58204 IZVORU CRISULUI,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,44
 58204 IZVORU CRISULUI,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,52
 58204 IZVORU CRISULUI,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,46
 58204 IZVORU CRISULUI,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,27
 58204 IZVORU CRISULUI,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,36
 58204 IZVORU CRISULUI,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,36
 58204 IZVORU CRISULUI,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,37
 58204 IZVORU CRISULUI,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,35
 58204 IZVORU CRISULUI,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,38
 58204 IZVORU CRISULUI,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,28
 58204 IZVORU CRISULUI,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,31
 58204 IZVORU CRISULUI,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,34
 58204 IZVORU CRISULUI,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,27
 58204 IZVORU CRISULUI,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,31
 58204 IZVORU CRISULUI,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,39
 58204 IZVORU CRISULUI,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,36
 58204 IZVORU CRISULUI,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,38
 58204 IZVORU CRISULUI,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,34
 58204 IZVORU CRISULUI,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,33
 58204 IZVORU CRISULUI,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,26
 58204 IZVORU CRISULUI,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,29
 58204 IZVORU CRISULUI,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,33
 58204 IZVORU CRISULUI,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,34
 58204 IZVORU CRISULUI,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,29
 58204 IZVORU CRISULUI,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,33
 58204 IZVORU CRISULUI,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,33
 58204 IZVORU CRISULUI,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,25
 58204 IZVORU CRISULUI,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,32
 58204 IZVORU CRISULUI,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,35
 58204 IZVORU CRISULUI,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,35
 58204 IZVORU CRISULUI,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,65
 58204 IZVORU CRISULUI,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,51
 58204 IZVORU CRISULUI,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,37
 58204 IZVORU CRISULUI,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,35
 58204 IZVORU CRISULUI,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,28
 58204 IZVORU CRISULUI,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,30
 58204 IZVORU CRISULUI,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,34
 58204 IZVORU CRISULUI,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,42
 58204 IZVORU CRISULUI,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,42
 58204 IZVORU CRISULUI,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,48
 58204 IZVORU CRISULUI,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,44
 58204 IZVORU CRISULUI,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,41
 58204 IZVORU CRISULUI,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,38
 58204 IZVORU CRISULUI,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,39
 58204 IZVORU CRISULUI,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,33
 58204 IZVORU CRISULUI,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,33
 58204 IZVORU CRISULUI,10-14 ani, Feminin, Cluj, Anul 1999, Numar persoane,31
 58204 IZVORU CRISULUI,10-14 ani, Feminin, Cluj, Anul 2000, Numar persoane,38
 58204 IZVORU CRISULUI,15-19 ani, Masculin, Cluj, Anul 1992, Numar persoane,59
 58204 IZVORU CRISULUI,15-19 ani, Masculin, Cluj, Anul 1993, Numar persoane,68
 58204 IZVORU CRISULUI,15-19 ani, Masculin, Cluj, Anul 1994, Numar persoane,75
 58204 IZVORU CRISULUI,15-19 ani, Masculin, Cluj, Anul 1995, Numar persoane,71
 58204 IZVORU CRISULUI,15-19 ani, Masculin, Cluj, Anul 1996, Numar persoane,66
 58204 IZVORU CRISULUI,15-19 ani, Masculin, Cluj, Anul 1997, Numar persoane,65
 58204 IZVORU CRISULUI,15-19 ani, Masculin, Cluj, Anul 1998, Numar persoane,50
 58204 IZVORU CRISULUI,15-19 ani, Masculin, Cluj, Anul 1999, Numar persoane,35
 58204 IZVORU CRISULUI,15-19 ani, Masculin, Cluj, Anul 2000, Numar persoane,35
 58204 IZVORU CRISULUI,15-19 ani, Feminin, Cluj, Anul 1992, Numar persoane,74
 58204 IZVORU CRISULUI,15-19 ani, Feminin, Cluj, Anul 1993, Numar persoane,58
 58204 IZVORU CRISULUI,15-19 ani, Feminin, Cluj, Anul 1994, Numar persoane,61
 58204 IZVORU CRISULUI,15-19 ani, Feminin, Cluj, Anul 1995, Numar persoane,54
