 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 58393 MANASTIRENI,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,41
 58393 MANASTIRENI,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,42
 58393 MANASTIRENI,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,35
 58393 MANASTIRENI,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,36
 58393 MANASTIRENI,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,34
 58393 MANASTIRENI,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,33
 58393 MANASTIRENI,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,29
 58393 MANASTIRENI,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,33
 58393 MANASTIRENI,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,35
 58393 MANASTIRENI,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,48
 58393 MANASTIRENI,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,46
 58393 MANASTIRENI,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,35
 58393 MANASTIRENI,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,25
 58393 MANASTIRENI,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,17
 58393 MANASTIRENI,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,19
 58393 MANASTIRENI,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,22
 58393 MANASTIRENI,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,25
 58393 MANASTIRENI,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,29
 58393 MANASTIRENI,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,59
 58393 MANASTIRENI,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,60
 58393 MANASTIRENI,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,53
 58393 MANASTIRENI,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,48
 58393 MANASTIRENI,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,40
 58393 MANASTIRENI,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,40
 58393 MANASTIRENI,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,41
 58393 MANASTIRENI,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,35
 58393 MANASTIRENI,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,38
 58393 MANASTIRENI,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,50
 58393 MANASTIRENI,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,53
 58393 MANASTIRENI,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,57
 58393 MANASTIRENI,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,56
 58393 MANASTIRENI,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,54
 58393 MANASTIRENI,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,50
 58393 MANASTIRENI,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,44
 58393 MANASTIRENI,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,34
 58393 MANASTIRENI,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,27
 58393 MANASTIRENI,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,50
 58393 MANASTIRENI,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,45
