 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 58794 PALATCA,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,51
 58794 PALATCA,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,40
 58794 PALATCA,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,33
 58794 PALATCA,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,25
 58794 PALATCA,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,25
 58794 PALATCA,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,21
 58794 PALATCA,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,25
 58794 PALATCA,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,30
 58794 PALATCA,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,29
 58794 PALATCA,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,56
 58794 PALATCA,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,54
 58794 PALATCA,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,43
 58794 PALATCA,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,35
 58794 PALATCA,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,34
 58794 PALATCA,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,29
 58794 PALATCA,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,26
 58794 PALATCA,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,31
 58794 PALATCA,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,33
 58794 PALATCA,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,37
 58794 PALATCA,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,35
 58794 PALATCA,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,35
 58794 PALATCA,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,42
 58794 PALATCA,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,37
 58794 PALATCA,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,39
 58794 PALATCA,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,35
 58794 PALATCA,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,29
 58794 PALATCA,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,26
 58794 PALATCA,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,32
 58794 PALATCA,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,32
