 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 59416 SIC,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,69
 59416 SIC,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,67
 59416 SIC,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,65
 59416 SIC,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,65
 59416 SIC,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,76
 59416 SIC,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,76
 59416 SIC,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,71
 59416 SIC,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,67
 59416 SIC,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,65
 59416 SIC,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,69
 59416 SIC,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,66
 59416 SIC,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,66
 59416 SIC,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,67
 59416 SIC,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,57
 59416 SIC,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,61
 59416 SIC,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,58
 59416 SIC,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,54
 59416 SIC,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,56
 59416 SIC,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,84
 59416 SIC,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,87
 59416 SIC,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,84
 59416 SIC,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,85
 59416 SIC,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,74
 59416 SIC,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,68
 59416 SIC,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,64
 59416 SIC,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,67
 59416 SIC,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,63
 59416 SIC,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,75
 59416 SIC,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,71
 59416 SIC,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,64
 59416 SIC,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,66
 59416 SIC,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,66
 59416 SIC,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,69
 59416 SIC,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,65
 59416 SIC,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,65
 59416 SIC,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,61
 59416 SIC,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,108
 59416 SIC,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,105
 59416 SIC,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,91
 59416 SIC,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,87
 59416 SIC,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,87
 59416 SIC,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,85
 59416 SIC,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,89
 59416 SIC,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,85
 59416 SIC,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,86
 59416 SIC,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,91
 59416 SIC,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,78
 59416 SIC,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,80
 59416 SIC,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,79
 59416 SIC,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,76
 59416 SIC,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,73
 59416 SIC,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,72
 59416 SIC,10-14 ani, Feminin, Cluj, Anul 1999, Numar persoane,65
 59416 SIC,10-14 ani, Feminin, Cluj, Anul 2000, Numar persoane,70
 59416 SIC,15-19 ani, Masculin, Cluj, Anul 1992, Numar persoane,118
 59416 SIC,15-19 ani, Masculin, Cluj, Anul 1993, Numar persoane,99
 59416 SIC,15-19 ani, Masculin, Cluj, Anul 1994, Numar persoane,108
 59416 SIC,15-19 ani, Masculin, Cluj, Anul 1995, Numar persoane,105
 59416 SIC,15-19 ani, Masculin, Cluj, Anul 1996, Numar persoane,107
 59416 SIC,15-19 ani, Masculin, Cluj, Anul 1997, Numar persoane,109
 59416 SIC,15-19 ani, Masculin, Cluj, Anul 1998, Numar persoane,107
 59416 SIC,15-19 ani, Masculin, Cluj, Anul 1999, Numar persoane,91
 59416 SIC,15-19 ani, Masculin, Cluj, Anul 2000, Numar persoane,87
 59416 SIC,15-19 ani, Feminin, Cluj, Anul 1992, Numar persoane,138
 59416 SIC,15-19 ani, Feminin, Cluj, Anul 1993, Numar persoane,128
 59416 SIC,15-19 ani, Feminin, Cluj, Anul 1994, Numar persoane,129
 59416 SIC,15-19 ani, Feminin, Cluj, Anul 1995, Numar persoane,109
 59416 SIC,15-19 ani, Feminin, Cluj, Anul 1996, Numar persoane,104
 59416 SIC,15-19 ani, Feminin, Cluj, Anul 1997, Numar persoane,86
 59416 SIC,15-19 ani, Feminin, Cluj, Anul 1998, Numar persoane,75
 59416 SIC,15-19 ani, Feminin, Cluj, Anul 1999, Numar persoane,79
 59416 SIC,15-19 ani, Feminin, Cluj, Anul 2000, Numar persoane,77
 59416 SIC,20-24 ani, Masculin, Cluj, Anul 1992, Numar persoane,153
 59416 SIC,20-24 ani, Masculin, Cluj, Anul 1993, Numar persoane,152
 59416 SIC,20-24 ani, Masculin, Cluj, Anul 1994, Numar persoane,146
 59416 SIC,20-24 ani, Masculin, Cluj, Anul 1995, Numar persoane,135
 59416 SIC,20-24 ani, Masculin, Cluj, Anul 1996, Numar persoane,123
 59416 SIC,20-24 ani, Masculin, Cluj, Anul 1997, Numar persoane,113
 59416 SIC,20-24 ani, Masculin, Cluj, Anul 1998, Numar persoane,94
 59416 SIC,20-24 ani, Masculin, Cluj, Anul 1999, Numar persoane,104
 59416 SIC,20-24 ani, Masculin, Cluj, Anul 2000, Numar persoane,101
 59416 SIC,20-24 ani, Feminin, Cluj, Anul 1992, Numar persoane,105
 59416 SIC,20-24 ani, Feminin, Cluj, Anul 1993, Numar persoane,112
 59416 SIC,20-24 ani, Feminin, Cluj, Anul 1994, Numar persoane,106
 59416 SIC,20-24 ani, Feminin, Cluj, Anul 1995, Numar persoane,113
 59416 SIC,20-24 ani, Feminin, Cluj, Anul 1996, Numar persoane,112
 59416 SIC,20-24 ani, Feminin, Cluj, Anul 1997, Numar persoane,117
 59416 SIC,20-24 ani, Feminin, Cluj, Anul 1998, Numar persoane,106
 59416 SIC,20-24 ani, Feminin, Cluj, Anul 1999, Numar persoane,107
 59416 SIC,20-24 ani, Feminin, Cluj, Anul 2000, Numar persoane,96
 59416 SIC,25-29 ani, Masculin, Cluj, Anul 1992, Numar persoane,69
 59416 SIC,25-29 ani, Masculin, Cluj, Anul 1993, Numar persoane,76
 59416 SIC,25-29 ani, Masculin, Cluj, Anul 1994, Numar persoane,80
 59416 SIC,25-29 ani, Masculin, Cluj, Anul 1995, Numar persoane,98
 59416 SIC,25-29 ani, Masculin, Cluj, Anul 1996, Numar persoane,113
 59416 SIC,25-29 ani, Masculin, Cluj, Anul 1997, Numar persoane,118
 59416 SIC,25-29 ani, Masculin, Cluj, Anul 1998, Numar persoane,127
 59416 SIC,25-29 ani, Masculin, Cluj, Anul 1999, Numar persoane,126
 59416 SIC,25-29 ani, Masculin, Cluj, Anul 2000, Numar persoane,115
 59416 SIC,25-29 ani, Feminin, Cluj, Anul 1992, Numar persoane,66
 59416 SIC,25-29 ani, Feminin, Cluj, Anul 1993, Numar persoane,75
 59416 SIC,25-29 ani, Feminin, Cluj, Anul 1994, Numar persoane,81
 59416 SIC,25-29 ani, Feminin, Cluj, Anul 1995, Numar persoane,86
 59416 SIC,25-29 ani, Feminin, Cluj, Anul 1996, Numar persoane,90
 59416 SIC,25-29 ani, Feminin, Cluj, Anul 1997, Numar persoane,96
 59416 SIC,25-29 ani, Feminin, Cluj, Anul 1998, Numar persoane,100
 59416 SIC,25-29 ani, Feminin, Cluj, Anul 1999, Numar persoane,94
 59416 SIC,25-29 ani, Feminin, Cluj, Anul 2000, Numar persoane,95
 59416 SIC,30-34 ani, Masculin, Cluj, Anul 1992, Numar persoane,67
 59416 SIC,30-34 ani, Masculin, Cluj, Anul 1993, Numar persoane,61
 59416 SIC,30-34 ani, Masculin, Cluj, Anul 1994, Numar persoane,59
 59416 SIC,30-34 ani, Masculin, Cluj, Anul 1995, Numar persoane,62
 59416 SIC,30-34 ani, Masculin, Cluj, Anul 1996, Numar persoane,56
 59416 SIC,30-34 ani, Masculin, Cluj, Anul 1997, Numar persoane,60
 59416 SIC,30-34 ani, Masculin, Cluj, Anul 1998, Numar persoane,68
 59416 SIC,30-34 ani, Masculin, Cluj, Anul 1999, Numar persoane,73
 59416 SIC,30-34 ani, Masculin, Cluj, Anul 2000, Numar persoane,89
 59416 SIC,30-34 ani, Feminin, Cluj, Anul 1992, Numar persoane,64
 59416 SIC,30-34 ani, Feminin, Cluj, Anul 1993, Numar persoane,65
 59416 SIC,30-34 ani, Feminin, Cluj, Anul 1994, Numar persoane,62
 59416 SIC,30-34 ani, Feminin, Cluj, Anul 1995, Numar persoane,59
 59416 SIC,30-34 ani, Feminin, Cluj, Anul 1996, Numar persoane,63
 59416 SIC,30-34 ani, Feminin, Cluj, Anul 1997, Numar persoane,64
