 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 59657 SUATU,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,50
 59657 SUATU,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,53
 59657 SUATU,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,58
 59657 SUATU,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,57
 59657 SUATU,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,52
 59657 SUATU,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,61
 59657 SUATU,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,56
 59657 SUATU,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,47
 59657 SUATU,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,53
 59657 SUATU,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,57
 59657 SUATU,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,55
 59657 SUATU,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,51
 59657 SUATU,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,40
 59657 SUATU,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,38
 59657 SUATU,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,49
 59657 SUATU,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,44
 59657 SUATU,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,44
 59657 SUATU,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,41
 59657 SUATU,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,34
 59657 SUATU,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,32
 59657 SUATU,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,36
 59657 SUATU,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,39
 59657 SUATU,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,44
 59657 SUATU,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,45
 59657 SUATU,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,50
 59657 SUATU,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,56
 59657 SUATU,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,55
 59657 SUATU,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,37
 59657 SUATU,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,44
 59657 SUATU,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,43
 59657 SUATU,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,55
 59657 SUATU,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,55
 59657 SUATU,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,51
 59657 SUATU,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,55
 59657 SUATU,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,53
 59657 SUATU,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,46
 59657 SUATU,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,69
 59657 SUATU,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,61
 59657 SUATU,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,55
 59657 SUATU,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,48
 59657 SUATU,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,40
 59657 SUATU,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,34
 59657 SUATU,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,32
 59657 SUATU,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,38
 59657 SUATU,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,43
 59657 SUATU,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,63
 59657 SUATU,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,47
 59657 SUATU,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,35
 59657 SUATU,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,33
 59657 SUATU,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,29
 59657 SUATU,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,28
 59657 SUATU,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,37
 59657 SUATU,10-14 ani, Feminin, Cluj, Anul 1999, Numar persoane,40
 59657 SUATU,10-14 ani, Feminin, Cluj, Anul 2000, Numar persoane,57
 59657 SUATU,15-19 ani, Masculin, Cluj, Anul 1992, Numar persoane,112
 59657 SUATU,15-19 ani, Masculin, Cluj, Anul 1993, Numar persoane,95
 59657 SUATU,15-19 ani, Masculin, Cluj, Anul 1994, Numar persoane,77
 59657 SUATU,15-19 ani, Masculin, Cluj, Anul 1995, Numar persoane,70
 59657 SUATU,15-19 ani, Masculin, Cluj, Anul 1996, Numar persoane,75
 59657 SUATU,15-19 ani, Masculin, Cluj, Anul 1997, Numar persoane,66
 59657 SUATU,15-19 ani, Masculin, Cluj, Anul 1998, Numar persoane,61
 59657 SUATU,15-19 ani, Masculin, Cluj, Anul 1999, Numar persoane,57
 59657 SUATU,15-19 ani, Masculin, Cluj, Anul 2000, Numar persoane,49
 59657 SUATU,15-19 ani, Feminin, Cluj, Anul 1992, Numar persoane,105
 59657 SUATU,15-19 ani, Feminin, Cluj, Anul 1993, Numar persoane,98
 59657 SUATU,15-19 ani, Feminin, Cluj, Anul 1994, Numar persoane,88
 59657 SUATU,15-19 ani, Feminin, Cluj, Anul 1995, Numar persoane,75
 59657 SUATU,15-19 ani, Feminin, Cluj, Anul 1996, Numar persoane,67
 59657 SUATU,15-19 ani, Feminin, Cluj, Anul 1997, Numar persoane,62
 59657 SUATU,15-19 ani, Feminin, Cluj, Anul 1998, Numar persoane,48
 59657 SUATU,15-19 ani, Feminin, Cluj, Anul 1999, Numar persoane,34
 59657 SUATU,15-19 ani, Feminin, Cluj, Anul 2000, Numar persoane,33
 59657 SUATU,20-24 ani, Masculin, Cluj, Anul 1992, Numar persoane,157
 59657 SUATU,20-24 ani, Masculin, Cluj, Anul 1993, Numar persoane,147
 59657 SUATU,20-24 ani, Masculin, Cluj, Anul 1994, Numar persoane,140
 59657 SUATU,20-24 ani, Masculin, Cluj, Anul 1995, Numar persoane,124
 59657 SUATU,20-24 ani, Masculin, Cluj, Anul 1996, Numar persoane,103
