 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 59693 TRITENII DE JOS,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,196
 59693 TRITENII DE JOS,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,178
 59693 TRITENII DE JOS,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,168
 59693 TRITENII DE JOS,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,171
 59693 TRITENII DE JOS,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,152
 59693 TRITENII DE JOS,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,163
 59693 TRITENII DE JOS,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,168
 59693 TRITENII DE JOS,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,164
 59693 TRITENII DE JOS,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,147
 59693 TRITENII DE JOS,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,186
 59693 TRITENII DE JOS,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,161
 59693 TRITENII DE JOS,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,145
 59693 TRITENII DE JOS,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,156
 59693 TRITENII DE JOS,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,145
 59693 TRITENII DE JOS,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,145
 59693 TRITENII DE JOS,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,138
 59693 TRITENII DE JOS,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,158
 59693 TRITENII DE JOS,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,146
 59693 TRITENII DE JOS,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,193
 59693 TRITENII DE JOS,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,182
 59693 TRITENII DE JOS,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,186
 59693 TRITENII DE JOS,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,188
 59693 TRITENII DE JOS,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,183
 59693 TRITENII DE JOS,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,177
 59693 TRITENII DE JOS,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,171
 59693 TRITENII DE JOS,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,163
 59693 TRITENII DE JOS,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,165
 59693 TRITENII DE JOS,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,200
 59693 TRITENII DE JOS,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,195
 59693 TRITENII DE JOS,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,189
 59693 TRITENII DE JOS,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,178
 59693 TRITENII DE JOS,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,171
 59693 TRITENII DE JOS,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,160
 59693 TRITENII DE JOS,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,150
 59693 TRITENII DE JOS,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,138
 59693 TRITENII DE JOS,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,157
 59693 TRITENII DE JOS,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,271
 59693 TRITENII DE JOS,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,257
 59693 TRITENII DE JOS,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,241
 59693 TRITENII DE JOS,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,207
 59693 TRITENII DE JOS,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,203
 59693 TRITENII DE JOS,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,193
 59693 TRITENII DE JOS,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,181
 59693 TRITENII DE JOS,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,184
 59693 TRITENII DE JOS,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,186
 59693 TRITENII DE JOS,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,257
 59693 TRITENII DE JOS,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,244
 59693 TRITENII DE JOS,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,239
 59693 TRITENII DE JOS,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,224
 59693 TRITENII DE JOS,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,207
 59693 TRITENII DE JOS,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,189
 59693 TRITENII DE JOS,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,190
 59693 TRITENII DE JOS,10-14 ani, Feminin, Cluj, Anul 1999, Numar persoane,187
 59693 TRITENII DE JOS,10-14 ani, Feminin, Cluj, Anul 2000, Numar persoane,172
