 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 59942 VAD,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,45
 59942 VAD,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,49
 59942 VAD,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,53
 59942 VAD,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,52
 59942 VAD,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,41
 59942 VAD,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,43
 59942 VAD,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,44
 59942 VAD,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,47
 59942 VAD,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,44
 59942 VAD,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,50
 59942 VAD,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,53
 59942 VAD,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,43
 59942 VAD,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,49
 59942 VAD,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,46
 59942 VAD,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,48
 59942 VAD,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,56
 59942 VAD,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,64
 59942 VAD,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,51
 59942 VAD,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,48
 59942 VAD,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,46
 59942 VAD,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,43
 59942 VAD,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,43
 59942 VAD,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,46
 59942 VAD,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,42
 59942 VAD,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,48
 59942 VAD,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,48
 59942 VAD,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,51
 59942 VAD,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,46
 59942 VAD,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,41
 59942 VAD,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,49
 59942 VAD,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,50
 59942 VAD,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,51
 59942 VAD,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,46
 59942 VAD,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,50
 59942 VAD,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,43
 59942 VAD,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,55
 59942 VAD,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,68
 59942 VAD,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,66
 59942 VAD,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,58
 59942 VAD,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,54
 59942 VAD,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,48
 59942 VAD,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,44
 59942 VAD,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,50
 59942 VAD,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,50
 59942 VAD,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,50
 59942 VAD,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,65
 59942 VAD,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,60
 59942 VAD,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,58
 59942 VAD,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,56
 59942 VAD,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,47
 59942 VAD,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,43
 59942 VAD,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,39
 59942 VAD,10-14 ani, Feminin, Cluj, Anul 1999, Numar persoane,48
 59942 VAD,10-14 ani, Feminin, Cluj, Anul 2000, Numar persoane,48
 59942 VAD,15-19 ani, Masculin, Cluj, Anul 1992, Numar persoane,102
 59942 VAD,15-19 ani, Masculin, Cluj, Anul 1993, Numar persoane,97
 59942 VAD,15-19 ani, Masculin, Cluj, Anul 1994, Numar persoane,85
 59942 VAD,15-19 ani, Masculin, Cluj, Anul 1995, Numar persoane,81
 59942 VAD,15-19 ani, Masculin, Cluj, Anul 1996, Numar persoane,74
 59942 VAD,15-19 ani, Masculin, Cluj, Anul 1997, Numar persoane,69
 59942 VAD,15-19 ani, Masculin, Cluj, Anul 1998, Numar persoane,63
 59942 VAD,15-19 ani, Masculin, Cluj, Anul 1999, Numar persoane,56
 59942 VAD,15-19 ani, Masculin, Cluj, Anul 2000, Numar persoane,59
 59942 VAD,15-19 ani, Feminin, Cluj, Anul 1992, Numar persoane,109
 59942 VAD,15-19 ani, Feminin, Cluj, Anul 1993, Numar persoane,98
 59942 VAD,15-19 ani, Feminin, Cluj, Anul 1994, Numar persoane,80
 59942 VAD,15-19 ani, Feminin, Cluj, Anul 1995, Numar persoane,70
 59942 VAD,15-19 ani, Feminin, Cluj, Anul 1996, Numar persoane,66
 59942 VAD,15-19 ani, Feminin, Cluj, Anul 1997, Numar persoane,64
 59942 VAD,15-19 ani, Feminin, Cluj, Anul 1998, Numar persoane,57
 59942 VAD,15-19 ani, Feminin, Cluj, Anul 1999, Numar persoane,57
 59942 VAD,15-19 ani, Feminin, Cluj, Anul 2000, Numar persoane,58
 59942 VAD,20-24 ani, Masculin, Cluj, Anul 1992, Numar persoane,143
