 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 60026 VALEA IERII,0- 4 ani, Masculin, Cluj, Anul 1992, Numar persoane,70
 60026 VALEA IERII,0- 4 ani, Masculin, Cluj, Anul 1993, Numar persoane,61
 60026 VALEA IERII,0- 4 ani, Masculin, Cluj, Anul 1994, Numar persoane,56
 60026 VALEA IERII,0- 4 ani, Masculin, Cluj, Anul 1995, Numar persoane,50
 60026 VALEA IERII,0- 4 ani, Masculin, Cluj, Anul 1996, Numar persoane,43
 60026 VALEA IERII,0- 4 ani, Masculin, Cluj, Anul 1997, Numar persoane,48
 60026 VALEA IERII,0- 4 ani, Masculin, Cluj, Anul 1998, Numar persoane,46
 60026 VALEA IERII,0- 4 ani, Masculin, Cluj, Anul 1999, Numar persoane,39
 60026 VALEA IERII,0- 4 ani, Masculin, Cluj, Anul 2000, Numar persoane,31
 60026 VALEA IERII,0- 4 ani, Feminin, Cluj, Anul 1992, Numar persoane,58
 60026 VALEA IERII,0- 4 ani, Feminin, Cluj, Anul 1993, Numar persoane,53
 60026 VALEA IERII,0- 4 ani, Feminin, Cluj, Anul 1994, Numar persoane,47
 60026 VALEA IERII,0- 4 ani, Feminin, Cluj, Anul 1995, Numar persoane,41
 60026 VALEA IERII,0- 4 ani, Feminin, Cluj, Anul 1996, Numar persoane,33
 60026 VALEA IERII,0- 4 ani, Feminin, Cluj, Anul 1997, Numar persoane,34
 60026 VALEA IERII,0- 4 ani, Feminin, Cluj, Anul 1998, Numar persoane,35
 60026 VALEA IERII,0- 4 ani, Feminin, Cluj, Anul 1999, Numar persoane,30
 60026 VALEA IERII,0- 4 ani, Feminin, Cluj, Anul 2000, Numar persoane,26
 60026 VALEA IERII,5- 9 ani, Masculin, Cluj, Anul 1992, Numar persoane,48
 60026 VALEA IERII,5- 9 ani, Masculin, Cluj, Anul 1993, Numar persoane,56
 60026 VALEA IERII,5- 9 ani, Masculin, Cluj, Anul 1994, Numar persoane,62
 60026 VALEA IERII,5- 9 ani, Masculin, Cluj, Anul 1995, Numar persoane,61
 60026 VALEA IERII,5- 9 ani, Masculin, Cluj, Anul 1996, Numar persoane,64
 60026 VALEA IERII,5- 9 ani, Masculin, Cluj, Anul 1997, Numar persoane,66
 60026 VALEA IERII,5- 9 ani, Masculin, Cluj, Anul 1998, Numar persoane,56
 60026 VALEA IERII,5- 9 ani, Masculin, Cluj, Anul 1999, Numar persoane,51
 60026 VALEA IERII,5- 9 ani, Masculin, Cluj, Anul 2000, Numar persoane,47
 60026 VALEA IERII,5- 9 ani, Feminin, Cluj, Anul 1992, Numar persoane,65
 60026 VALEA IERII,5- 9 ani, Feminin, Cluj, Anul 1993, Numar persoane,66
 60026 VALEA IERII,5- 9 ani, Feminin, Cluj, Anul 1994, Numar persoane,63
 60026 VALEA IERII,5- 9 ani, Feminin, Cluj, Anul 1995, Numar persoane,59
 60026 VALEA IERII,5- 9 ani, Feminin, Cluj, Anul 1996, Numar persoane,56
 60026 VALEA IERII,5- 9 ani, Feminin, Cluj, Anul 1997, Numar persoane,54
 60026 VALEA IERII,5- 9 ani, Feminin, Cluj, Anul 1998, Numar persoane,49
 60026 VALEA IERII,5- 9 ani, Feminin, Cluj, Anul 1999, Numar persoane,47
 60026 VALEA IERII,5- 9 ani, Feminin, Cluj, Anul 2000, Numar persoane,40
 60026 VALEA IERII,10-14 ani, Masculin, Cluj, Anul 1992, Numar persoane,40
 60026 VALEA IERII,10-14 ani, Masculin, Cluj, Anul 1993, Numar persoane,39
 60026 VALEA IERII,10-14 ani, Masculin, Cluj, Anul 1994, Numar persoane,41
 60026 VALEA IERII,10-14 ani, Masculin, Cluj, Anul 1995, Numar persoane,47
 60026 VALEA IERII,10-14 ani, Masculin, Cluj, Anul 1996, Numar persoane,51
 60026 VALEA IERII,10-14 ani, Masculin, Cluj, Anul 1997, Numar persoane,46
 60026 VALEA IERII,10-14 ani, Masculin, Cluj, Anul 1998, Numar persoane,54
 60026 VALEA IERII,10-14 ani, Masculin, Cluj, Anul 1999, Numar persoane,57
 60026 VALEA IERII,10-14 ani, Masculin, Cluj, Anul 2000, Numar persoane,55
 60026 VALEA IERII,10-14 ani, Feminin, Cluj, Anul 1992, Numar persoane,38
 60026 VALEA IERII,10-14 ani, Feminin, Cluj, Anul 1993, Numar persoane,43
 60026 VALEA IERII,10-14 ani, Feminin, Cluj, Anul 1994, Numar persoane,54
 60026 VALEA IERII,10-14 ani, Feminin, Cluj, Anul 1995, Numar persoane,59
 60026 VALEA IERII,10-14 ani, Feminin, Cluj, Anul 1996, Numar persoane,59
 60026 VALEA IERII,10-14 ani, Feminin, Cluj, Anul 1997, Numar persoane,63
 60026 VALEA IERII,10-14 ani, Feminin, Cluj, Anul 1998, Numar persoane,61
 60026 VALEA IERII,10-14 ani, Feminin, Cluj, Anul 1999, Numar persoane,58
 60026 VALEA IERII,10-14 ani, Feminin, Cluj, Anul 2000, Numar persoane,55
 60026 VALEA IERII,15-19 ani, Masculin, Cluj, Anul 1992, Numar persoane,52
 60026 VALEA IERII,15-19 ani, Masculin, Cluj, Anul 1993, Numar persoane,48
 60026 VALEA IERII,15-19 ani, Masculin, Cluj, Anul 1994, Numar persoane,46
 60026 VALEA IERII,15-19 ani, Masculin, Cluj, Anul 1995, Numar persoane,39
 60026 VALEA IERII,15-19 ani, Masculin, Cluj, Anul 1996, Numar persoane,33
 60026 VALEA IERII,15-19 ani, Masculin, Cluj, Anul 1997, Numar persoane,39
 60026 VALEA IERII,15-19 ani, Masculin, Cluj, Anul 1998, Numar persoane,37
 60026 VALEA IERII,15-19 ani, Masculin, Cluj, Anul 1999, Numar persoane,40
 60026 VALEA IERII,15-19 ani, Masculin, Cluj, Anul 2000, Numar persoane,45
 60026 VALEA IERII,15-19 ani, Feminin, Cluj, Anul 1992, Numar persoane,49
 60026 VALEA IERII,15-19 ani, Feminin, Cluj, Anul 1993, Numar persoane,50
 60026 VALEA IERII,15-19 ani, Feminin, Cluj, Anul 1994, Numar persoane,41
 60026 VALEA IERII,15-19 ani, Feminin, Cluj, Anul 1995, Numar persoane,40
 60026 VALEA IERII,15-19 ani, Feminin, Cluj, Anul 1996, Numar persoane,45
 60026 VALEA IERII,15-19 ani, Feminin, Cluj, Anul 1997, Numar persoane,41
 60026 VALEA IERII,15-19 ani, Feminin, Cluj, Anul 1998, Numar persoane,46
 60026 VALEA IERII,15-19 ani, Feminin, Cluj, Anul 1999, Numar persoane,56
 60026 VALEA IERII,15-19 ani, Feminin, Cluj, Anul 2000, Numar persoane,60
 60026 VALEA IERII,20-24 ani, Masculin, Cluj, Anul 1992, Numar persoane,70
 60026 VALEA IERII,20-24 ani, Masculin, Cluj, Anul 1993, Numar persoane,63
 60026 VALEA IERII,20-24 ani, Masculin, Cluj, Anul 1994, Numar persoane,56
 60026 VALEA IERII,20-24 ani, Masculin, Cluj, Anul 1995, Numar persoane,57
 60026 VALEA IERII,20-24 ani, Masculin, Cluj, Anul 1996, Numar persoane,51
 60026 VALEA IERII,20-24 ani, Masculin, Cluj, Anul 1997, Numar persoane,49
 60026 VALEA IERII,20-24 ani, Masculin, Cluj, Anul 1998, Numar persoane,47
 60026 VALEA IERII,20-24 ani, Masculin, Cluj, Anul 1999, Numar persoane,45
 60026 VALEA IERII,20-24 ani, Masculin, Cluj, Anul 2000, Numar persoane,40
 60026 VALEA IERII,20-24 ani, Feminin, Cluj, Anul 1992, Numar persoane,71
 60026 VALEA IERII,20-24 ani, Feminin, Cluj, Anul 1993, Numar persoane,61
 60026 VALEA IERII,20-24 ani, Feminin, Cluj, Anul 1994, Numar persoane,62
 60026 VALEA IERII,20-24 ani, Feminin, Cluj, Anul 1995, Numar persoane,54
 60026 VALEA IERII,20-24 ani, Feminin, Cluj, Anul 1996, Numar persoane,46
 60026 VALEA IERII,20-24 ani, Feminin, Cluj, Anul 1997, Numar persoane,50
 60026 VALEA IERII,20-24 ani, Feminin, Cluj, Anul 1998, Numar persoane,48
 60026 VALEA IERII,20-24 ani, Feminin, Cluj, Anul 1999, Numar persoane,42
 60026 VALEA IERII,20-24 ani, Feminin, Cluj, Anul 2000, Numar persoane,41
 60026 VALEA IERII,25-29 ani, Masculin, Cluj, Anul 1992, Numar persoane,46
 60026 VALEA IERII,25-29 ani, Masculin, Cluj, Anul 1993, Numar persoane,42
 60026 VALEA IERII,25-29 ani, Masculin, Cluj, Anul 1994, Numar persoane,48
 60026 VALEA IERII,25-29 ani, Masculin, Cluj, Anul 1995, Numar persoane,47
 60026 VALEA IERII,25-29 ani, Masculin, Cluj, Anul 1996, Numar persoane,54
 60026 VALEA IERII,25-29 ani, Masculin, Cluj, Anul 1997, Numar persoane,60
 60026 VALEA IERII,25-29 ani, Masculin, Cluj, Anul 1998, Numar persoane,57
 60026 VALEA IERII,25-29 ani, Masculin, Cluj, Anul 1999, Numar persoane,51
 60026 VALEA IERII,25-29 ani, Masculin, Cluj, Anul 2000, Numar persoane,53
 60026 VALEA IERII,25-29 ani, Feminin, Cluj, Anul 1992, Numar persoane,49
 60026 VALEA IERII,25-29 ani, Feminin, Cluj, Anul 1993, Numar persoane,48
 60026 VALEA IERII,25-29 ani, Feminin, Cluj, Anul 1994, Numar persoane,51
 60026 VALEA IERII,25-29 ani, Feminin, Cluj, Anul 1995, Numar persoane,58
 60026 VALEA IERII,25-29 ani, Feminin, Cluj, Anul 1996, Numar persoane,59
 60026 VALEA IERII,25-29 ani, Feminin, Cluj, Anul 1997, Numar persoane,62
 60026 VALEA IERII,25-29 ani, Feminin, Cluj, Anul 1998, Numar persoane,50
 60026 VALEA IERII,25-29 ani, Feminin, Cluj, Anul 1999, Numar persoane,51
 60026 VALEA IERII,25-29 ani, Feminin, Cluj, Anul 2000, Numar persoane,46
 60026 VALEA IERII,30-34 ani, Masculin, Cluj, Anul 1992, Numar persoane,66
 60026 VALEA IERII,30-34 ani, Masculin, Cluj, Anul 1993, Numar persoane,63
 60026 VALEA IERII,30-34 ani, Masculin, Cluj, Anul 1994, Numar persoane,65
 60026 VALEA IERII,30-34 ani, Masculin, Cluj, Anul 1995, Numar persoane,65
 60026 VALEA IERII,30-34 ani, Masculin, Cluj, Anul 1996, Numar persoane,49
 60026 VALEA IERII,30-34 ani, Masculin, Cluj, Anul 1997, Numar persoane,39
 60026 VALEA IERII,30-34 ani, Masculin, Cluj, Anul 1998, Numar persoane,32
 60026 VALEA IERII,30-34 ani, Masculin, Cluj, Anul 1999, Numar persoane,43
 60026 VALEA IERII,30-34 ani, Masculin, Cluj, Anul 2000, Numar persoane,40
 60026 VALEA IERII,30-34 ani, Feminin, Cluj, Anul 1992, Numar persoane,35
 60026 VALEA IERII,30-34 ani, Feminin, Cluj, Anul 1993, Numar persoane,36
 60026 VALEA IERII,30-34 ani, Feminin, Cluj, Anul 1994, Numar persoane,38
 60026 VALEA IERII,30-34 ani, Feminin, Cluj, Anul 1995, Numar persoane,37
