 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 1992, Numar persoane,843
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 1993, Numar persoane,783
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 1994, Numar persoane,676
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 1995, Numar persoane,539
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 1996, Numar persoane,485
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 1997, Numar persoane,474
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 1998, Numar persoane,450
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 1999, Numar persoane,447
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 2000, Numar persoane,476
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 2001, Numar persoane,474
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 2002, Numar persoane,491
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 2003, Numar persoane,465
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 2004, Numar persoane,452
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,445
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,467
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,467
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,484
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,512
 63740 MUNICIPIUL TARGU SECUIESC,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,502
