 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 1992, Numar persoane,156
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 1993, Numar persoane,148
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 1994, Numar persoane,147
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 1995, Numar persoane,135
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 1996, Numar persoane,131
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 1997, Numar persoane,123
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 1998, Numar persoane,113
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 1999, Numar persoane,102
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2000, Numar persoane,102
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2001, Numar persoane,110
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2002, Numar persoane,115
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2003, Numar persoane,126
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2004, Numar persoane,141
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,146
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,139
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,141
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,136
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,136
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,140
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,129
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,137
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,152
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,147
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,156
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,154
 63866 BELIN,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,158
 63866 BELIN,5- 9 ani, Feminin, Covasna, Anul 1992, Numar persoane,126
 63866 BELIN,5- 9 ani, Feminin, Covasna, Anul 1993, Numar persoane,137
