 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 1992, Numar persoane,131
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 1993, Numar persoane,119
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 1994, Numar persoane,112
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 1995, Numar persoane,100
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 1996, Numar persoane,93
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 1997, Numar persoane,94
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 1998, Numar persoane,86
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 1999, Numar persoane,84
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2000, Numar persoane,86
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2001, Numar persoane,82
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2002, Numar persoane,96
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2003, Numar persoane,120
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2004, Numar persoane,126
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,119
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,122
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,123
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,107
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,106
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,107
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,115
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,101
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,115
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,111
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,108
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,96
 63937 BOROSNEU MARE,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,88
 63937 BOROSNEU MARE,5- 9 ani, Feminin, Covasna, Anul 1992, Numar persoane,108
 63937 BOROSNEU MARE,5- 9 ani, Feminin, Covasna, Anul 1993, Numar persoane,123
 63937 BOROSNEU MARE,5- 9 ani, Feminin, Covasna, Anul 1994, Numar persoane,131
 63937 BOROSNEU MARE,5- 9 ani, Feminin, Covasna, Anul 1995, Numar persoane,143
 63937 BOROSNEU MARE,5- 9 ani, Feminin, Covasna, Anul 1996, Numar persoane,148
 63937 BOROSNEU MARE,5- 9 ani, Feminin, Covasna, Anul 1997, Numar persoane,130
 63937 BOROSNEU MARE,5- 9 ani, Feminin, Covasna, Anul 1998, Numar persoane,119
