 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 1992, Numar persoane,49
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 1993, Numar persoane,48
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 1994, Numar persoane,37
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 1995, Numar persoane,28
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 1996, Numar persoane,25
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 1997, Numar persoane,33
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 1998, Numar persoane,39
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 1999, Numar persoane,49
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2000, Numar persoane,56
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2001, Numar persoane,56
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2002, Numar persoane,46
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2003, Numar persoane,39
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2004, Numar persoane,34
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,32
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,36
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,39
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,41
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,41
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,43
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,40
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,38
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,31
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,26
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,21
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,20
 64005 BRATES,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,21
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 1992, Numar persoane,57
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 1993, Numar persoane,56
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 1994, Numar persoane,58
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 1995, Numar persoane,53
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 1996, Numar persoane,50
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 1997, Numar persoane,46
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 1998, Numar persoane,42
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 1999, Numar persoane,34
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2000, Numar persoane,30
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2001, Numar persoane,26
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2002, Numar persoane,35
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2003, Numar persoane,37
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2004, Numar persoane,47
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2005, Numar persoane,54
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2006, Numar persoane,50
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2007, Numar persoane,42
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2008, Numar persoane,39
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2009, Numar persoane,36
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2010, Numar persoane,32
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2011, Numar persoane,39
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2012, Numar persoane,39
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2013, Numar persoane,41
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2014, Numar persoane,40
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2015, Numar persoane,40
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2016, Numar persoane,37
 64005 BRATES,5- 9 ani, Feminin, Covasna, Anul 2017, Numar persoane,32
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 1992, Numar persoane,66
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 1993, Numar persoane,66
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 1994, Numar persoane,56
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 1995, Numar persoane,57
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 1996, Numar persoane,57
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 1997, Numar persoane,53
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 1998, Numar persoane,55
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 1999, Numar persoane,55
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2000, Numar persoane,52
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2001, Numar persoane,48
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2002, Numar persoane,45
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2003, Numar persoane,43
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2004, Numar persoane,34
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2005, Numar persoane,29
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2006, Numar persoane,24
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2007, Numar persoane,34
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2008, Numar persoane,39
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2009, Numar persoane,49
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2010, Numar persoane,56
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2011, Numar persoane,51
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2012, Numar persoane,41
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2013, Numar persoane,38
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2014, Numar persoane,36
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2015, Numar persoane,35
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2016, Numar persoane,41
 64005 BRATES,10-14 ani, Feminin, Covasna, Anul 2017, Numar persoane,40
 64005 BRATES,15-19 ani, Feminin, Covasna, Anul 1992, Numar persoane,67
 64005 BRATES,15-19 ani, Feminin, Covasna, Anul 1993, Numar persoane,68
 64005 BRATES,15-19 ani, Feminin, Covasna, Anul 1994, Numar persoane,76
 64005 BRATES,15-19 ani, Feminin, Covasna, Anul 1995, Numar persoane,75
 64005 BRATES,15-19 ani, Feminin, Covasna, Anul 1996, Numar persoane,72
 64005 BRATES,15-19 ani, Feminin, Covasna, Anul 1997, Numar persoane,66
 64005 BRATES,15-19 ani, Feminin, Covasna, Anul 1998, Numar persoane,67
 64005 BRATES,15-19 ani, Feminin, Covasna, Anul 1999, Numar persoane,53
