 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 1992, Numar persoane,158
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 1993, Numar persoane,143
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 1994, Numar persoane,125
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 1995, Numar persoane,121
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 1996, Numar persoane,108
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 1997, Numar persoane,112
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 1998, Numar persoane,112
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 1999, Numar persoane,108
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2000, Numar persoane,109
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2001, Numar persoane,112
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2002, Numar persoane,122
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2003, Numar persoane,113
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2004, Numar persoane,114
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,130
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,133
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,124
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,129
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,124
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,111
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,95
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,89
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,90
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,90
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,85
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,79
 64096 BRETCU,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,83
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 1992, Numar persoane,146
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 1993, Numar persoane,156
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 1994, Numar persoane,162
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 1995, Numar persoane,156
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 1996, Numar persoane,167
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 1997, Numar persoane,153
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 1998, Numar persoane,140
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 1999, Numar persoane,127
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2000, Numar persoane,122
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2001, Numar persoane,108
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2002, Numar persoane,111
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2003, Numar persoane,106
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2004, Numar persoane,108
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2005, Numar persoane,108
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2006, Numar persoane,113
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2007, Numar persoane,123
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2008, Numar persoane,119
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2009, Numar persoane,114
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2010, Numar persoane,122
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2011, Numar persoane,124
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2012, Numar persoane,117
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2013, Numar persoane,121
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2014, Numar persoane,113
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2015, Numar persoane,101
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2016, Numar persoane,95
 64096 BRETCU,5- 9 ani, Feminin, Covasna, Anul 2017, Numar persoane,91
 64096 BRETCU,10-14 ani, Feminin, Covasna, Anul 1992, Numar persoane,147
 64096 BRETCU,10-14 ani, Feminin, Covasna, Anul 1993, Numar persoane,141
 64096 BRETCU,10-14 ani, Feminin, Covasna, Anul 1994, Numar persoane,145
 64096 BRETCU,10-14 ani, Feminin, Covasna, Anul 1995, Numar persoane,159
 64096 BRETCU,10-14 ani, Feminin, Covasna, Anul 1996, Numar persoane,151
 64096 BRETCU,10-14 ani, Feminin, Covasna, Anul 1997, Numar persoane,151
 64096 BRETCU,10-14 ani, Feminin, Covasna, Anul 1998, Numar persoane,158
 64096 BRETCU,10-14 ani, Feminin, Covasna, Anul 1999, Numar persoane,161
 64096 BRETCU,10-14 ani, Feminin, Covasna, Anul 2000, Numar persoane,149
 64096 BRETCU,10-14 ani, Feminin, Covasna, Anul 2001, Numar persoane,163
 64096 BRETCU,10-14 ani, Feminin, Covasna, Anul 2002, Numar persoane,148
 64096 BRETCU,10-14 ani, Feminin, Covasna, Anul 2003, Numar persoane,142
