 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 1992, Numar persoane,90
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 1993, Numar persoane,85
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 1994, Numar persoane,70
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 1995, Numar persoane,55
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 1996, Numar persoane,51
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 1997, Numar persoane,48
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 1998, Numar persoane,45
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 1999, Numar persoane,50
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2000, Numar persoane,56
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2001, Numar persoane,55
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2002, Numar persoane,66
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2003, Numar persoane,72
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2004, Numar persoane,73
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,75
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,71
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,67
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,63
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,61
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,67
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,62
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,58
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,63
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,63
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,51
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,54
 64773 RECI,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,52
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 1992, Numar persoane,92
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 1993, Numar persoane,93
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 1994, Numar persoane,97
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 1995, Numar persoane,100
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 1996, Numar persoane,91
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 1997, Numar persoane,93
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 1998, Numar persoane,88
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 1999, Numar persoane,71
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2000, Numar persoane,57
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2001, Numar persoane,52
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2002, Numar persoane,47
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2003, Numar persoane,42
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2004, Numar persoane,49
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2005, Numar persoane,54
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2006, Numar persoane,51
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2007, Numar persoane,64
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2008, Numar persoane,73
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2009, Numar persoane,73
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2010, Numar persoane,73
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2011, Numar persoane,69
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2012, Numar persoane,71
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2013, Numar persoane,65
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2014, Numar persoane,68
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2015, Numar persoane,76
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2016, Numar persoane,71
 64773 RECI,5- 9 ani, Feminin, Covasna, Anul 2017, Numar persoane,62
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 1992, Numar persoane,88
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 1993, Numar persoane,85
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 1994, Numar persoane,78
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 1995, Numar persoane,81
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 1996, Numar persoane,94
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 1997, Numar persoane,89
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 1998, Numar persoane,90
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 1999, Numar persoane,98
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2000, Numar persoane,98
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2001, Numar persoane,88
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2002, Numar persoane,90
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2003, Numar persoane,85
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2004, Numar persoane,65
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2005, Numar persoane,54
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2006, Numar persoane,49
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2007, Numar persoane,44
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2008, Numar persoane,44
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2009, Numar persoane,53
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2010, Numar persoane,55
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2011, Numar persoane,56
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2012, Numar persoane,64
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2013, Numar persoane,72
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2014, Numar persoane,72
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2015, Numar persoane,75
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2016, Numar persoane,76
 64773 RECI,10-14 ani, Feminin, Covasna, Anul 2017, Numar persoane,77
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 1992, Numar persoane,104
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 1993, Numar persoane,105
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 1994, Numar persoane,104
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 1995, Numar persoane,100
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 1996, Numar persoane,98
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 1997, Numar persoane,93
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 1998, Numar persoane,84
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 1999, Numar persoane,79
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2000, Numar persoane,82
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2001, Numar persoane,94
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2002, Numar persoane,84
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2003, Numar persoane,84
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2004, Numar persoane,96
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2005, Numar persoane,91
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2006, Numar persoane,91
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2007, Numar persoane,89
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2008, Numar persoane,83
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2009, Numar persoane,63
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2010, Numar persoane,51
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2011, Numar persoane,51
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2012, Numar persoane,54
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2013, Numar persoane,49
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2014, Numar persoane,57
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2015, Numar persoane,60
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2016, Numar persoane,58
 64773 RECI,15-19 ani, Feminin, Covasna, Anul 2017, Numar persoane,62
 64773 RECI,20-24 ani, Feminin, Covasna, Anul 1992, Numar persoane,89
 64773 RECI,20-24 ani, Feminin, Covasna, Anul 1993, Numar persoane,88
 64773 RECI,20-24 ani, Feminin, Covasna, Anul 1994, Numar persoane,90
 64773 RECI,20-24 ani, Feminin, Covasna, Anul 1995, Numar persoane,99
 64773 RECI,20-24 ani, Feminin, Covasna, Anul 1996, Numar persoane,93
