 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 1992, Numar persoane,152
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 1993, Numar persoane,127
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 1994, Numar persoane,110
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 1995, Numar persoane,92
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 1996, Numar persoane,101
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 1997, Numar persoane,92
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 1998, Numar persoane,91
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 1999, Numar persoane,105
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2000, Numar persoane,114
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2001, Numar persoane,101
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2002, Numar persoane,105
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2003, Numar persoane,114
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2004, Numar persoane,104
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,92
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,92
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,99
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,90
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,90
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,108
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,111
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,100
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,109
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,115
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,99
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,91
 64871 TURIA,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,94
 64871 TURIA,5- 9 ani, Feminin, Covasna, Anul 1992, Numar persoane,125
 64871 TURIA,5- 9 ani, Feminin, Covasna, Anul 1993, Numar persoane,135
 64871 TURIA,5- 9 ani, Feminin, Covasna, Anul 1994, Numar persoane,145
 64871 TURIA,5- 9 ani, Feminin, Covasna, Anul 1995, Numar persoane,152
 64871 TURIA,5- 9 ani, Feminin, Covasna, Anul 1996, Numar persoane,146
 64871 TURIA,5- 9 ani, Feminin, Covasna, Anul 1997, Numar persoane,140
