 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 1992, Numar persoane,240
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 1993, Numar persoane,225
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 1994, Numar persoane,209
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 1995, Numar persoane,178
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 1996, Numar persoane,178
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 1997, Numar persoane,170
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 1998, Numar persoane,170
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 1999, Numar persoane,161
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2000, Numar persoane,172
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2001, Numar persoane,180
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2002, Numar persoane,181
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2003, Numar persoane,183
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2004, Numar persoane,179
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,172
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,170
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,170
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,155
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,160
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,161
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,152
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,142
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,142
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,127
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,114
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,104
 65011 ZAGON,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,105
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 1992, Numar persoane,195
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 1993, Numar persoane,212
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 1994, Numar persoane,225
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 1995, Numar persoane,250
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 1996, Numar persoane,239
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 1997, Numar persoane,234
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 1998, Numar persoane,219
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 1999, Numar persoane,206
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 2000, Numar persoane,175
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 2001, Numar persoane,178
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 2002, Numar persoane,179
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 2003, Numar persoane,179
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 2004, Numar persoane,169
 65011 ZAGON,5- 9 ani, Feminin, Covasna, Anul 2005, Numar persoane,182
