 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2005, Numar persoane,30
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2006, Numar persoane,21
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2007, Numar persoane,19
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2008, Numar persoane,22
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2009, Numar persoane,25
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2010, Numar persoane,29
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2011, Numar persoane,34
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2012, Numar persoane,29
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2013, Numar persoane,23
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2014, Numar persoane,26
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2015, Numar persoane,18
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2016, Numar persoane,14
 65147 DALNIC,0- 4 ani, Feminin, Covasna, Anul 2017, Numar persoane,17
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2005, Numar persoane,24
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2006, Numar persoane,29
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2007, Numar persoane,28
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2008, Numar persoane,29
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2009, Numar persoane,31
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2010, Numar persoane,26
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2011, Numar persoane,21
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2012, Numar persoane,20
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2013, Numar persoane,23
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2014, Numar persoane,23
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2015, Numar persoane,28
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2016, Numar persoane,33
 65147 DALNIC,5- 9 ani, Feminin, Covasna, Anul 2017, Numar persoane,30
 65147 DALNIC,10-14 ani, Feminin, Covasna, Anul 2005, Numar persoane,21
