 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 83151 BRADESTI,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,47
 83151 BRADESTI,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,58
 83151 BRADESTI,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,59
 83151 BRADESTI,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,68
 83151 BRADESTI,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,72
 83151 BRADESTI,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,76
 83151 BRADESTI,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,73
 83151 BRADESTI,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,69
 83151 BRADESTI,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,70
 83151 BRADESTI,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,37
 83151 BRADESTI,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,35
 83151 BRADESTI,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,52
 83151 BRADESTI,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,52
 83151 BRADESTI,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,57
 83151 BRADESTI,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,54
 83151 BRADESTI,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,62
 83151 BRADESTI,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,58
 83151 BRADESTI,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,67
 83151 BRADESTI,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,47
 83151 BRADESTI,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,46
 83151 BRADESTI,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,48
 83151 BRADESTI,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,44
 83151 BRADESTI,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,38
 83151 BRADESTI,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,46
 83151 BRADESTI,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,44
 83151 BRADESTI,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,57
 83151 BRADESTI,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,58
 83151 BRADESTI,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,60
 83151 BRADESTI,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,58
 83151 BRADESTI,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,44
 83151 BRADESTI,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,43
 83151 BRADESTI,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,42
 83151 BRADESTI,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,44
 83151 BRADESTI,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,44
 83151 BRADESTI,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,43
 83151 BRADESTI,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,43
 83151 BRADESTI,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,59
 83151 BRADESTI,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,60
 83151 BRADESTI,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,68
 83151 BRADESTI,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,65
 83151 BRADESTI,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,65
 83151 BRADESTI,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,61
 83151 BRADESTI,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,59
 83151 BRADESTI,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,49
 83151 BRADESTI,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,45
 83151 BRADESTI,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,74
 83151 BRADESTI,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,73
 83151 BRADESTI,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,60
 83151 BRADESTI,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,61
 83151 BRADESTI,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,64
 83151 BRADESTI,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,66
 83151 BRADESTI,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,65
 83151 BRADESTI,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,69
 83151 BRADESTI,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,64
 83151 BRADESTI,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,83
 83151 BRADESTI,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,88
 83151 BRADESTI,30-34 ani, Masculin, Harghita, Anul 2011, Numar persoane,100
 83151 BRADESTI,30-34 ani, Masculin, Harghita, Anul 2012, Numar persoane,99
 83151 BRADESTI,30-34 ani, Masculin, Harghita, Anul 2013, Numar persoane,101
 83151 BRADESTI,30-34 ani, Masculin, Harghita, Anul 2014, Numar persoane,100
 83151 BRADESTI,30-34 ani, Masculin, Harghita, Anul 2015, Numar persoane,96
 83151 BRADESTI,30-34 ani, Masculin, Harghita, Anul 2016, Numar persoane,85
 83151 BRADESTI,30-34 ani, Masculin, Harghita, Anul 2017, Numar persoane,76
 83151 BRADESTI,35-39 ani, Masculin, Harghita, Anul 2009, Numar persoane,88
 83151 BRADESTI,35-39 ani, Masculin, Harghita, Anul 2010, Numar persoane,86
 83151 BRADESTI,35-39 ani, Masculin, Harghita, Anul 2011, Numar persoane,95
 83151 BRADESTI,35-39 ani, Masculin, Harghita, Anul 2012, Numar persoane,99
 83151 BRADESTI,35-39 ani, Masculin, Harghita, Anul 2013, Numar persoane,109
 83151 BRADESTI,35-39 ani, Masculin, Harghita, Anul 2014, Numar persoane,110
 83151 BRADESTI,35-39 ani, Masculin, Harghita, Anul 2015, Numar persoane,112
 83151 BRADESTI,35-39 ani, Masculin, Harghita, Anul 2016, Numar persoane,120
 83151 BRADESTI,35-39 ani, Masculin, Harghita, Anul 2017, Numar persoane,120
 83151 BRADESTI,40-44 ani, Masculin, Harghita, Anul 2009, Numar persoane,57
 83151 BRADESTI,40-44 ani, Masculin, Harghita, Anul 2010, Numar persoane,69
 83151 BRADESTI,40-44 ani, Masculin, Harghita, Anul 2011, Numar persoane,76
 83151 BRADESTI,40-44 ani, Masculin, Harghita, Anul 2012, Numar persoane,78
 83151 BRADESTI,40-44 ani, Masculin, Harghita, Anul 2013, Numar persoane,74
 83151 BRADESTI,40-44 ani, Masculin, Harghita, Anul 2014, Numar persoane,92
