 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 83785 ATID,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,113
 83785 ATID,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,117
 83785 ATID,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,112
 83785 ATID,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,117
 83785 ATID,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,118
 83785 ATID,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,121
 83785 ATID,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,116
 83785 ATID,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,116
 83785 ATID,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,108
 83785 ATID,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,133
 83785 ATID,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,127
 83785 ATID,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,111
 83785 ATID,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,117
 83785 ATID,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,123
 83785 ATID,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,111
 83785 ATID,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,116
 83785 ATID,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,118
 83785 ATID,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,124
 83785 ATID,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,98
 83785 ATID,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,109
 83785 ATID,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,114
 83785 ATID,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,117
 83785 ATID,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,124
 83785 ATID,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,129
 83785 ATID,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,126
 83785 ATID,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,111
 83785 ATID,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,119
 83785 ATID,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,96
 83785 ATID,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,83
 83785 ATID,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,86
 83785 ATID,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,74
 83785 ATID,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,72
 83785 ATID,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,85
 83785 ATID,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,99
 83785 ATID,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,107
 83785 ATID,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,116
 83785 ATID,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,119
 83785 ATID,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,125
 83785 ATID,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,124
 83785 ATID,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,129
 83785 ATID,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,121
 83785 ATID,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,101
 83785 ATID,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,90
 83785 ATID,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,88
 83785 ATID,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,78
 83785 ATID,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,121
 83785 ATID,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,121
 83785 ATID,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,114
 83785 ATID,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,113
 83785 ATID,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,110
 83785 ATID,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,117
 83785 ATID,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,130
 83785 ATID,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,128
 83785 ATID,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,130
 83785 ATID,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,107
 83785 ATID,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,107
 83785 ATID,30-34 ani, Masculin, Harghita, Anul 2011, Numar persoane,116
 83785 ATID,30-34 ani, Masculin, Harghita, Anul 2012, Numar persoane,120
 83785 ATID,30-34 ani, Masculin, Harghita, Anul 2013, Numar persoane,123
 83785 ATID,30-34 ani, Masculin, Harghita, Anul 2014, Numar persoane,120
 83785 ATID,30-34 ani, Masculin, Harghita, Anul 2015, Numar persoane,114
 83785 ATID,30-34 ani, Masculin, Harghita, Anul 2016, Numar persoane,112
 83785 ATID,30-34 ani, Masculin, Harghita, Anul 2017, Numar persoane,109
 83785 ATID,35-39 ani, Masculin, Harghita, Anul 2009, Numar persoane,116
 83785 ATID,35-39 ani, Masculin, Harghita, Anul 2010, Numar persoane,111
 83785 ATID,35-39 ani, Masculin, Harghita, Anul 2011, Numar persoane,112
 83785 ATID,35-39 ani, Masculin, Harghita, Anul 2012, Numar persoane,107
 83785 ATID,35-39 ani, Masculin, Harghita, Anul 2013, Numar persoane,100
 83785 ATID,35-39 ani, Masculin, Harghita, Anul 2014, Numar persoane,99
 83785 ATID,35-39 ani, Masculin, Harghita, Anul 2015, Numar persoane,102
 83785 ATID,35-39 ani, Masculin, Harghita, Anul 2016, Numar persoane,107
 83785 ATID,35-39 ani, Masculin, Harghita, Anul 2017, Numar persoane,113
 83785 ATID,40-44 ani, Masculin, Harghita, Anul 2009, Numar persoane,82
 83785 ATID,40-44 ani, Masculin, Harghita, Anul 2010, Numar persoane,94
 83785 ATID,40-44 ani, Masculin, Harghita, Anul 2011, Numar persoane,99
 83785 ATID,40-44 ani, Masculin, Harghita, Anul 2012, Numar persoane,106
 83785 ATID,40-44 ani, Masculin, Harghita, Anul 2013, Numar persoane,109
 83785 ATID,40-44 ani, Masculin, Harghita, Anul 2014, Numar persoane,115
 83785 ATID,40-44 ani, Masculin, Harghita, Anul 2015, Numar persoane,114
 83785 ATID,40-44 ani, Masculin, Harghita, Anul 2016, Numar persoane,112
 83785 ATID,40-44 ani, Masculin, Harghita, Anul 2017, Numar persoane,101
 83785 ATID,45-49 ani, Masculin, Harghita, Anul 2009, Numar persoane,68
 83785 ATID,45-49 ani, Masculin, Harghita, Anul 2010, Numar persoane,62
 83785 ATID,45-49 ani, Masculin, Harghita, Anul 2011, Numar persoane,68
 83785 ATID,45-49 ani, Masculin, Harghita, Anul 2012, Numar persoane,64
 83785 ATID,45-49 ani, Masculin, Harghita, Anul 2013, Numar persoane,74
 83785 ATID,45-49 ani, Masculin, Harghita, Anul 2014, Numar persoane,83
 83785 ATID,45-49 ani, Masculin, Harghita, Anul 2015, Numar persoane,91
 83785 ATID,45-49 ani, Masculin, Harghita, Anul 2016, Numar persoane,100
 83785 ATID,45-49 ani, Masculin, Harghita, Anul 2017, Numar persoane,107
 83785 ATID,50-54 ani, Masculin, Harghita, Anul 2009, Numar persoane,68
 83785 ATID,50-54 ani, Masculin, Harghita, Anul 2010, Numar persoane,69
 83785 ATID,50-54 ani, Masculin, Harghita, Anul 2011, Numar persoane,63
 83785 ATID,50-54 ani, Masculin, Harghita, Anul 2012, Numar persoane,66
 83785 ATID,50-54 ani, Masculin, Harghita, Anul 2013, Numar persoane,63
 83785 ATID,50-54 ani, Masculin, Harghita, Anul 2014, Numar persoane,63
 83785 ATID,50-54 ani, Masculin, Harghita, Anul 2015, Numar persoane,59
 83785 ATID,50-54 ani, Masculin, Harghita, Anul 2016, Numar persoane,64
 83785 ATID,50-54 ani, Masculin, Harghita, Anul 2017, Numar persoane,62
 83785 ATID,55-59 ani, Masculin, Harghita, Anul 2009, Numar persoane,74
 83785 ATID,55-59 ani, Masculin, Harghita, Anul 2010, Numar persoane,74
 83785 ATID,55-59 ani, Masculin, Harghita, Anul 2011, Numar persoane,71
 83785 ATID,55-59 ani, Masculin, Harghita, Anul 2012, Numar persoane,73
 83785 ATID,55-59 ani, Masculin, Harghita, Anul 2013, Numar persoane,73
 83785 ATID,55-59 ani, Masculin, Harghita, Anul 2014, Numar persoane,66
 83785 ATID,55-59 ani, Masculin, Harghita, Anul 2015, Numar persoane,70
 83785 ATID,55-59 ani, Masculin, Harghita, Anul 2016, Numar persoane,64
 83785 ATID,55-59 ani, Masculin, Harghita, Anul 2017, Numar persoane,67
 83785 ATID,60-64 ani, Masculin, Harghita, Anul 2009, Numar persoane,72
 83785 ATID,60-64 ani, Masculin, Harghita, Anul 2010, Numar persoane,70
 83785 ATID,60-64 ani, Masculin, Harghita, Anul 2011, Numar persoane,67
 83785 ATID,60-64 ani, Masculin, Harghita, Anul 2012, Numar persoane,68
 83785 ATID,60-64 ani, Masculin, Harghita, Anul 2013, Numar persoane,69
 83785 ATID,60-64 ani, Masculin, Harghita, Anul 2014, Numar persoane,71
 83785 ATID,60-64 ani, Masculin, Harghita, Anul 2015, Numar persoane,71
 83785 ATID,60-64 ani, Masculin, Harghita, Anul 2016, Numar persoane,66
 83785 ATID,60-64 ani, Masculin, Harghita, Anul 2017, Numar persoane,66
 83785 ATID,65-69 ani, Masculin, Harghita, Anul 2009, Numar persoane,50
 83785 ATID,65-69 ani, Masculin, Harghita, Anul 2010, Numar persoane,53
 83785 ATID,65-69 ani, Masculin, Harghita, Anul 2011, Numar persoane,54
 83785 ATID,65-69 ani, Masculin, Harghita, Anul 2012, Numar persoane,58
 83785 ATID,65-69 ani, Masculin, Harghita, Anul 2013, Numar persoane,59
 83785 ATID,65-69 ani, Masculin, Harghita, Anul 2014, Numar persoane,65
 83785 ATID,65-69 ani, Masculin, Harghita, Anul 2015, Numar persoane,63
 83785 ATID,65-69 ani, Masculin, Harghita, Anul 2016, Numar persoane,63
 83785 ATID,65-69 ani, Masculin, Harghita, Anul 2017, Numar persoane,65
 83785 ATID,70-74 ani, Masculin, Harghita, Anul 2009, Numar persoane,46
 83785 ATID,70-74 ani, Masculin, Harghita, Anul 2010, Numar persoane,48
 83785 ATID,70-74 ani, Masculin, Harghita, Anul 2011, Numar persoane,51
 83785 ATID,70-74 ani, Masculin, Harghita, Anul 2012, Numar persoane,39
 83785 ATID,70-74 ani, Masculin, Harghita, Anul 2013, Numar persoane,44
 83785 ATID,70-74 ani, Masculin, Harghita, Anul 2014, Numar persoane,42
 83785 ATID,70-74 ani, Masculin, Harghita, Anul 2015, Numar persoane,44
 83785 ATID,70-74 ani, Masculin, Harghita, Anul 2016, Numar persoane,49
 83785 ATID,70-74 ani, Masculin, Harghita, Anul 2017, Numar persoane,52
 83785 ATID,75-79 ani, Masculin, Harghita, Anul 2009, Numar persoane,59
 83785 ATID,75-79 ani, Masculin, Harghita, Anul 2010, Numar persoane,53
 83785 ATID,75-79 ani, Masculin, Harghita, Anul 2011, Numar persoane,51
 83785 ATID,75-79 ani, Masculin, Harghita, Anul 2012, Numar persoane,46
 83785 ATID,75-79 ani, Masculin, Harghita, Anul 2013, Numar persoane,43
 83785 ATID,75-79 ani, Masculin, Harghita, Anul 2014, Numar persoane,31
 83785 ATID,75-79 ani, Masculin, Harghita, Anul 2015, Numar persoane,31
 83785 ATID,75-79 ani, Masculin, Harghita, Anul 2016, Numar persoane,32
 83785 ATID,75-79 ani, Masculin, Harghita, Anul 2017, Numar persoane,29
 83785 ATID,80-84 ani, Masculin, Harghita, Anul 2009, Numar persoane,25
 83785 ATID,80-84 ani, Masculin, Harghita, Anul 2010, Numar persoane,32
