 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 83847 AVRAMESTI,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,96
 83847 AVRAMESTI,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,102
 83847 AVRAMESTI,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,100
 83847 AVRAMESTI,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,94
 83847 AVRAMESTI,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,93
 83847 AVRAMESTI,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,81
 83847 AVRAMESTI,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,75
 83847 AVRAMESTI,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,82
 83847 AVRAMESTI,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,76
 83847 AVRAMESTI,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,96
 83847 AVRAMESTI,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,92
 83847 AVRAMESTI,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,87
 83847 AVRAMESTI,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,88
 83847 AVRAMESTI,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,95
 83847 AVRAMESTI,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,97
 83847 AVRAMESTI,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,104
 83847 AVRAMESTI,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,100
 83847 AVRAMESTI,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,99
 83847 AVRAMESTI,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,100
 83847 AVRAMESTI,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,94
 83847 AVRAMESTI,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,93
 83847 AVRAMESTI,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,95
 83847 AVRAMESTI,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,100
 83847 AVRAMESTI,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,97
 83847 AVRAMESTI,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,92
 83847 AVRAMESTI,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,92
 83847 AVRAMESTI,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,87
 83847 AVRAMESTI,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,128
 83847 AVRAMESTI,15-19 ani, Masculin, Harghita, Anul 2010, Numar persoane,114
 83847 AVRAMESTI,15-19 ani, Masculin, Harghita, Anul 2011, Numar persoane,99
 83847 AVRAMESTI,15-19 ani, Masculin, Harghita, Anul 2012, Numar persoane,93
 83847 AVRAMESTI,15-19 ani, Masculin, Harghita, Anul 2013, Numar persoane,84
 83847 AVRAMESTI,15-19 ani, Masculin, Harghita, Anul 2014, Numar persoane,92
 83847 AVRAMESTI,15-19 ani, Masculin, Harghita, Anul 2015, Numar persoane,91
 83847 AVRAMESTI,15-19 ani, Masculin, Harghita, Anul 2016, Numar persoane,92
 83847 AVRAMESTI,15-19 ani, Masculin, Harghita, Anul 2017, Numar persoane,91
 83847 AVRAMESTI,20-24 ani, Masculin, Harghita, Anul 2009, Numar persoane,118
 83847 AVRAMESTI,20-24 ani, Masculin, Harghita, Anul 2010, Numar persoane,140
 83847 AVRAMESTI,20-24 ani, Masculin, Harghita, Anul 2011, Numar persoane,141
 83847 AVRAMESTI,20-24 ani, Masculin, Harghita, Anul 2012, Numar persoane,141
 83847 AVRAMESTI,20-24 ani, Masculin, Harghita, Anul 2013, Numar persoane,142
 83847 AVRAMESTI,20-24 ani, Masculin, Harghita, Anul 2014, Numar persoane,131
 83847 AVRAMESTI,20-24 ani, Masculin, Harghita, Anul 2015, Numar persoane,117
 83847 AVRAMESTI,20-24 ani, Masculin, Harghita, Anul 2016, Numar persoane,100
 83847 AVRAMESTI,20-24 ani, Masculin, Harghita, Anul 2017, Numar persoane,91
 83847 AVRAMESTI,25-29 ani, Masculin, Harghita, Anul 2009, Numar persoane,118
 83847 AVRAMESTI,25-29 ani, Masculin, Harghita, Anul 2010, Numar persoane,113
 83847 AVRAMESTI,25-29 ani, Masculin, Harghita, Anul 2011, Numar persoane,122
 83847 AVRAMESTI,25-29 ani, Masculin, Harghita, Anul 2012, Numar persoane,124
 83847 AVRAMESTI,25-29 ani, Masculin, Harghita, Anul 2013, Numar persoane,124
 83847 AVRAMESTI,25-29 ani, Masculin, Harghita, Anul 2014, Numar persoane,114
 83847 AVRAMESTI,25-29 ani, Masculin, Harghita, Anul 2015, Numar persoane,134
 83847 AVRAMESTI,25-29 ani, Masculin, Harghita, Anul 2016, Numar persoane,134
 83847 AVRAMESTI,25-29 ani, Masculin, Harghita, Anul 2017, Numar persoane,135
 83847 AVRAMESTI,30-34 ani, Masculin, Harghita, Anul 2009, Numar persoane,116
 83847 AVRAMESTI,30-34 ani, Masculin, Harghita, Anul 2010, Numar persoane,114
 83847 AVRAMESTI,30-34 ani, Masculin, Harghita, Anul 2011, Numar persoane,112
 83847 AVRAMESTI,30-34 ani, Masculin, Harghita, Anul 2012, Numar persoane,113
 83847 AVRAMESTI,30-34 ani, Masculin, Harghita, Anul 2013, Numar persoane,107
 83847 AVRAMESTI,30-34 ani, Masculin, Harghita, Anul 2014, Numar persoane,122
 83847 AVRAMESTI,30-34 ani, Masculin, Harghita, Anul 2015, Numar persoane,114
 83847 AVRAMESTI,30-34 ani, Masculin, Harghita, Anul 2016, Numar persoane,120
 83847 AVRAMESTI,30-34 ani, Masculin, Harghita, Anul 2017, Numar persoane,122
 83847 AVRAMESTI,35-39 ani, Masculin, Harghita, Anul 2009, Numar persoane,99
 83847 AVRAMESTI,35-39 ani, Masculin, Harghita, Anul 2010, Numar persoane,104
 83847 AVRAMESTI,35-39 ani, Masculin, Harghita, Anul 2011, Numar persoane,107
 83847 AVRAMESTI,35-39 ani, Masculin, Harghita, Anul 2012, Numar persoane,111
 83847 AVRAMESTI,35-39 ani, Masculin, Harghita, Anul 2013, Numar persoane,118
 83847 AVRAMESTI,35-39 ani, Masculin, Harghita, Anul 2014, Numar persoane,116
