 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 84148 CORBU,0- 4 ani, Masculin, Harghita, Anul 2009, Numar persoane,40
 84148 CORBU,0- 4 ani, Masculin, Harghita, Anul 2010, Numar persoane,36
 84148 CORBU,0- 4 ani, Masculin, Harghita, Anul 2011, Numar persoane,36
 84148 CORBU,0- 4 ani, Masculin, Harghita, Anul 2012, Numar persoane,36
 84148 CORBU,0- 4 ani, Masculin, Harghita, Anul 2013, Numar persoane,32
 84148 CORBU,0- 4 ani, Masculin, Harghita, Anul 2014, Numar persoane,37
 84148 CORBU,0- 4 ani, Masculin, Harghita, Anul 2015, Numar persoane,38
 84148 CORBU,0- 4 ani, Masculin, Harghita, Anul 2016, Numar persoane,38
 84148 CORBU,0- 4 ani, Masculin, Harghita, Anul 2017, Numar persoane,36
 84148 CORBU,5- 9 ani, Masculin, Harghita, Anul 2009, Numar persoane,39
 84148 CORBU,5- 9 ani, Masculin, Harghita, Anul 2010, Numar persoane,42
 84148 CORBU,5- 9 ani, Masculin, Harghita, Anul 2011, Numar persoane,43
 84148 CORBU,5- 9 ani, Masculin, Harghita, Anul 2012, Numar persoane,48
 84148 CORBU,5- 9 ani, Masculin, Harghita, Anul 2013, Numar persoane,47
 84148 CORBU,5- 9 ani, Masculin, Harghita, Anul 2014, Numar persoane,43
 84148 CORBU,5- 9 ani, Masculin, Harghita, Anul 2015, Numar persoane,40
 84148 CORBU,5- 9 ani, Masculin, Harghita, Anul 2016, Numar persoane,38
 84148 CORBU,5- 9 ani, Masculin, Harghita, Anul 2017, Numar persoane,36
 84148 CORBU,10-14 ani, Masculin, Harghita, Anul 2009, Numar persoane,46
 84148 CORBU,10-14 ani, Masculin, Harghita, Anul 2010, Numar persoane,45
 84148 CORBU,10-14 ani, Masculin, Harghita, Anul 2011, Numar persoane,43
 84148 CORBU,10-14 ani, Masculin, Harghita, Anul 2012, Numar persoane,41
 84148 CORBU,10-14 ani, Masculin, Harghita, Anul 2013, Numar persoane,46
 84148 CORBU,10-14 ani, Masculin, Harghita, Anul 2014, Numar persoane,44
 84148 CORBU,10-14 ani, Masculin, Harghita, Anul 2015, Numar persoane,46
 84148 CORBU,10-14 ani, Masculin, Harghita, Anul 2016, Numar persoane,47
 84148 CORBU,10-14 ani, Masculin, Harghita, Anul 2017, Numar persoane,51
 84148 CORBU,15-19 ani, Masculin, Harghita, Anul 2009, Numar persoane,52
